TaxaCode	Genus	Species	Total Of Abundance	2009-ARM1-5	2009-ARM1-8	2009-ARM1-9	2009-ARM2-4	2009-ARM2-5	2009-ARM2-8	2009-ARM2-9	2009-ARM3-4	2009-ARM3-5	2009-ARM3-8	2009-ARM3-9	2009-ARM4-4	2009-ARM4-5	2009-ARM4-8	2009-ARM4-9	2009-BAL1-4	2009-BAL1-5	2009-BAL1-8	2009-BAL1-9	2009-DRA1-4	2009-DRA1-5	2009-DRA1-8	2009-DRA1-9	2009-WHE1-4	2009-WHE1-5	2009-WHE1-8	2009-WHE1-9	2009-WHE2-5	2009-WHE2-8	2009-WHE2-9	2009-ZET1-4	2009-ZET1-5	2009-ZET1-8	2009-ZET1-9	2009-ZET2-4	2009-ZET2-5	2009-ZET2-8	2009-ZET2-9	2010-ARM1-10	2010-ARM1-11	2010-ARM1-15	2010-ARM2-10	2010-ARM2-11	2010-ARM2-15	2010-ARM3-10	2010-ARM3-11	2010-ARM3-14	2010-ARM4-10	2010-ARM4-11	2010-ARM4-14	2010-ARM4-15	2010-BAL1-10	2010-BAL1-11	2010-BAL1-14	2010-BAL1-15	2010-DRA1-10	2010-DRA1-11	2010-DRA1-15	2010-WHE1-10	2010-WHE1-11	2010-WHE1-15	2010-WHE2-10	2010-WHE2-11	2010-WHE2-14	2010-WHE2-15	2010-ZET1-10	2010-ZET1-11	2010-ZET1-14	2010-ZET1-15	2010-ZET2-10	2010-ZET2-11	2010-ZET2-14	2010-ZET2-15	2011-ARM1-16	2011-ARM1-17	2011-ARM1-20	2011-ARM1-21	2011-ARM2-16	2011-ARM2-17	2011-ARM2-20	2011-ARM2-21	2011-ARM3-16	2011-ARM3-17	2011-ARM3-20	2011-ARM3-21	2011-ARM4-16	2011-ARM4-17	2011-ARM4-20	2011-ARM4-21	2011-BAL1-16	2011-BAL1-17	2011-BAL1-20	2011-BAL1-21	2011-DRA1-16	2011-DRA1-17	2011-DRA1-20	2011-DRA1-21	2011-WHE1-16	2011-WHE1-17	2011-WHE1-20	2011-WHE1-21	2011-WHE2-16	2011-WHE2-17	2011-WHE2-20	2011-WHE2-21	2011-ZET1-16	2011-ZET1-17	2011-ZET1-21	2011-ZET2-16	2011-ZET2-17	2011-ZET2-20	2011-ZET2-21	2012-ARM1-22	2012-ARM1-23	2012-ARM1-26	2012-ARM1-27	2012-ARM2-22	2012-ARM2-23	2012-ARM2-26	2012-ARM2-27	2012-ARM3-23	2012-ARM3-27	2012-ARM4-22	2012-ARM4-23	2012-ARM4-26	2012-ARM4-27	2012-BAL1-22	2012-BAL1-23	2012-BAL1-26	2012-BAL1-27	2012-DRA1-22	2012-DRA1-23	2012-DRA1-27	2012-WHE1-22	2012-WHE1-23	2012-WHE1-26	2012-WHE1-27	2012-WHE2-22	2012-WHE2-26	2012-WHE2-27	2012-ZET1-22	2012-ZET1-23	2012-ZET1-26	2012-ZET1-27	2012-ZET2-22	2012-ZET2-23	2012-ZET2-26	2012-ZET2-27	2013-ARM1-28	2013-ARM1-29	2013-ARM1-32	2013-ARM1-33	2013-ARM2-28	2013-ARM2-29	2013-ARM2-32	2013-ARM3-28	2013-ARM3-29	2013-ARM3-32	2013-ARM3-33	2013-ARM4-28	2013-ARM4-29	2013-ARM4-32	2013-ARM4-33	2013-BAL1-28	2013-BAL1-29	2013-BAL1-32	2013-BAL1-33	2013-DRA1-28	2013-DRA1-29	2013-DRA1-32	2013-DRA1-33	2013-WHE1-28	2013-WHE1-29	2013-WHE1-32	2013-WHE1-33	2013-WHE2-28	2013-WHE2-29	2013-WHE2-32	2013-WHE2-33	2013-ZET1-28	2013-ZET1-29	2013-ZET1-32	2013-ZET1-33	2013-ZET2-28	2013-ZET2-29	2013-ZET2-32	2013-ZET2-33
HOFLAT-00000000	?	?	2																																																																																					1																					1																																																																																	
HOFLAT-22000001	Anormenis	metdiscus	162	1		1	1	2		1		3		1		2	2	1	1	3			1	2	1	3		2	1		1	1			2		3		4		3	2			2	1		1	2		1	4			1										3		1		1	1			2	1												3	1	1						1					1		1		1		1	1		1	1	1	2	1			2		3	3		2	1	1	1			1	13				11	2		1	1	3		2	1		1	1		1		1			1			2		1	1		1	1	3			1		1			1		2		1	1		1	2				1		1		2	1		1		1		
HOFLAT-22000002	Carthaeomorpha	balloui	142	4			1		1					3		5	1	1	1	2			1	2				1		1		1			5	3	1		7	1	5	1	1		2	1		1	1			3			1	1				2			4	1		3			1	1			1	1				1	1		2					5	2			4			1	4				2					2			1					1	1	9	5	1							1																1	1				1	1	2			1	1	2			1		1		1	1	1																	1				4			1	2			1		2	
HOFLAT-22000003	Epormenis	aripensis	132	3						1	1		1		1	2	1			1				3			1				1				3				2		1	3			5	1	3	4			4								1		1	3			2	1			2				1			1		3								5				2			1					5			4	7	1		3	7	1	1				1		2	1	1																									2											1				5	1		3				3	1			1			1				3	2	1			4	1		1	1			1	1			
HOFLAT-22000004	Flatormenis	sp. 1YB	245	3	1	1		4	3		1			2	1	3	1		1	1			1		2			1	1		2		2	1	1	2	4	1	2	2	3	2		1	3	2	1	2	6		2	6	2			1	1	1		1			3		3	4	1		3	3			5	2	1			9	2	2					1	2	3	1		6					4	3		5	3	1	1	5	2		1	2	3	2		1			9		2	2	1	3		2					2	1	1	1	1			1		1	1	2	2	3	1		3		1			2		1		1	1			1		3	2		10	1			2		2	1		2			1				1				1	2	3		1	1			1	1	1	1
HOFLAT-22000005	Carthaeomorpha	rufipes	132	1			1	2	1		1				1	5	1	1		1				2							1	1			1	1		1	1	1	3				1			3	4		3	6		1					1	1		2	1	1	2	1				2			3	4	1		1	4				2				6		1		2				1	1			4				1	1			2							1				1	1										1	2							1		1	4	1			2				1					1	1			1			4					2	1	1		2				1		1	2		1		2	2			1			1	2			
HOFLAT-22000007	Monoflata	banksi	377	3		1	2	3	1	2	1	9		3	1	5	2		3	5	1		2	2	2	2	1	1	1	4	7	1	1		7	2	4	1	13	3	19	2						6							1	1			1	1		1			2	1	1	1		3		1	4	1				12	3		1	1	1	2	1	9	2	2		5	1		1		3	1		3	1	1	1	6	6	1	1	3	1	1	1	5	6		7	3	5		4	1	2		1		1	1	3	1		2	5			3				3	1	1	1				2		4	3	2	2	1	4	2		13	1	3		1		1	4	1	2	1	4			1	3	1	2					2	2		2	1	12	2	1	5	12	2	5		3	1	
HOFLAT-22000008	Anormenis	nigrolimbata	45				1		2				1					1				1	1	2			1			1											1	1	2																1			2	1			1						1	4																						1				1			1																							1																											1	2		1			1	3										1						3					2			1				1			
HOFLAT-22000009	Anormenis	sp. 3YB near nigrolimbata	4																				1																1						1																					1																																																																																																																												
HOFLAT-22000010	Ormenis	debilis	27				1																												1															1				1															1			2		1							3									2				7			1	1																4																																													1																															
HOFLAT-22000011	Anormenis	media	61	2								1	1						1	1			1					1		1											1				1	1	1		1									2		1	1		3		1	2			1				1						2				1			5				2				1								4				1			1	1		1																				2											1														1		3					1		1					1				1				1	1						1	1	1		
HOFLAT-22000013	Flatoidinus	spinosus apicatus	218	3			1						3	1	1		1	1						1			1	1	3	2	4	1		3		4	1		2		1		1		6			9	3		9	5		1	2	2			2	4	1	4	3		2	3			8	4			8	1	1			1					1			2	1	1		4					2		1	5	2		1	3	3			1						1	5	2	2	1				1				2	2	4			1	6		2	1	5	1	2	5	1	1			2	1		2			5				4							2		2		2	1	1	1					1		1						1	2			1						2	
HOFLAT-22000014	Flataloides	sp. 1YB	2																																																																																			1																								1																																																																																
