Sp. Code	Hydriastele microspadix (Becc.) Burret.	Artocarpus camansi Blanco	Ficus botryocarpa Miq.	Breynia cernua (Poir.) Muell. Arg.	Casearia erythrocarpa Sleumer	Ficus conocephalifolia Ridley	Ficus copiosa Steud.	Ficus dammaropsis Diels	Dracaena angustifolia Roxb.	Endospermum labios Schodde	Eupomatia laurina R. Br.	Gardenia hansemannii K. Schum.	Homalanthus novoguineensis K. Schum.	Macaranga densiflora Warb.	Macaranga cf. brachytricha Airy Shaw	Mallotus mollissimus (Geisel.) Airy Shaw	Macaranga ducis Whitmore	Macaranga quadriglandulosa Warb.	Melanolepis multiglandulosa Rchb. & Zoll. 	Ficus nodosa Teysm. & Binn.	Osmoxylon sessiliflorum (Lauterb.) Philipson	Pavetta platyclada K.Schum. & Lauterb.	Ficus phaeosyce Laut. & K. Schum.	Pimelodendron amboinicum Hassk.	Premna obtusifolia R.Br.	Psychotria leptothyrsa Miq.	Psychotria micralabastra Valeton	Psychotria micrococca Valeton	Pterocarpus indicus Willd.	Ficus pungens Reinw. ex Blume	Ficus septica Burm. f.	Kibara cf. coriacea (Blume) Hook.f. & Thomson	Sterculia schumanniana (Lauterb.) Mildbr.	Tabernaemontana aurantiaca Gaudich.	Timonius timon (Spreng.) Merr.	Ficus trachypison K. Schum.	Ficus variegata Blume	Ficus wassa Roxb.	ni.	pi	Guild	Order	Family	Species
NOCT049									4																2														6	2	exposed chewers	Lepidoptera	Arctiidae	Spilosoma niceta Stoll
DREP008			7																																				7	1	exposed chewers	Lepidoptera	Bombycidae	Elachyophthalma sp. cf. kebeae Bethune-Baker
CHRY139																																	20						20	1	exposed chewers	Coleoptera	Chrysomelidae	Dicladispa cincta (Gestro)
CATM028							2																							2									4	2	exposed chewers	Coleoptera	Chrysomelidae	Indet. [CATM028]
CHRY133																					134																		134	1	exposed chewers	Coleoptera	Chrysomelidae	Promechus bimaculatus (Weise)
DREP002																						22																	22	1	exposed chewers	Lepidoptera	Drepanidae	Oreta pingorum Holloway
GEOM078																																		5					5	1	exposed chewers	Lepidoptera	Geometridae	Agathia kuehni Warren
GEOM075																																		9					9	1	exposed chewers	Lepidoptera	Geometridae	Agathia sp. [GEOM075] 
GEOM151													2	112	66	27	104	16																					327	6	exposed chewers	Lepidoptera	Geometridae	Albinospila syntyche (Prout)
GEOM082											3																												3	1	exposed chewers	Lepidoptera	Geometridae	Amblychia angeronaria Guenee
GEOM074					8																																		8	1	exposed chewers	Lepidoptera	Geometridae	Aplochlora subflava Warren
GEOM076					14																																		14	1	exposed chewers	Lepidoptera	Geometridae	Aplochlora vivalaca Walker
GEOM069									2																														2	1	exposed chewers	Lepidoptera	Geometridae	Berta sp. [XXXX090] 
XXXX067																		6																					6	1	exposed chewers	Lepidoptera	Geometridae	Bosara sp. nov. [XXXX067]
GEOM066																																355							355	1	exposed chewers	Lepidoptera	Geometridae	Bracca rosenbergi (Pagenstecher)
GEOM071																																168							168	1	exposed chewers	Lepidoptera	Geometridae	Callhistia grandis Druce
GEOM009																					2													2					4	2	exposed chewers	Lepidoptera	Geometridae	Catoria delectaria (Walker)
GEOM064					223																																		223	1	exposed chewers	Lepidoptera	Geometridae	Chrysocraspeda sp. nov. nr. fasciata Warren
GEOM019				4																																			4	1	exposed chewers	Lepidoptera	Geometridae	Cleora decisaria (Walker)
GEOM021				3																																			3	1	exposed chewers	Lepidoptera	Geometridae	Cleora repetita Butler
GEOM015				6	2						6		2								3			2	2				30			4	6						63	10	exposed chewers	Lepidoptera	Geometridae	Ectropis bhurmitra (Walker)
GEOM022													29																										29	1	exposed chewers	Lepidoptera	Geometridae	Eucyclodes albilauta (Warren)
TORT056								2															3																5	2	exposed chewers	Lepidoptera	Geometridae	Gymnoscelis lavella Prout
XXXX035				409									2																										411	2	exposed chewers	Lepidoptera	Geometridae	Gymnoscelis sp. nr. polyclealis Walker
GEOM023					2																								11										13	2	exposed chewers	Lepidoptera	Geometridae	Hypomecis infaustaria Walker
GEOM012													3																										3	1	exposed chewers	Lepidoptera	Geometridae	Hyposidra incomptaria Walker
GEOM008																								2															2	1	exposed chewers	Lepidoptera	Geometridae	Hyposidra sp. [GEOM008]
GEOM079																													14										14	1	exposed chewers	Lepidoptera	Geometridae	Hyposidra sp. [GEOM079]
GEOM016				10											2	2			5		2								8										29	6	exposed chewers	Lepidoptera	Geometridae	Hyposidra talaca Walker
GEOM013																								28															28	1	exposed chewers	Lepidoptera	Geometridae	Jodis albifusa (Warren) complex [A]
GEOM013a																								25															25	1	exposed chewers	Lepidoptera	Geometridae	Jodis albifusa (Warren) complex [B]
GEOM013b																								25															25	1	exposed chewers	Lepidoptera	Geometridae	Jodis albifusa (Warren) complex [C]
GEOM025																		4																					4	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM025]
GEOM086																																	4						4	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM086]
GEOM087					2																																		2	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM087]
GEOM088																																12							12	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM088]
GEOM092																													6										6	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM092]
GEOM093																																2							2	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM093]
GEOM097																																2							2	1	exposed chewers	Lepidoptera	Geometridae	No adult reared [GEOM097]
