plant	herbivore	value
GUL	CRAM003	1
GUL	CRAM003	1
GUL	CRAM003	1
GUL	CRAM003	1
GUL	CRAM003	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM005	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CRAM006	1
GUL	CHOR001	1
GUL	TORT005	1
GUL	CHOR001	1
GUL	CHOR001	1
MOL	CHOR002	1
GUL	CHOR002	1
GUL	CRAM006	1
GUL	CRAM006	1
MOL	TORT066	1
KLE	GEOM006	1
KLE	GEOM006	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
MOL	CHOR002	1
MOL	CHOR002	1
MOL	CHOR002	1
MOL	TORT005	1
MOL	TORT005	1
MOL	TORT012	1
MOL	TORT012	1
MOL	TORT012	1
MOL	CHOR001	1
MOL	CHOR001	1
MOL	CRAM010	1
MOL	TORT009	1
MOL	TORT009	1
HYB	NOCT077	1
HYB	NOCT078	1
MOL	NOCT079	1
HYB	LYMA062	1
GEU	HYBL003	1
KLE	NOTO004	1
MOL	PYRA022	1
MOL	LYCA001	1
MOL	LYCA001	1
MOL	LYCA001	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
GEU	PYRA003	1
TRI	PYRA021	1
TRI	PYRA021	1
TRI	PYRA021	1
KLE	LIMA024	1
TRI	GEOM034	1
HYB	NOCT077	1
KLE	TORT071	1
KLE	TORT071	1
KLE	GEOM006	1
KLE	GEOM006	1
KLE	GEOM006	1
TRI	THYR010	1
TRI	THYR010	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
HYB	CRAM012	1
