plantpar	herbivore
PAD	PSYC021
PAD	PSYC021
PAD	PSYC021
HIS	LYCA001
MAF	LYCA006
MAF	LYCA006
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
SPA	SPHI019
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI005
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI019
SPA	SPHI005
SPA	SPHI005
MAF	TORT005
MAF	TORT005
MAF	TORT005
PRE	URAN009
PRE	URAN009
PRE	URAN009
PRE	URAN009
KLE	LYMA060
KLE	LYMA060
KLE	LYMA060
TIT	LYMA026
TRI	PYRA021
TRI	PYRA021
TRI	PYRA021
TRI	PYRA021
TRI	PYRA021
TRI	PYRA021
TRI	PYRA021
TRI	THYR010
TRI	THYR010
TRI	THYR010
TRI	LYMA059
TRI	LYMA059
TRI	LYMA059
TRI	LYMA059
TRI	THYR010
TRI	GEOM034
TRI	GEOM034
TRI	GEOM034
TRI	GEOM034
TRI	GEOM034
TRI	GEOM034
TRI	GEOM034
SPA	GEOM051
SPA	GEOM051
SPA	GEOM051
KLE	LYMA039
KLE	LYMA039
SPA	GEOM015
PUN	LYCA001
DRA	TORT040
DRA	TORT040
PAR	NOCT010
HIS	NOCT010
PAR	NOCT010
PAR	NOCT010
PAR	TORT005
PAR	TORT005
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
HYB	CRAM012
KLE	CRAM012
KLE	CRAM012
GUL	CRAM005
ART	TORT111
HEL	PYRA026
HYB	CRAM013
HYB	CRAM013
HYB	CRAM013
HYB	CRAM013
HYB	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	PYRA021
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
TRI	CRAM013
LIT	TORT184
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
DRA	TORT040
KLE	TORT022
SPA	TORT022
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
COR	HESP007
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX021
MAA	XXXX068
MAA	XXXX021
MAF	XXXX021
MOL	CRAM003
GUL	CRAM005
GUL	CRAM005
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
MAF	XXXX068
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
ART	TORT111
BAR	PYRA027
BER	CHOR002
BER	CHOR002
BER	CHOR002
CAS	GEOM064
CAS	GEOM074
CAS	GEOM074
CAS	TORT110
CAS	GEOM073
CAS	TORT110
CAS	GEOM064
CAS	GEOM076
CAS	GEOM064
CON	CHOR001
CON	CHOR001
CON	CHOR001
CON	CHOR002
COP	TORT006
COP	TORT006
COP	CRAM002
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT131
COR	TORT040
COR	XXXX090
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT008
COR	TORT008
COR	TORT066
COR	TORT066
COR	XXXX090
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	TORT040
COR	HESP007
COR	HESP007
COR	TORT040
COR	XXXX090
COR	TORT008
COR	TORT040
