(Blank)		AGAT001	AGAT009	AGAT010	AGAT018	AGAT019	AGAT020	AGAT021	AGAT022	AGAT023	AGAT025	AGAT026	AGAT031	AGAT032	AGAT035	AGAT036	AGAT040	AGAT041	AGAT074	AGAT075	AGAT079	BETH001	BETH002	CENT001	CHAL001	CHAL004	CHAL008	CHAL010	CHEL001	CHEL006	CHEL009	CHEL010	CHEL014	CHEL018	CHEL024	HORM001	ICHN001	ICHN002	ICHN004	ICHN017	ICHN025	ICHN032	ICHN043	ICHN047	ICHN049	ICHN053	ICHN058	ICHN191	METE001	MICR001	MICR006	MICR013	MICR014	MICR019	MICR031	MICR034	MICR035	MICR036	MICR038	MICR051	MICR057	MICR075	MICR080	MICR084	MICR088	MICR094	MICR095	MICR096	MICR097	MICR101	MICR103	MICR130	MICR140	MICR161	MICR168	MICR232	MICR233	ORGI001	ORGI004	ORGI018	ROGA001	ROGA002	ROGA003	ROGA004	ROGA012	ROGA013	TACH001	TACH010	TACH014	TACH019	TACH025	TACH026	TACH030	TACH032	TACH033	TACH036	TACH040	TACH044	TACH050	TACH078	TACH079	TACH095	TACH109	TACH111	TACH113	TACH118	TACH142	TACH154	TACH157	TACH158	TACH161	TACH162	TACH167	TACH180	TACH186	TACH193	TACH213	TACH214	TACH220	TACH226	TACH294	TACH298
2	ARCT002																																																																																																																									
242	CHOR001									1	3																									2																																																																																						
417	CHOR002														2																					1																							55																	3					1																						1																			
35	CHOR005																																																																																																																									
75	CHOR008																																																															3																																																										
1	CHOR009																																														1																																																																											
45	CHOR011																																																																					1																																																				
82	CHOR012					2		22																														1												1																																															1																									
4	CHOR013																																																																																																																									
101	CHOR014																					1																																					9																																																															
384	CHOR016									5																																																												4																																																				
63	CRAM002																															2																																	2																																2										1															
28	CRAM003																																																																																			2																																						
119	CRAM005																							1																																																									6	2															18																									
61	CRAM006																														2																																																																																											
2	CRAM008																																																																																																																									
54	CRAM009																																																											3																																																														
4	CRAM010																																																																																																																									
62	CRAM011																																																								5																																																										1							
133	CRAM012																							3															7		15																									3																				1												11																								
82	CRAM013																							4		1						1							18	1	3															7																																						9																												
2	CRAM016																																																																																																																									
122	CRAM023			1																																															4						10																																																	1					1											
2	CRAM029																																																																																																																									
4	CRAM034																																																																																																																									
130	CRAM037	1																	1																																												7																																	1																										
1	CRAM038																																																																																																																									
4	CRAM047																																																																																																																									
2	CRAM051																																																																																																																									
1	CRAM055																																																																																																																									
9	CRAM056			1																																																																																																																						
1	CRAM059																																																																																																																									
77	CRAM066																																																												20																																																													
4	CRAM076																																																																																																																									
9	CRAM077																																																																																																																									
258	CRAM078		2																2	25												3																																																			4														2																1									1
1	CRAM079																																																																																																																									
1	CRAM090																																																																																																																									
26	CRAM092																																																																																																																									
1	DREP006																																																																																																																									
11	GEOM001																																																																																																																									
23	GEOM006																																																																																																																									
1	GEOM009																																																																																																																									
1	GEOM012																																																																																																																									
13	GEOM015																																																																																																								1																	
10	GEOM016																																																																																																																									
7	GEOM021																																																																																																																									
1	GEOM022																																																																																																																									
4	GEOM023																																																																																																																									
2	GEOM024																																																																																																																									
1	GEOM029																																																																																																																									
12	GEOM034																																						1																																																																					4														
1	GEOM035																																																																																																																									
4	GEOM037																																																																																																																									
24	GEOM038																																																																																																																									
1	GEOM043																																																																																																																									
6	GEOM044																																																																																																																									
4	GEOM049																																																																																																																									
22	GEOM051																																																																																																									2																
6	GEOM053																																																																																																																									
104	GEOM063																																																																																																			1																						
100	GEOM064																																																																																																																									
44	GEOM067																																																																																																																									
3	GEOM069																																																																																																																									
5	GEOM073																																																																																																																									
2	GEOM074																																																																																																																									
3	GEOM076																																																																																																																									
1	GEOM079																																																																																																																									
2	GEOM082																																																																																																																									
1	GEOM083																																																																																																																									
1	GEOM084																																																																																																																									
6	GEOM104																																																																																																																									
6	GEOM113																																																																																																																									
1	GEOM115																																																																																																																									
5	GEOM130																																																																																																																									
70	GEOM132																																						1																																																																						1													
1	GEOM135																																																																																																																									
1	GEOM144																																																																																																																									
12	GEOM145																																																																																																																									
1	GEOM146																																																																																																																									
63	GEOM151																																																																																									3																																
1	GEOM154																																																																																																																									
1	GEOM155																																																																																																																									
1	GEOM157																																																																																																																									
1	HESP005																																																																																																																									
14	HESP006																																																																																																																									
89	HESP007																																																																																										35																													25		
8	HYBL001																										1																																																																																															
66	HYBL002																																																																										1																																															
6	HYBL003																																																																																																																									
1	LIMA005																																																																																																																									
3	LIMA024																																																																																																																									
28	LIMA025																																																																									1																																																
6	LIMA029																																																																																																																									
1	LIMA030																																																																																																							1																		
20	LYCA001																																																																							2																1															1																		2	
8	LYCA006																																																																																																																								5	
8	LYMA001																																																																																																																									
2	LYMA003																																																																																																																									
14	LYMA007																																																																																																																									
2	LYMA015																																																																																																																									
2	LYMA026																																																																																																															5										
2	LYMA035																																																																																																																									
2	LYMA036																																																																																																																									
1	LYMA037																																																																																																																									
4	LYMA038																																																																																																																									
19	LYMA039																																																																																																								1																	
1	LYMA051																																																																																																																									
1	LYMA053																																																																																																																									
10	LYMA059																																																																																																													1												
26	LYMA060																																																																																																															1		2								
6	LYMA062																																																																																																																									
1	LYMA070																																																																																																																									
1	LYMA071																																																																																																																									
2	LYMA076																																																																																																																									
1	NOCT002																																																																																																																									
9	NOCT004																																																																																																				1																					
13	NOCT009																																																																																																																									
51	NOCT010																											1																																																												2											1	4	4																					
113	NOCT017																																				2					1																4																																																																
1	NOCT020																																																																																																																									
1	NOCT038																																																																																																																									
3	NOCT039																																																																																																																									
182	NOCT046																																												1																																																																													
1	NOCT047																																																																																																																									
4	NOCT048																																																																																																																									
18	NOCT049																																																																																																																									
16	NOCT054																																																																																																																									
2	NOCT067																																																																																																																									
2	NOCT069																																																																																																																									
56	NOCT077																																																																																																																									
1	NOCT078																																																																																																																									
2	NOCT079																																																																																																																									
6	NOCT081																																																																																																																									
3	NOCT083																																																																																																																									
9	NOCT085				1																																																																																																																					
1	NOCT087																																																																																																																									
1	NOCT099																																																																																																																									
2	NOCT108																																																																																																																									
1	NOCT113																																																																																																																									
1	NOCT115																																																																																																																									
10	NOTO004																																																																																																																									
7	NOTO005																																																																																														5																											
1	NYMP001																																																																																																																									
2	NYMP002																																																																																																																									
2	NYMP009																																																																																																																									
16	NYMP012																																																																																																																									
5	NYMP013																																																																																																																									
1	PSYC006																																																																																																																									
2	PSYC016																																																																																																																									
1	PSYC018																																																																																																																									
18	PTER002																																																																																																																									
1	PTER005																																																																																																																									
3	PYRA002																																																																																																																									
114	PYRA003																																									1								23							1																																								6																									
1	PYRA005																																																																																																																									
1	PYRA007																																																																																																																									
2	PYRA010																																																																																																																									
39	PYRA013																																							1									2																																																																									
1	PYRA020																																																																																																																									
61	PYRA021																															1							4											10																											1																	1																	1											
4	PYRA022																																																																																																																									
7	PYRA024																																																																																																																									
101	PYRA026																								3																																																																					13																												
202	PYRA027																								2																																																														1							5																												
1	PYRA029																																																																																																																									
1	PYRA038																																																																																																																									
1	PYRA040																																																																																																																									
80	SPHI005																																																																																																																						26			
1	SPHI011																																																																																																																									
25	SPHI019																																																																																																																						28			
3	THYR001																																																																																																													1												
174	THYR003																						1																																																																																							1												
5	THYR005																																																																																																																									
1	THYR009																																																																																																																									
41	THYR010																																																																																																													2												
7	THYR011																																																																																																																									
1	THYR012																																																																																																																									
1	THYR016																																																																																																																									
260	TORT005								2													3																															63	2																																													48																		2	1				
51	TORT006								1																																												1																																																																					
90	TORT008																	1											1					1																																																																																								
3	TORT009																																																																																																																									
11	TORT012																																																				1																																																																					
80	TORT022																				1																																																																							3																														
50	TORT034																																																																																																																									
9	TORT037																																																																																																																									
113	TORT039																1												3																																																																									1																				
412	TORT040												1			1													1				1										6			5																14						2																								20										5																				
84	TORT044																																																																																																																									
4	TORT055																																																																																																																									
4	TORT061																																																																																																																									
33	TORT062																																																																																																																									
53	TORT066																																																																																																																									
33	TORT067																																																																																																																									
27	TORT071																																																																																																									2																
9	TORT075																						1																																																																																																			
3	TORT081																																																																																																																									
14	TORT083																																																			3																																																																						
7	TORT085																																																																																																																									
9	TORT086																																																																																																																									
1	TORT090																																																																																																																									
3	TORT095																																																																																																																									
1	TORT097																																																																																																																									
4	TORT098																																																																																																																									
65	TORT110																													8																																																																																												
248	TORT111						5																																																												1											22																		1																										
39	TORT117																																		1									1																																																																														
11	TORT120																																																																																																																									
146	TORT122																																																																																																									1																
85	TORT131											1		1																			1																																																																																									
1	TORT142																																																																																																																									
2	TORT146																																																																																																																									
7	TORT147																																																																																																																									
2	TORT149																																																																																																																									
7	TORT152																																																																																																																									
4	TORT167																																																																																																																									
1	TORT169																																																																																																																									
12	TORT183																																																																																																																									
149	TORT184																																											1																																																	24																													
1	TORT185																																																																																																																									
1	TORT199																																																																																																																									
1	TORT206																																																																																																																									
1	TORT207																																																																																																																									
184	URAN009																																															1																																																																				1						
95	URAN011																																																																																																																									
207	XXXX021																																																						10																		1												1				32										1																							
88	XXXX048																																																																																																																									
331	XXXX068																																																						1															11	5								18	1									2																																	
4	XXXX073																																																																																																																									
50	XXXX090																																																																																																																									
6	XXXX092																																																																																																																									
247	XXXX095											2																																																																																																														
1	XXXX096																																																																																																																									
1	XXXX097																																																																																																																									
1	XXXX098																																																																																																																									
7	XXXX116																																																							2																																																																		
21	XXXX117																																																																				1																																																					
2	XXXX118																																																																																																																									
4	XXXX120																																																																																																																									
1	XXXX126																																																																																																																									
13	XXXX130																																																																																																																									
10	XXXX131																																																																																																																									
14	XXXX133																																																																																																																									
1	XXXX136																																																																																																																									
1	XXXX147																																																																																																																									
