sample_code,PLOT,PLOT,HABITAT,PLOT_CODE,obs_id,proj_code,sp_code,obs_date,plant family,plant genus,plant species,code,INTERACTION,morphspecies,ordo,insect family,insect genus,insect species,qty
WP1A0005,A0005,A,PRIMARY,AP,246926,W-CATS,TORT239,3/8/2010,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniTORT239,20.9,Lepidoptera,Tortricidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,236165,W-CATS,CRAM082,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuCRAM082,41.8,Lepidoptera,Crambidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,227417,W-CATS,PYRA054,3/15/2011,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,237806,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210635,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210935,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210710,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210466,W-CATS,PYRA054,4/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,237813,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,237807,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210431,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,211132,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210631,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0015,A0015,A,PRIMARY,AP,210711,W-CATS,PYRA054,3/15/2010,Myristicaceae,Myristica,fatua,Myrifatu,MyrifatuPYRA054,41.8,Lepidoptera,Pyralidae,,,1
WP1A0016,A0016,A,PRIMARY,AP,234143,W-CATS,LYMA073,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicLYMA073,9.1,Lepidoptera,Arctiidae,Chamaita,,1
WP1A0016,A0016,A,PRIMARY,AP,227274,W-CATS,NOCT087,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicNOCT087,9.1,Lepidoptera,Notodontidae,Archigargetta,,1
WP1A0016,A0016,A,PRIMARY,AP,211408,W-CATS,NOCT087,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicNOCT087,9.1,Lepidoptera,Notodontidae,Archigargetta,,1
WP1A0016,A0016,A,PRIMARY,AP,211037,W-CATS,NOCT087,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicNOCT087,9.1,Lepidoptera,Notodontidae,Archigargetta,,1
WP1A0016,A0016,A,PRIMARY,AP,210465,W-CATS,NOCT087,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicNOCT087,9.1,Lepidoptera,Notodontidae,Archigargetta,,1
WP1A0016,A0016,A,PRIMARY,AP,247135,W-CATS,XXXX236,3/11/2010,Lecythidaceae,Barringtonia,apiculata,Barrapic,BarrapicXXXX236,9.1,Lepidoptera,,,,1
WP1A0021,A0021,A,PRIMARY,AP,211440,W-CATS,CRAM117,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuCRAM117,42.8,Lepidoptera,Crambidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210632,W-CATS,CRAM117,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuCRAM117,42.8,Lepidoptera,Crambidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,225963,W-CATS,CRAM117,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuCRAM117,42.8,Lepidoptera,Crambidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,225870,W-CATS,TORT008,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT008,42.8,Lepidoptera,Tortricidae,Adoxophyes,templana,1
WP1A0021,A0021,A,PRIMARY,AP,234229,W-CATS,TORT022,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT022,42.8,Lepidoptera,Tortricidae,Adoxophyes,thoracica,1
WP1A0021,A0021,A,PRIMARY,AP,234364,W-CATS,TORT062,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT062,42.8,Lepidoptera,Thyrididae,Addaea,pusilla,1
WP1A0021,A0021,A,PRIMARY,AP,231711,W-CATS,TORT066,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT066,42.8,Lepidoptera,Tortricidae,Adoxophyes,,1
WP1A0021,A0021,A,PRIMARY,AP,233299,W-CATS,TORT066,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT066,42.8,Lepidoptera,Tortricidae,Adoxophyes,,1
WP1A0021,A0021,A,PRIMARY,AP,231683,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210442,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210909,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210922,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,231682,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210278,W-CATS,TORT174,3/22/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,210633,W-CATS,TORT174,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuTORT174,42.8,Lepidoptera,Tortricidae,,,1
WP1A0021,A0021,A,PRIMARY,AP,211318,W-CATS,XXXX135,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuXXXX135,42.8,Lepidoptera,Elachistidae,Zaratha,,1
WP1A0021,A0021,A,PRIMARY,AP,237024,W-CATS,XXXX135,3/10/2010,Dipterocarpaceae,Vatica,papuana,Vatipapu,VatipapuXXXX135,42.8,Lepidoptera,Elachistidae,Zaratha,,1
WP1A0030,A0030,A,PRIMARY,AP,222699,W-CATS,TORT071,5/4/2010,Sapotaceae,Palaquium,morobense,Palamoro,PalamoroTORT071,8.4,Lepidoptera,Immidae,Moca,congrualis,1
WP1A0030,A0030,A,PRIMARY,AP,222694,W-CATS,TORT071,3/4/2010,Sapotaceae,Palaquium,morobense,Palamoro,PalamoroTORT071,8.4,Lepidoptera,Immidae,Moca,congrualis,1
WP1A0033,A0033,A,PRIMARY,AP,234399,W-CATS,TORT062,3/11/2010,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniTORT062,25,Lepidoptera,Thyrididae,Addaea,pusilla,1
WP1A0033,A0033,A,PRIMARY,AP,233404,W-CATS,TORT086,3/11/2010,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniTORT086,25,Lepidoptera,Tortricidae,Homona,auriga,1
WP1A0033,A0033,A,PRIMARY,AP,247036,W-CATS,TORT239,3/11/2011,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniTORT239,25,Lepidoptera,Tortricidae,,,1
WP1A0034,A0034,A,PRIMARY,AP,226019,W-CATS,EUPT001,3/14/2010,Euphorbiaceae,Endospermum,medullosum,Endomedu,EndomeduEUPT001,53.7,Lepidoptera,Eupterotidae,,,1
WP1A0034,A0034,A,PRIMARY,AP,210712,W-CATS,EUPT001,3/14/2010,Euphorbiaceae,Endospermum,medullosum,Endomedu,EndomeduEUPT001,53.7,Lepidoptera,Eupterotidae,,,1
WP1A0034,A0034,A,PRIMARY,AP,235922,W-CATS,THYR001,3/14/2010,Euphorbiaceae,Endospermum,medullosum,Endomedu,EndomeduTHYR001,53.7,Lepidoptera,Thyrididae,Mellea,ordinaria,1
WP1A0035,A0035,A,PRIMARY,AP,234595,W-CATS,XXXX090,3/4/2010,Gnetaceae,Gnetum,gnemon,Gnetgnem,GnetgnemXXXX090,8.2,Lepidoptera,Lecithoceridae,Scythropiodes,,1
WP1A0048,A0048,A,PRIMARY,AP,237445,W-CATS,IMMI004,3/17/2010,Meliaceae,Aphanamixis,polystachya,Aphapoly,AphapolyIMMI004,19.4,Lepidoptera,Immidae,,,1
WP1A2001,A2001,A,PRIMARY,AP,236132,W-CATS,CRAM081,2/19/2010,Vitaceae,Tetrastigma,lauterbachianum,Tetrlaut,TetrlautCRAM081,,Lepidoptera,Crambidae,,,1
WP1A2002,A2002,A,PRIMARY,AP,247072,W-CATS,CHOR022,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoCHOR022,,Lepidoptera,Choreutidae,,,1
WP1A2002,A2002,A,PRIMARY,AP,247049,W-CATS,CHOR022,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoCHOR022,,Lepidoptera,Choreutidae,,,1
WP1A2002,A2002,A,PRIMARY,AP,247047,W-CATS,CHOR022,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoCHOR022,,Lepidoptera,Choreutidae,,,1
