CollectionNumber,Locality_Code,DBH,X_coordinate,Y_coordinate,CutdownDate,GrowthForm,TrunkHeight,CrownHeight,CrownWidth,MatureLeafTotalWeight,YoungLeafTotalWeight,X.Carbon,X.Nitrogen,auto.BYHAND,WholeTreeMatureLeafArea,WholeTreeYoungLeafArea,MatureLeafSampleAreaBeforeHerbivory,MatureLeafSampleAreaAfterHerbivory,YoungLeafSampleAreaBeforeHerbivory,YoungLeafSampleAreaAfterHerbivory,MatureLeafSampleWetWeight,YoungLeafSampleWetWeight,comments,exudate.absent,exudate.white,exudate.cream,exudate.yellow,exudate.orange,exudate.red,exudate.black,exudate.colorless,OLD.NumberOfCaterpillarsDB,OLD.NumberLiveMinesDB,OLD.NumberDeadMinesDB,latex.absent,OLD.SLADB,OLD.Carbon,OLD.Nitrogen,SLA,isZ,Family_ID,Genus_ID,Species_ID,Species_AUTHOR,CorrTaxa2016,Morphospecies,auto.X.Carbon,auto.X.Nitrogen,auto.SLA,auto.latex,auto.YoungTotalFromSample,auto.MatureTotalFromSample,REMOVE.missCutdown,REMOVE.noLeafWeight,TotalLeafWeight,TotalLeafArea,TotalTreeHeight,YoungLeafHerbivory,MatureLeafHerbivory,auto.CrownHeight,auto.CrownHeight.no,auto.CrownHeight.rsq,auto.CrownWidth,auto.CrownWidth.no,auto.CrownWidth.rsq,auto.TrunkHeight,auto.TrunkHeight.no,auto.TrunkHeight.rsq,NumberOfCaterpillarsVOJTA,LOOKUP,Phill-caterpillars,Compare,NumberDeadMinesOndra,LOOKUP,Phil-deadMines,Compare,NumberLiveMinesOndra,LOOKUP,Phil-liveMines,Compare,OuterBarkTexture.smooth,OuterBarkTexture.rough,OuterBarkTexture.flaky,OuterBarkTexture.lenticels,fissures.vertical,fissures.horizontal,fissures.broad,fissures.narrow,bark.black,bark.darkbrown,bark.brown,bark.lightbrown,bark.orange,bark.yellow,bark.red,bark.pink,bark.white,bark.cream,bark.grey,bark.green,bark.OTHER,cambium.black,cambium.darkbrown,cambium.brown,cambium.lightbrown,cambium.orange,cambium.yellow,cambium.red,cambium.pink,cambium.white,cambium.cream,cambium.grey,cambium.green,cambium.OTHER,wood.black,wood.darkbrown,wood.brown,wood.lightbrown,wood.orange,wood.yellow,wood.red,wood.pink,wood.white,wood.cream,wood.grey,wood.green,SpeciesMissing,TOREMOVE,TOREMOVE.comment,Herbivory_Young_missing,Herbivory_Mature_missing,FamilyNEW14,GenusNEW14,speciesNEW14,MorphospeciesNEW,SpeciesNEW-OLD,Family-OLD,Genus-OLD,Species-OLD,SpeciesNameDiff,Herbivory Added Mature/Young
WP1A0001,WP,8.6,0,4.27,03-Mar-06,tree,4.6,4.9,2.1,1.2,0,48.289,1.792,0,5.5245487603,0,3544.427,3342.352,NA,NA,72.6,0,,1,0,0,0,0,0,0,0,1,0,42,1,150,49.34066667,1.782333333,150,0,Dipterocarpaceae,Vatica,Vatica papuana,papuana,0,,0,0,0,0,0,0,NO,NO,1.2,5.5245487603,9.5,NA,202.075,0,0,0,0,0,0,0,0,0,1,1,1,0,42,42,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Dipterocarpaceae,Vatica,papuana,,Vatica papuana,Dipterocarpaceae,Vatica,Vatica papuana,0,0
WP1A0002,WP,6.1,3.182,3.182,03-Mar-06,tree,3.05,2.7,1.2,0.8,0,43.5165,1.50875,0,3.6052490323,0,1441.858,1397.034,NA,NA,31,0,First ID: Phyllanthus choristylllus,1,0,0,0,0,0,0,0,0,0,17,1,212.2641509,43.5165,1.50875,212.2641509434,0,Phyllanthaceae,Phyllanthus,Phyllanthus clamboides,clamboides,0,,1,1,0,0,0,0,NO,NO,0.8,3.6052490323,5.75,NA,44.824,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Phyllanthaceae,Phyllanthus,clamboides,,Phyllanthus clamboides,Phyllanthaceae,Phyllanthus,Phyllanthus clamboides,0,0
WP1A0003,WP,5,0,2.2,03-Mar-06,tree,1.7,2.75,4.1,0.9,0,44.806,2.762,0,3.5735383178,0,1490.042,1274.562,NA,NA,32.1,0,sterile plant vouchers,1,0,0,0,0,0,0,0,0,0,4,1,197.3684211,44.87166667,2.334666667,197.3684210526,0,Meliaceae,Dysoxylum,Dysoxylum pettigrewianum,pettigrewianum,0,,0,0,0,0,0,0,NO,NO,0.9,3.5735383178,4.45,NA,215.48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,no,no,no,data ok,data ok,Meliaceae,Dysoxylum,pettigrewianum,,Dysoxylum pettigrewianum,Meliaceae,Dysoxylum,Dysoxylum pettigrewianum,0,0
WP1A0004,WP,7.6,4.604,2.147,03-Mar-06,tree,5.2,3.5,3.4,1.6,0,44.15,2.431,0,8.7577029412,0,3014.936,2977.619,NA,NA,54.4,0,latex outflow: 55 mm,0,1,0,0,0,0,0,0,0,0,0,0,264.7058824,44.4625,2.751,264.7058823529,0,Moraceae,Prainea,Prainea papuana,papuana,0,,0,0,0,0,0,0,NO,NO,1.6,8.7577029412,8.7,NA,37.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,no,no,no,data ok,data ok,Moraceae,Prainea,papuana,,Prainea papuana,Moraceae,Prainea,Prainea papuana,0,0
WP1A0005,WP,20.9,5.989,1.605,07-Mar-06,tree,13.4,9.3,3.7,11.2,0.233,49.223,1.881,0,46.3681296046,0.8555564304,4385.225,4293.192,1435,1399,103.7,38.1,young leaves 233.0 kg?,0,0,0,0,0,1,0,0,0,2,1,0,195.6521739,47.73075,1.76675,195.652173913,0,Myristicaceae,Gymnacranthera,Gymnacranthera paniculata,paniculata,0,,0,0,0,0,0,0,NO,NO,11.433,47.2236860351,22.7,36,92.033,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,no,no,no,data ok,data ok,Myristicaceae,Gymnacranthera,paniculata,,Gymnacranthera paniculata,Myristicaceae,Gymnacranthera,Gymnacranthera paniculata,0,0
WP1A0006,WP,7.4,6.346,1.7,04-Mar-06,tree,4.5,5.4,1,1.1,0,47.457,2.5275,0,3.4095285714,0,1555.171,1497.093,NA,NA,48.3,0,,1,0,0,0,0,0,0,0,0,0,0,1,165.4411765,46.04033333,2.259,165.4411764706,0,Cornaceae,Alangium,Alangium javanicum,javanicum,x,,1,1,0,0,0,0,NO,NO,1.1,3.4095285714,9.9,NA,58.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,no,no,no,data ok,data ok,Pandaceae,Galearia,celebica,,Galearia celebica,Pandaceae,Galearia,Galearia celebica,0,0
WP1A0007,WP,7.8,8.692,3.164,04-Mar-06,tree,3.8,2.85,0.5,0,0,47.848,2.569,0,0,0,NA,NA,NA,NA,0,0,sterile plant vouchers,1,0,0,0,0,0,0,0,0,0,0,1,NA,47.848,2.569,154.7861733364,0,Polygalaceae,Xanthophyllum,Xanthophyllum papuanum,papuanum,0,,1,1,1,0,0,0,NO,no mature and young leaves weights,0,0,6.65,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,no,no,chance to find further records,data ok,data ok,Polygalaceae,Xanthophyllum,papuanum,,Xanthophyllum papuanum,Polygalaceae,Xanthophyllum,Xanthophyllum papuanum,0,0
WP1A0008,WP,10.2,6.922,4.847,03-Mar-06,tree,7.4,2.7,3.6,3.6,0,46.028,2.545,0,19.380625273,0,3825.292,3450.828,NA,NA,64.1,0,,1,0,0,0,0,0,0,0,0,0,6,1,174.4186047,46.5145,2.553,174.4186046512,0,Icacinaceae,Merrilliodendron,Merrilliodendron megacarpum,megacarpum,0,,0,0,0,0,0,0,NO,NO,3.6,19.380625273,10.1,NA,374.464,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,no,no,no,data ok,data ok,Icacinaceae,Merrilliodendron,megacarpum,,Merrilliodendron megacarpum,Icacinaceae,Merrilliodendron,Merrilliodendron megacarpum,0,0
WP1A0009,WP,8.8,3.423,7.341,03-Mar-06,tree,3.7,4.8,1.7,0.5,0,42.473,2.2445,0,2.6709900794,0,1410.753,1346.179,NA,NA,25.2,0,sterile plant vouchers,0,0,0,0,0,0,0,1,0,0,0,1,225,41.42925,2.0365,225,0,Anacardiaceae,Dracontomelon,Dracontomelon dao,dao,0,,1,1,0,0,0,0,NO,NO,0.5,2.6709900794,8.5,NA,64.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Anacardiaceae,Dracontomelon,dao,,Dracontomelon dao,Anacardiaceae,Dracontomelon,Dracontomelon dao,0,0
WP1A0010,WP,19.8,8.465,7.103,04-Mar-06,tree,8.45,10,6.9,15,0,45.26525,2.267,0,70.5754263566,0,4068.723,3641.692,NA,NA,77.4,0,previous ID alternifolium (Elmer) Merr. & Rolfe by K. Damas,1,0,0,0,0,0,0,0,0,0,0,1,100.4464286,45.26525,2.267,100.4464285714,0,Fabaceae,Kingiodendron,Kingiodendron novoguineense,novoguineense,0,,1,1,0,0,0,0,NO,NO,15,70.5754263566,18.45,NA,427.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Fabaceae,Kingiodendron,novoguineense,,Kingiodendron novoguineense,Fabaceae,Kingiodendron,Kingiodendron novoguineense,0,0
