id,plot,PLOTPLOT,sub,subplot,sample_code_tree,TreesGeorge,UniqueInter,field_code,dbh,CAT,qty,SingleINTERACTION,bin_CATERPILLAR_ID,interaction code,FAMILY,Dubious_removal,Notes- move yess,plant_family,plant_genus,plant_species,morphospecies,PLANTx,subfamily,tribe,genus,species,subspecies
1162,A0165,A,3A0165,A3,YP3A0165,Psychotria_murmurensis,Psychotria_murmurensisAAA3383,CATY002,5.6,YP3A0165CATY002,2,no,AAA3383,YP3A0165AAA3383,Crambidae,,,Rubiaceae,Psychotria,murmurensis,,RubiaPsycmurm,Spilomelinae,,Meekiaria,Meekiaria sp.,
738,A0066,A,2A0066,A2,YP2A0066,Psychotria_micrococca,Psychotria_micrococcaAAA3383,CATY001,6.0,YP2A0066CATY001,6,no,AAA3383,YP2A0066AAA3383,Crambidae,,,Rubiaceae,Psychotria,micrococca,,RubiaPsycmicr,Spilomelinae,,Meekiaria,Meekiaria sp.,
82,A0025,A,1A0025,A1,YP1A0025,Psychotria_micrococca,Psychotria_micrococcaAAA3383,CATY002,8.8,YP1A0025CATY002,1,no,AAA3383,YP1A0025AAA3383,Crambidae,,,Rubiaceae,Psychotria,micrococca,,RubiaPsycmicr,Spilomelinae,,Meekiaria,Meekiaria sp.,
1776,A0220,A,4A0220,A4,YP4A0220,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAC1158,CATY002,48.5,YP4A0220CATY002,1,yes,AAC1158,YP4A0220AAC1158,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Paradromulia,Paradromulia sp.,
1153,A0162,A,3A0162,A3,YP3A0162,Toona_sureni,Toona_sureniAAC1387,CATY001,7.4,YP3A0162CATY001,4,no,AAC1387,YP3A0162AAC1387,Tortricidae,,,Meliaceae,Toona,sureni,,MeliaToonsure,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
109,A0037,A,1A0037,A1,YP1A0037,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAC1387,CATY007,34.3,YP1A0037CATY007,2,no,AAC1387,YP1A0037AAC1387,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
40,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAC1387,CATY008,96.0,YP1A0018CATY008,1,no,AAC1387,YP1A0018AAC1387,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
89,A0028,A,1A0028,A1,YP1A0028,Ficus_rubrivestimenta,Ficus_rubrivestimentaAAD8828,CATY001,9.6,YP1A0028CATY001,3,no,AAD8828,YP1A0028AAD8828,Crambidae,,,Moraceae,Ficus,rubrivestimenta,,MoracFicurubr,Spilomelinae,,Talanga,Talanga exquisitalis,
90,A0028,A,1A0028,A1,YP1A0028,Ficus_rubrivestimenta,Ficus_rubrivestimentaAAD8828,CATY003,9.6,YP1A0028CATY003,1,no,AAD8828,YP1A0028AAD8828,Crambidae,,,Moraceae,Ficus,rubrivestimenta,,MoracFicurubr,Spilomelinae,,Talanga,Talanga exquisitalis,
10,A0004,A,1A0004,A1,YP1A0004,Ficus_wassa,Ficus_wassaAAD8828,CATY001,23.4,YP1A0004CATY001,28,no,AAD8828,YP1A0004AAD8828,Crambidae,,,Moraceae,Ficus,wassa,,MoracFicuwass,Spilomelinae,,Talanga,Talanga exquisitalis,
166,A0057,A,1A0057,A1,YP1A0057,Turpinia_pentandra,Turpinia_pentandraAAF9348,CATY003,9.9,YP1A0057CATY003,1,yes,AAF9348,YP1A0057AAF9348,Tortricidae,,,Staphyleaceae,Turpinia,pentandra,,StaphTurppent,Tortricinae,,,BOLD:AAF9348,
48,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAF9349,CATY020,96.0,YP1A0018CATY020,3,no,AAF9349,YP1A0018AAF9349,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,*Tortricinae,,,,
147,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiAAF9464,CATY006,26.5,YP1A0055CATY006,1,no,AAF9464,YP1A0055AAF9464,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,,,
1787,A0230,A,4A0230,A4,YP4A0230,Sloanea_sogerensis,Sloanea_sogerensisAAF9464,CATY008,33.3,YP4A0230CATY008,1,yes,AAF9464,YP4A0230AAF9464,Geometridae,,,Elaeocarpaceae,Sloanea,sogerensis,,ElaeoSloasoge,Ennominae,,,,
1175,A0172,A,3A0172,A3,YP3A0172,Planchonella_myrsinodendron,Planchonella_myrsinodendronAAG0043,CATY003,19.0,YP3A0172CATY003,1,yes,AAG0043,YP3A0172AAG0043,Gelechiidae,,,Sapotaceae,Planchonella,myrsinodendron,,SapotPlanmyrs,,,Hylograptis,thryptica,
1140,A0149,A,3A0149,A3,YP3A0149,Uncaria_nervosa,Uncaria_nervosaAAG0558,CATY004,6.5,YP3A0149CATY004,1,yes,AAG0558,YP3A0149AAG0558,Crambidae,,,Rubiaceae,Uncaria,nervosa,,RubiaUncanerv,Spilomelinae,,Omiodes,*nipponalis,
757,A0088,A,2A0088,A2,YP2A0088,Perrottetia_alpestris,Perrottetia_alpestrisAAJ3973,CATY007,18.7,YP2A0088CATY007,1,yes,AAJ3973,YP2A0088AAJ3973,Geometridae,,,Celastraceae,Perrottetia,alpestris,,CelasPerralpe,Ennominae,,Cleora,Cleora sp.,
739,A0066,A,2A0066,A2,YP2A0066,Psychotria_micrococca,Psychotria_micrococcaAAM0235,CATY002,6.0,YP2A0066CATY002,1,yes,AAM0235,YP2A0066AAM0235,Geometridae,,,Rubiaceae,Psychotria,micrococca,,RubiaPsycmicr,Ennominae,,Craspedosis,Craspedosis sp.,
743,A0070,A,2A0070,A2,YP2A0070,Turpinia_pentandra,Turpinia_pentandraAAM0235,CATY001,44.7,YP2A0070CATY001,1,no,AAM0235,YP2A0070AAM0235,Geometridae,,,Staphyleaceae,Turpinia,pentandra,,StaphTurppent,Ennominae,,Craspedosis,Craspedosis sp.,
1144,A0150,A,3A0150,A3,YP3A0150,Turpinia_pentandra,Turpinia_pentandraAAM9672,CATY004,26.8,YP3A0150CATY004,1,yes,AAM9672,YP3A0150AAM9672,Noctuidae,,,Staphyleaceae,Turpinia,pentandra,,StaphTurppent,Hadeninae,,Tiracola,,
112,A0039,A,1A0039,A1,YP1A0039,Aglaia_rimosa,Aglaia_rimosaAAO4116,CATY004,36.0,YP1A0039CATY004,1,yes,AAO4116,YP1A0039AAO4116,Erebidae,,,Meliaceae,Aglaia,rimosa,,MeliaAglarimo,Catocalinae,,Axiocteta,,
1111,A0122,A,3A0122,A3,YP3A0122,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAO4249,CATY008,41.0,YP3A0122CATY008,2,no,AAO4249,YP3A0122AAO4249,Crambidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Spilomelinae,,Omiodes,Omiodes sp.,
32,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAO4249,CATY003,96.0,YP1A0018CATY003,1,no,AAO4249,YP1A0018AAO4249,Crambidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Spilomelinae,,Omiodes,Omiodes sp.,
1106,A0122,A,3A0122,A3,YP3A0122,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP5694,CATY004,41.0,YP3A0122CATY004,4,no,AAP5694,YP3A0122AAP5694,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes sp. D,
