AutoNumber,NUMBER OF INDIVID,CollectionNumber,TYPE,NoOfPlantVouchers,Family_ID,Genus_ID,Species_Author,Morphospecies,Local_Name,Local_Name_Comments,LocalInformantName,LocalUse,Collector,DNAcutsShape,DNAcutsDryWeight,DNAcutsNumber,SLA_from_disks,DBH,Determined by,Determination date,Locality_Code,X_coordinate,Y_coordinate,Point,Angle,Dist,MeasurementCorner,subplot_column,subplot_row,Theta,Note,BA,CutdownDate,RecordedBy,GrowthForm,HostTreeNumber,PlantVouchersFruits,PlantVouchersFlowers,PlantVouchersLeaves,VoucherFertile,TrunkHeight,CrownHeight,CrownWidth,MatureLeafTotalWeight,MatureLeafSampleWetWeight,MatureLeafSampleDryWeight,MatureLeafNumberOfFrames,WholeTreeMatureLeafArea,NumberOfMatureLeavesInFrames,MatureLeafSampleAreaBeforeHerbivory,MatureLeafSampleAreaAfterHerbivory,SLA_ex_frames,YoungLeafTotalWeight,YoungLeafSampleWetWeight,YoungLeafSampleDryWeight,WholeTreeYoungLeafArea,YoungLeafNumberOfFrames,NumberOfYoungLeavesInFrame,YoungLeafSampleAreaBeforeHerbivory,YoungLeafSampleAreaAfterHerbivory,WoodSampleFreshWeight,WoodSampleDryWeight,WoodSampleVolume,TimberBaitAwet_wt,TimberBaitAdry_wt,TimberBaitBwet_wt,TimberBaitBdry_wt,TimberBaitCwet_wt,TimberBaitCdry_wt,NumberOfAntTermiteVials,NumberOfSpiderVials,TreeCavities,deadminesCAT001,deadminesCAT002,deadminesCAT003,deadminesCAT004,deadminesCAT005,deadminesCAT006,deadminesCAT007,deadminesCAT008,deadminesCAT009,deadminesCAT010,GeneralTreeDescription,ButtressesHeight,StiltRootsHeight,SpinesOrThorns,OuterBarkTexture-smooth,OuterBarkTexture-rough,OuterBarkTexture-flaky,OuterBarkTexture-lenticels,fissures-vertical,fissures-horizontal,fissures-broad,fissures-narrow,bark-black,bark-darkbrown,bark-brown,bark-lightbrown,bark-orange,bark-yellow,bark-red,bark-pink,bark-white,bark-cream,bark-grey,bark-green,cambium-black,cambium-darkbrown,cambium-brown,cambium-lightbrown,cambium-orange,cambium-yellow,cambium-red,cambium-pink,cambium-white,cambium-cream,cambium-grey,cambium-green,wood-black,wood-darkbrown,wood-brown,wood-lightbrown,wood-orange,wood-yellow,wood-red,wood-pink,wood-white,wood-cream,wood-grey,wood-green,exudate-absent,exudate-white,exudate-cream,exudate-yellow,exudate-orange,exudate-red,exudate-black,exudate-colorless,FernStipePersistence,FernStipeArrangement,FernStipeLength,FernFrondLength,FernLongest PinnaeLength,UpperFrondSurfaceTexture,UpperFrondSurfaceColor,LowerFrondSurfaceTexture,LowerFrondSurfaceColor,RhizomeSurfaceTexture,RhizomeSurfaceColor,EpiFernHeightMin,EpiFernHeightMax,EpiFernOrientation,comments,DNA samples sequenced,%Carbon,%Nitrogen,LAE_2013_set,fertile,sterile,bark-OTHER,cambium-OTHER,wood-OTHER,exudate-OTHER,BRU,sterile_MIN,Genus,species,Plantnetcode,
22157,1,YP1A0001,P,12,253,1578,9559,,kondo,,Samuel,"timber for house construction, fencing, sheds, and firewood; sap swallowed for scabies and other infections","Weiblen, G. D. & Binatang Research Center",disc,0.226,10,183.8040929204,54.7,G. Sosanika,7/12/2013,YA,,,A1,110,1.2,,,,,"F,C dbh later",,9/22/2010,Kenneth,tree,,FALSE,FALSE,FALSE,TRUE,7.2,25.35,11.4,21,41.8,14.13,,,,,,183.8040924072,,,,,,,,,,421.55,73.6,,,,,,,7,3,FALSE,9,6,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Nauclea,tenuiflora,Nauclea_tenuiflora,_
22158,1,YP1A0002,P,3,192,1146,5405,,tapmap,,Samuel,"timber for house construction, posts, framing and fencing","Weiblen, G. D. & Binatang Research Center",disc,0.382,10,108.7427356021,5.9,K. Molem,7/22/2011,YA,,,A1,135,2,,,,,,,9/15/2010,Kenneth,tree,,FALSE,FALSE,FALSE,TRUE,2.9,4.3,2.6,2.5,52.5,0,,,,,,108.7427368164,,,,,,,,,,,,,,,,,,1,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Syzygium,furfuraceum,Syzygium_furfuraceum,_
22159,1,YP1A0003,P,5,3,32,8231,,biombo,,mangan,timber for house construction; fencing material,"Weiblen, G. D. & Binatang Research Center",disc,0.211,11,216.5578080569,5.9,G. Sosanika,1/20/2015,YA,,,A1,95,3.07,,,,,,,9/15/2010,kenneth,tree,,FALSE,FALSE,FALSE,TRUE,2.39,4,2.45,1,36.3,0,,,,,,216.5578155518,,,,,,,,,,,,,,,,,,,1,FALSE,8,2,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Saurauia,schumanniana,Saurauia_schumanniana,_
22160,1,YP1A0004,P,12,186,1088,9025,,kotokat,,Samuel,young leaves cooked as greens; stems for housing and fence construction; firewood,"Weiblen, G. D. & Binatang Research Center",disc,0.427,10,97.2827283372,23.4,G. D. Weiblen,6/3/2011,YA,,,A1,60,4.8,,,,,,,9/21/2010,kenneth,tree,,FALSE,FALSE,FALSE,TRUE,10,5.4,5.5,7,39.3,16.64,,,,,,97.2827301025,0.4795,36.5,8,,,,,,,121.28,254.7,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Ficus,wassa,Ficus_wassa,_
22161,1,YP1A0005,P,3,155,929,9419,,famendo fufu; famendo fofo,,Samuel,"timber for house, shed and fencing construction; firewood","Weiblen, G. D. & Binatang Research Center",disc,0.278,10,149.423471223,11.2,K. Damas,8/11/2011,YA,,,A1,65,6.06,,,,,,,9/21/2010,Kenneth,tree,,FALSE,FALSE,FALSE,FALSE,5.3,5.97,3.8,1.5,29.6,0,,,,,,149.4234771729,0.053,25.7,,,,,,,,64,147.5,,,,,,,2,1,FALSE,24,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Cryptocarya,apamifolia,Cryptocarya_apamifolia,_
22162,1,YP1A0006,P,3,273,1735,7519,,jovi jovi,,Mangan,"timber for house construction, fence posts and firewood; fish poison","Weiblen, G. D. & Binatang Research Center",disc,0.304,10,136.6438322368,6.3,"Damas, K.",3/3/2011,YA,,,A1,75,6.34,,,,,,,9/15/2010,kenneth,tree,,FALSE,FALSE,FALSE,FALSE,4.37,4.15,2.7,1,41.2,0,,,,,,136.6438293457,,,,,,,,,,,,,,,,,,,,FALSE,5,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Turpinia,pentandra,Turpinia_pentandra,_
22163,1,YP1A0007,P,3,22,183,9130,,katat,,samuel,"edible young shoots; timber for flooring, bows and arrows; fruit chewed as a substituted for betelnut","Weiblen, G. D. & Binatang Research Center",disc,0.479,10,86.7217640919,13.9,S. Senart,8/17/2011,YA,,,A1,90,9.15,,,,,,,9/17/2010,kenneth,palm,,FALSE,FALSE,FALSE,TRUE,5.14,6.2,5.6,6.5,33.8,13.8,,,,,,86.7217636108,0.6234,55.2,16,,,,,,,29,109.2,,,,,,,1,1,FALSE,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Heterospathe,muelleriana,Heterospathe_muelleriana,_
22164,1,YP1A0008,P,3,112,630,5059,,koyo,,samuel,timber for house and fencing construction,"Weiblen, G. D. & Binatang Research Center",,0.339,10,122.5360619469,12,G. Sosanika,8/17/2011,YA,,,A1,130,5.8,,,,,M - 8.4,,9/17/2010,kenneth,tree,,FALSE,FALSE,FALSE,FALSE,11.77,4.68,3.85,5,37.8,11.65,,,,,,122.5360641479,0.3735,43.1,12,,,,,,,30,,,,,,,,1,1,FALSE,23,8,,,,,,,,,,,0.9,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Elaeocarpus,dolichostylus,Elaeocarpus_dolichostylus,_
22165,1,YP1A0009,P,3,180,1026,7993,,sobon,,samuel,"timber for house, shed, and fencing construction","Weiblen, G. D. & Binatang Research Center",disc,0.516,10,80.5033430233,9.7,K. Damas,8/16/2011,YA,,,A2,20,6.1,,,,,,,9/17/2010,kenneth,tree,,FALSE,FALSE,FALSE,FALSE,3.9,10.3,5.8,16,47.3,0,,,,,,80.5033416748,0.0679,40.8,,,,,,,,,,,,,,,,1,2,FALSE,11,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Aglaia,rimosa,Aglaia_rimosa,_
22166,1,YP1A0010,P,3,186,1088,5791,,pangam,,Samuel,fruits are eaten by birds; firewood,"Weiblen, G. D. & Binatang Research Center",disc,0.498,10,83.4131024096,7.2,"Weiblen, G. D.",6/3/2011,YA,,,A2,25,6.05,,,,,,,9/17/2010,kenneth,tree,,FALSE,FALSE,FALSE,FALSE,2.42,6.71,2.42,3.5,41.8,0,,,,,,83.4131011963,,,,,,,,,,,,,,,,,,,1,FALSE,10,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,,,,,FALSE,,Ficus,hombroniana,Ficus_hombroniana,_
