TreeN	Species	Family	DBH	LogDBH	Locality	Dataset	Genus
WP1A0001	Vatica.papuana	Dipterocarpaceae	8.6	0.934498451	WP	1	Vatica
WP1A0002	Phyllanthus.clamboides	Phyllanthaceae	6.1	0.785329835	WP	1	Phyllanthus
WP1A0003	Dysoxylum.pettigrewianum	Meliaceae	5	0.698970004	WP	1	Dysoxylum
WP1A0004	Prainea.papuana	Moraceae	7.6	0.880813592	WP	1	Prainea
WP1A0005	Gymnacranthera.paniculata	Myristicaceae	20.9	1.320146286	WP	1	Gymnacranthera
WP1A0006	Galearia.celebica	Pandaceae	7.4	0.86923172	WP	1	Galearia
WP1A0007	Xanthophyllum.papuanum	Polygalaceae	7.8	0.892094603	WP	1	Xanthophyllum
WP1A0008	Merrilliodendron.megacarpum	Icacinaceae	10.2	1.008600172	WP	1	Merrilliodendron
WP1A0009	Dracontomelon.dao	Anacardiaceae	8.8	0.944482672	WP	1	Dracontomelon
WP1A0010	Kingiodendron.novoguineense	Fabaceae	19.8	1.29666519	WP	1	Kingiodendron
WP1A0011	Pimelodendron.amboinicum	Euphorbiaceae	14	1.146128036	WP	1	Pimelodendron
WP1A0012	Horsfieldia.basifissa	Myristicaceae	19.1	1.281033367	WP	1	Horsfieldia
WP1A0013	Vatica.papuana	Dipterocarpaceae	11.3	1.053078443	WP	1	Vatica
WP1A0014	Artocarpus.sepicanus	Moraceae	91.9	1.963315511	WP	1	Artocarpus
WP1A0015	Myristica.fatua	Myristicaceae	41.8	1.621176282	WP	1	Myristica
WP1A0016	Barringtonia.apiculata	Lecythidaceae	9.1	0.959041392	WP	1	Barringtonia
WP1A0017	Omphalea.papuana	Euphorbiaceae	16.2	1.209515015	WP	1	Omphalea
WP1A0018	Litsea.timoriana	Lauraceae	7.8	0.892094603	WP	1	Litsea
WP1A0019	Teijsmanniodendron.bogoriense	Lamiaceae	40.9	1.611723308	WP	1	Teijsmanniodendron
WP1A0020	Palaquium.morobense	Sapotaceae	8.3	0.919078092	WP	1	Palaquium
WP1A0021	Vatica.papuana	Dipterocarpaceae	42.8	1.631443769	WP	1	Vatica
WP1A0022	Dysoxylum.kaniense	Meliaceae	6.4	0.806179974	WP	1	Dysoxylum
WP1A0023	Litsea.timoriana	Lauraceae	7.6	0.880813592	WP	1	Litsea
WP1A0024	Teijsmanniodendron.bogoriense	Lamiaceae	7.2	0.857332496	WP	1	Teijsmanniodendron
WP1A0025	Pangium.edule	Achariaceae	27.6	1.440909082	WP	1	Pangium
WP1A0026	Palaquium.morobense	Sapotaceae	26.1	1.416640507	WP	1	Palaquium
WP1A0027	Pisonia.longirostris	Nyctaginaceae	5.2	0.716003344	WP	1	Pisonia
WP1A0028	Terminalia.complanata	Combretaceae	6.8	0.832508913	WP	1	Terminalia
WP1A0029	Aglaia.argentea	Meliaceae	7.9	0.897627091	WP	1	Aglaia
WP1A0030	Palaquium.morobense	Sapotaceae	8.4	0.924279286	WP	1	Palaquium
WP1A0031	Elaeocarpus.amplifolius	Elaeocarpaceae	7.1	0.851258349	WP	1	Elaeocarpus
WP1A0032	Kingiodendron.novoguineense	Fabaceae	17.4	1.240549248	WP	1	Kingiodendron
WP1A0033	Gymnacranthera.paniculata	Myristicaceae	25	1.397940009	WP	1	Gymnacranthera
WP1A0034	Endospermum.medullosum	Euphorbiaceae	53.7	1.729974286	WP	1	Endospermum
WP1A0035	Gnetum.gnemon	Gnetaceae	8.2	0.913813852	WP	1	Gnetum
WP1A0036	Kingiodendron.novoguineense	Fabaceae	17	1.230448921	WP	1	Kingiodendron
WP1A0037	Teijsmanniodendron.bogoriense	Lamiaceae	7.7	0.886490725	WP	1	Teijsmanniodendron
WP1A0038	Barringtonia.apiculata	Lecythidaceae	5.3	0.72427587	WP	1	Barringtonia
WP1A0039	Merremia.peltata	Convolvulaceae	6.2	0.792391689	WP	1	Merremia
WP1A0040	Medusanthera.laxiflora	Stemonuraceae	6.5	0.812913357	WP	1	Medusanthera
WP1A0041	Gnetum.gnemon	Gnetaceae	5.8	0.763427994	WP	1	Gnetum
WP1A0042	Garuga.floribunda	Burseraceae	10.3	1.012837225	WP	1	Garuga
WP1A0043	Terminalia.complanata	Combretaceae	5.5	0.740362689	WP	1	Terminalia
WP1A0044	Horsfieldia.basifissa	Myristicaceae	5.5	0.740362689	WP	1	Horsfieldia
WP1A0045	Polyalthia.glauca	Annonaceae	13.8	1.139879086	WP	1	Polyalthia
WP1A0046	Papuechites.aambe	Apocynaceae	8.8	0.944482672	WP	1	Papuechites
WP1A0047	Pandanus.kaernbachii	Pandanaceae	6.2	0.792391689	WP	1	Pandanus
WP1A0048	Aphanamixis.polystachya	Meliaceae	19.4	1.28780173	WP	1	Aphanamixis
WP1A1281	Myristica.fatua	Myristicaceae	6.1	0.785329835	WP	1	Myristica
WP1A1282	Barringtonia.calyptrocalyx	Lecythidaceae	5.4	0.73239376	WP	1	Barringtonia
WP1B0049	Merrilliodendron.megacarpum	Icacinaceae	7.8	0.892094603	WP	1	Merrilliodendron
WP1B0050	Palaquium.morobense	Sapotaceae	12.8	1.10720997	WP	1	Palaquium
WP1B0051	Endiandra.squarrosa	Lauraceae	22	1.342422681	WP	1	Endiandra
WP1B0052	Teijsmanniodendron.bogoriense	Lamiaceae	6.3	0.799340549	WP	1	Teijsmanniodendron
WP1B0053	Gymnacranthera.paniculata	Myristicaceae	8.1	0.908485019	WP	1	Gymnacranthera
WP1B0054	Palaquium.morobense	Sapotaceae	12.5	1.096910013	WP	1	Palaquium
WP1B0055	Celtis.latifolia	Cannabaceae	5.1	0.707570176	WP	1	Celtis
WP1B0056	Gulubia.costata	Arecaceae	29	1.462397998	WP	1	Gulubia
WP1B0057	Elaeocarpus.amplifolius	Elaeocarpaceae	6.1	0.785329835	WP	1	Elaeocarpus
WP1B0058	Ficus.rubrivestimenta	Moraceae	19.5	1.290034611	WP	1	Ficus
WP1B0059	Pisonia.longirostris	Nyctaginaceae	6.5	0.812913357	WP	1	Pisonia
WP1B0063	Horsfieldia.basifissa	Myristicaceae	9.7	0.986771734	WP	1	Horsfieldia
WP1B0064	Phyllanthus.clamboides	Phyllanthaceae	6	0.77815125	WP	1	Phyllanthus
WP1B0065	Dracaena.angustifolia	Asparagaceae	7.5	0.875061263	WP	1	Dracaena
WP1B0066	Pometia.pinnata	Sapindaceae	17.6	1.245512668	WP	1	Pometia
WP1B0067	Ziziphus.angustifolia	Rhamnaceae	13.7	1.136720567	WP	1	Ziziphus
WP1B0068	Pometia.pinnata	Sapindaceae	59.6	1.77524626	WP	1	Pometia
WP1B0069	Palaquium.warburgianum	Sapotaceae	7.2	0.857332496	WP	1	Palaquium
WP1B0070	Gymnacranthera.paniculata	Myristicaceae	15.7	1.195899652	WP	1	Gymnacranthera
WP1B0071	Horsfieldia.basifissa	Myristicaceae	10.8	1.033423755	WP	1	Horsfieldia
WP1B0072	Litsea.timoriana	Lauraceae	8.6	0.934498451	WP	1	Litsea
WP1B0073	Ailanthus.integrifolia	Simaroubaceae	12.4	1.093421685	WP	1	Ailanthus
WP1B0074	Pangium.edule	Achariaceae	5.2	0.716003344	WP	1	Pangium
WP1B0075	Calophyllum.soulattri	Clusiaceae	16.7	1.222716471	WP	1	Calophyllum
WP1B0076	Horsfieldia.basifissa	Myristicaceae	27.7	1.442479769	WP	1	Horsfieldia
WP1B0077	Myristica.fatua	Myristicaceae	5.8	0.763427994	WP	1	Myristica
WP1B0078	Teijsmanniodendron.bogoriense	Lamiaceae	5.5	0.740362689	WP	1	Teijsmanniodendron
WP1B0079	Pangium.edule	Achariaceae	7.4	0.86923172	WP	1	Pangium
WP1B0080	Elaeocarpus.amplifolius	Elaeocarpaceae	6.6	0.819543936	WP	1	Elaeocarpus
WP1B0081	Ficus.trachypison	Moraceae	25	1.397940009	WP	1	Ficus
WP1B0082	Horsfieldia.basifissa	Myristicaceae	7.1	0.851258349	WP	1	Horsfieldia
WP1B0083	Alstonia.scholaris	Apocynaceae	19.2	1.283301229	WP	1	Alstonia
WP1B0084	Artocarpus.sepicanus	Moraceae	12.7	1.103803721	WP	1	Artocarpus
WP1B0085	Canarium.acutifolium	Burseraceae	10.5	1.021189299	WP	1	Canarium
WP1B0086	Pisonia.longirostris	Nyctaginaceae	7.6	0.880813592	WP	1	Pisonia
WP1B0087	Phyllanthus.clamboides	Phyllanthaceae	5.3	0.72427587	WP	1	Phyllanthus
WP1B0088	Myristica.fatua	Myristicaceae	8.8	0.944482672	WP	1	Myristica
WP1B0089	Palaquium.morobense	Sapotaceae	8.9	0.949390007	WP	1	Palaquium
WP1B0090	Ternstroemia.cherryi	Pentaphylacaceae	6.1	0.785329835	WP	1	Ternstroemia
WP1B0091	Neoscortechinia.forbesii	Euphorbiaceae	11.5	1.06069784	WP	1	Neoscortechinia
WP1B0092	Litsea.timoriana	Lauraceae	11.6	1.064457989	WP	1	Litsea
WP1B0093	Pometia.pinnata	Sapindaceae	10.3	1.012837225	WP	1	Pometia
WP1B0094	Ficus.hahliana	Moraceae	5.7	0.755874856	WP	1	Ficus
WP1B0095	Aglaia.brassii	Meliaceae	5.2	0.716003344	WP	1	Aglaia
WP1B0096	Polyalthia.sp..2	Annonaceae	33.4	1.523746467	WP	1	Polyalthia
WP1B0097	Canarium.vitiense	Burseraceae	18.9	1.276461804	WP	1	Canarium
WP1B0098	Litsea.timoriana	Lauraceae	6	0.77815125	WP	1	Litsea
WP1B0099	Horsfieldia.basifissa	Myristicaceae	7.9	0.897627091	WP	1	Horsfieldia
WP1B0100	Myristica.sp.	Myristicaceae	14.7	1.167317335	WP	1	Myristica
WP1B0101	Dysoxylum.molle	Meliaceae	6.9	0.838849091	WP	1	Dysoxylum
WP1B1283	Planchonella.sp.	Sapotaceae	7.1	0.851258349	WP	1	Planchonella
WP1B1284	Ziziphus.angustifolia	Rhamnaceae	5.4	0.73239376	WP	1	Ziziphus
WP1B1285	Abrus.precatorius	Fabaceae	5.4	0.73239376	WP	1	Abrus
WP1C0060	Chionanthus.sessiliflorus	Oleaceae	10.4	1.017033339	WP	1	Chionanthus
WP1C0061	Terminalia.complanata	Combretaceae	17.9	1.252853031	WP	1	Terminalia
WP1C0062	Chisocheton.trichocladus	Meliaceae	8.6	0.934498451	WP	1	Chisocheton
WP1C0102	Mastixiodendron.pachyclados	Rubiaceae	6	0.77815125	WP	1	Mastixiodendron
WP1C0103	Gymnacranthera.paniculata	Myristicaceae	8.3	0.919078092	WP	1	Gymnacranthera
WP1C0104	Mastixiodendron.pachyclados	Rubiaceae	29.6	1.471291711	WP	1	Mastixiodendron
WP1C0105	Palaquium.morobense	Sapotaceae	5.7	0.755874856	WP	1	Palaquium
WP1C0106	Ficus.rubrivestimenta	Moraceae	7.9	0.897627091	WP	1	Ficus
WP1C0107	Horsfieldia.basifissa	Myristicaceae	7.1	0.851258349	WP	1	Horsfieldia
WP1C0108	Neonauclea.obversifolia	Rubiaceae	38.7	1.587710965	WP	1	Neonauclea
WP1C0109	Teijsmanniodendron.bogoriense	Lamiaceae	35.6	1.551449998	WP	1	Teijsmanniodendron
WP1C0110	Horsfieldia.basifissa	Myristicaceae	9.7	0.986771734	WP	1	Horsfieldia
WP1C0111	Dracontomelon.dao	Anacardiaceae	40	1.602059991	WP	1	Dracontomelon
WP1C0112	Erythrospermum.candidum	Salicaceae	18.7	1.271841607	WP	1	Erythrospermum
WP1C0113	Strychnos.minor	Loganiaceae	8.8	0.944482672	WP	1	Strychnos
WP1C0114	Gnetum.latifolium	Gnetaceae	6.6	0.819543936	WP	1	Gnetum
WP1C0115	Horsfieldia.basifissa	Myristicaceae	9	0.954242509	WP	1	Horsfieldia
WP1C0116	Pometia.pinnata	Sapindaceae	8.6	0.934498451	WP	1	Pometia
WP1C0117	Phyllanthus.clamboides	Phyllanthaceae	5.9	0.770852012	WP	1	Phyllanthus
WP1C0118	Horsfieldia.basifissa	Myristicaceae	10.4	1.017033339	WP	1	Horsfieldia
WP1C0119	Chisocheton.formicarum	Meliaceae	6.4	0.806179974	WP	1	Chisocheton
WP1C0120	Palaquium.morobense	Sapotaceae	13.4	1.127104798	WP	1	Palaquium
WP1C0121	Pometia.pinnata	Sapindaceae	23	1.361727836	WP	1	Pometia
WP1C0122	Celtis.latifolia	Cannabaceae	10.6	1.025305865	WP	1	Celtis
WP1C0123	Horsfieldia.basifissa	Myristicaceae	7.2	0.857332496	WP	1	Horsfieldia
WP1C0124	Myristica.fatua	Myristicaceae	6.2	0.792391689	WP	1	Myristica
WP1C0125	Horsfieldia.hellwigii	Myristicaceae	6.4	0.806179974	WP	1	Horsfieldia
WP1C0126	Teijsmanniodendron.bogoriense	Lamiaceae	6	0.77815125	WP	1	Teijsmanniodendron
WP1C0127	Gnetum.gnemon	Gnetaceae	11.4	1.056904851	WP	1	Gnetum
WP1C0128	Teijsmanniodendron.bogoriense	Lamiaceae	21.5	1.33243846	WP	1	Teijsmanniodendron
WP1C0129	Pometia.pinnata	Sapindaceae	41.4	1.617000341	WP	1	Pometia
WP1C0130	Horsfieldia.basifissa	Myristicaceae	6.4	0.806179974	WP	1	Horsfieldia
WP1C0131	Gymnacranthera.paniculata	Myristicaceae	11.5	1.06069784	WP	1	Gymnacranthera
WP1C0132	Mastixiodendron.pachyclados	Rubiaceae	8.5	0.929418926	WP	1	Mastixiodendron
WP1C0133	Litsea.timoriana	Lauraceae	6.6	0.819543936	WP	1	Litsea
WP1C0134	Celtis.philippensis	Cannabaceae	43	1.633468456	WP	1	Celtis
WP1C0135	Horsfieldia.basifissa	Myristicaceae	15.9	1.201397124	WP	1	Horsfieldia
WP1C0137	Gymnacranthera.paniculata	Myristicaceae	9.1	0.959041392	WP	1	Gymnacranthera
WP1C0151	Planchonella.sp.	Sapotaceae	5	0.698970004	WP	1	Planchonella
WP1C0152	Palaquium.morobense	Sapotaceae	19.2	1.283301229	WP	1	Palaquium
WP1C0153	Gymnacranthera.paniculata	Myristicaceae	12.9	1.11058971	WP	1	Gymnacranthera
WP1C0154	Pisonia.longirostris	Nyctaginaceae	6.2	0.792391689	WP	1	Pisonia
WP1C0155	Prunus.schlechteri	Rosaceae	7.4	0.86923172	WP	1	Prunus
WP1C0156	Endocomia.macrocoma	Myristicaceae	18.2	1.260071388	WP	1	Endocomia
WP1C0158	Horsfieldia.basifissa	Myristicaceae	6.6	0.819543936	WP	1	Horsfieldia
WP1C0159	Ficus.rubrivestimenta	Moraceae	8.4	0.924279286	WP	1	Ficus
WP1C0160	Myristica.fatua	Myristicaceae	9.9	0.995635195	WP	1	Myristica
WP1C0161	Horsfieldia.basifissa	Myristicaceae	15.8	1.198657087	WP	1	Horsfieldia
WP1C0162	Erythrospermum.candidum	Salicaceae	25.5	1.40654018	WP	1	Erythrospermum
WP1C0163	Palaquium.morobense	Sapotaceae	5.9	0.770852012	WP	1	Palaquium
WP1C0164	Pimelodendron.amboinicum	Euphorbiaceae	5.8	0.763427994	WP	1	Pimelodendron
WP1C0165	Macaranga.fallacina	Euphorbiaceae	8.7	0.939519253	WP	1	Macaranga
WP1C0166	Canarium.indicum	Burseraceae	35.7	1.552668216	WP	1	Canarium
WP1C0167	Medusanthera.laxiflora	Stemonuraceae	5	0.698970004	WP	1	Medusanthera
WP1C0168	Horsfieldia.basifissa	Myristicaceae	6.6	0.819543936	WP	1	Horsfieldia
WP1C0169	Dysoxylum.arborescens	Meliaceae	7.4	0.86923172	WP	1	Dysoxylum
WP1C0170	Cryptocarya.mackinnoniana	Lauraceae	12.4	1.093421685	WP	1	Cryptocarya
WP1C0171	Horsfieldia.basifissa	Myristicaceae	5.1	0.707570176	WP	1	Horsfieldia
WP1C0172	Pimelodendron.amboinicum	Euphorbiaceae	11.4	1.056904851	WP	1	Pimelodendron
WP1C0173	Gnetum.gnemonoides	Gnetaceae	7.4	0.86923172	WP	1	Gnetum
WP1C0174	Palaquium.morobense	Sapotaceae	13.2	1.120573931	WP	1	Palaquium
WP1C1286	Gen?.sp.	Fam?	NA	NA	WP	1	Gen?
WP1C1287	Syzygium.furfuraceum	Myrtaceae	9.3	0.968482949	WP	1	Syzygium
WP1C1288	Gen?.sp.	Fam?	NA	NA	WP	1	Gen?
WP1D0136	Dysoxylum.arborescens	Meliaceae	28.4	1.45331834	WP	1	Dysoxylum
WP1D0138	Pangium.edule	Achariaceae	14.8	1.170261715	WP	1	Pangium
WP1D0139	Neisosperma.citrodora	Apocynaceae	7	0.84509804	WP	1	Neisosperma
WP1D0140	Microcos.grandiflora	Malvaceae	10.9	1.037426498	WP	1	Microcos
WP1D0141	Celtis.latifolia	Cannabaceae	30.9	1.489958479	WP	1	Celtis
WP1D0142	Gnetum.gnemonoides	Gnetaceae	7.2	0.857332496	WP	1	Gnetum
WP1D0143	Palaquium.warburgianum	Sapotaceae	5.6	0.748188027	WP	1	Palaquium
WP1D0144	Microcos.grandiflora	Malvaceae	6.1	0.785329835	WP	1	Microcos
WP1D0145	Teijsmanniodendron.bogoriense	Lamiaceae	11.6	1.064457989	WP	1	Teijsmanniodendron
WP1D0146	Mastixiodendron.pachyclados	Rubiaceae	5.9	0.770852012	WP	1	Mastixiodendron
WP1D0147	Pimelodendron.amboinicum	Euphorbiaceae	44	1.643452676	WP	1	Pimelodendron
WP1D0148	Embelia.cotinoides	Myrsinaceae	8.1	0.908485019	WP	1	Embelia
WP1D0149	Celtis.latifolia	Cannabaceae	21.8	1.338456494	WP	1	Celtis
WP1D0150	Strychnos.minor	Loganiaceae	7.2	0.857332496	WP	1	Strychnos
WP1D0157	Chisocheton.sp.	Meliaceae	NA	NA	WP	1	Chisocheton
WP1D0175	Aceratium.oppositifolium	Elaeocarpaceae	9.6	0.982271233	WP	1	Aceratium
WP1D0176	Uncaria.appendiculata	Rubiaceae	6.7	0.826074803	WP	1	Uncaria
WP1D0177	Maclura.amboinensis	Moraceae	6	0.77815125	WP	1	Maclura
WP1D0178	Syzygium.furfuraceum	Myrtaceae	6	0.77815125	WP	1	Syzygium
WP1D0179	Pisonia.longirostris	Nyctaginaceae	7.2	0.857332496	WP	1	Pisonia
WP1D0180	Aglaia.rimosa	Meliaceae	8.3	0.919078092	WP	1	Aglaia
WP1D0181	Microcos.argentata	Malvaceae	40.9	1.611723308	WP	1	Microcos
WP1D0182	Artocarpus.sepicanus	Moraceae	7	0.84509804	WP	1	Artocarpus
WP1D0183	Pometia.pinnata	Sapindaceae	12.5	1.096910013	WP	1	Pometia
WP1D0184	Phyllanthus.clamboides	Phyllanthaceae	6.3	0.799340549	WP	1	Phyllanthus
WP1D0185	Drypetes.lasiogynoides	Putranjivaceae	5.4	0.73239376	WP	1	Drypetes
WP1D0186	Pometia.pinnata	Sapindaceae	16.6	1.220108088	WP	1	Pometia
WP1D0187	Mastixiodendron.pachyclados	Rubiaceae	21.9	1.340444115	WP	1	Mastixiodendron
WP1D0188	Myristica.fatua	Myristicaceae	13	1.113943352	WP	1	Myristica
WP1D0189	Semecarpus.schlechteri	Anacardiaceae	10.3	1.012837225	WP	1	Semecarpus
WP1D0190	Terminalia.kaernbachii	Combretaceae	5	0.698970004	WP	1	Terminalia
WP1D0191	Versteegia.cauliflora	Rubiaceae	5.4	0.73239376	WP	1	Versteegia
WP1D0192	Artocarpus.sepicanus	Moraceae	12.3	1.089905111	WP	1	Artocarpus
WP1D0193	Tecomanthe.dendrophila	Bignoniaceae	5.1	0.707570176	WP	1	Tecomanthe
WP1D0194	Aphanamixis.polystachya	Meliaceae	5.5	0.740362689	WP	1	Aphanamixis
WP1D0195	Pisonia.longirostris	Nyctaginaceae	7.2	0.857332496	WP	1	Pisonia
WP1D0196	Dracontomelon.dao	Anacardiaceae	36.1	1.557507202	WP	1	Dracontomelon
WP1D0197	Phyllanthus.clamboides	Phyllanthaceae	5.2	0.716003344	WP	1	Phyllanthus
WP1D0198	Licuala.beccariana	Arecaceae	7.9	0.897627091	WP	1	Licuala
WP1D0199	Pimelodendron.amboinicum	Euphorbiaceae	7	0.84509804	WP	1	Pimelodendron
WP1D0200	Dracontomelon.dao	Anacardiaceae	8	0.903089987	WP	1	Dracontomelon
WP1D0201	Gnetum.gnemonoides	Gnetaceae	11	1.041392685	WP	1	Gnetum
WP1D0202	Ficus.hombroniana	Moraceae	12.5	1.096910013	WP	1	Ficus
WP1D0203	Teijsmanniodendron.bogoriense	Lamiaceae	38.6	1.586587305	WP	1	Teijsmanniodendron
WP1D0204	Litsea.timoriana	Lauraceae	10.7	1.029383778	WP	1	Litsea
WP1D0205	Horsfieldia.basifissa	Myristicaceae	6.2	0.792391689	WP	1	Horsfieldia
WP1D0206	Dracontomelon.dao	Anacardiaceae	6.1	0.785329835	WP	1	Dracontomelon
WP1D0207	Chisocheton.cumingianus	Meliaceae	8.1	0.908485019	WP	1	Chisocheton
WP1D0208	Pometia.pinnata	Sapindaceae	48.9	1.689308859	WP	1	Pometia
WP1D0209	Gymnacranthera.paniculata	Myristicaceae	12.1	1.08278537	WP	1	Gymnacranthera
WP1D0210	Aglaia.cucullata	Meliaceae	10.6	1.025305865	WP	1	Aglaia
WP1D0211	Pisonia.longirostris	Nyctaginaceae	6.9	0.838849091	WP	1	Pisonia
WP1D0212	Horsfieldia.basifissa	Myristicaceae	9.5	0.977723605	WP	1	Horsfieldia
WP1E0213	Horsfieldia.basifissa	Myristicaceae	18.7	1.271841607	WP	1	Horsfieldia
WP1E0214	Horsfieldia.basifissa	Myristicaceae	11.3	1.053078443	WP	1	Horsfieldia
WP1E0215	Gymnacranthera.paniculata	Myristicaceae	13.3	1.123851641	WP	1	Gymnacranthera
WP1E0216	Horsfieldia.basifissa	Myristicaceae	11.3	1.053078443	WP	1	Horsfieldia
WP1E0217	Horsfieldia.basifissa	Myristicaceae	9.3	0.968482949	WP	1	Horsfieldia
WP1E0218	Phyllanthus.clamboides	Phyllanthaceae	5.6	0.748188027	WP	1	Phyllanthus
WP1E0219	Planchonella.sp.	Sapotaceae	5.8	0.763427994	WP	1	Planchonella
WP1E0220	Teijsmanniodendron.bogoriense	Lamiaceae	50.5	1.703291378	WP	1	Teijsmanniodendron
WP1E0221	Pouteria.obovata	Sapotaceae	7.1	0.851258349	WP	1	Pouteria
WP1E0222	Horsfieldia.basifissa	Myristicaceae	7.1	0.851258349	WP	1	Horsfieldia
WP1E0223	Palaquium.morobense	Sapotaceae	9.1	0.959041392	WP	1	Palaquium
WP1E0224	Pterocymbium.beccarii	Malvaceae	42.1	1.624282096	WP	1	Pterocymbium
WP1E0225	Horsfieldia.basifissa	Myristicaceae	17.1	1.23299611	WP	1	Horsfieldia
WP1E0226	Horsfieldia.basifissa	Myristicaceae	8.3	0.919078092	WP	1	Horsfieldia
WP1E0227	Horsfieldia.basifissa	Myristicaceae	5.6	0.748188027	WP	1	Horsfieldia
WP1E0228	Horsfieldia.basifissa	Myristicaceae	10.5	1.021189299	WP	1	Horsfieldia
WP1E0229	Horsfieldia.basifissa	Myristicaceae	10.4	1.017033339	WP	1	Horsfieldia
WP1E0230	Gnetum.gnemonoides	Gnetaceae	7.3	0.86332286	WP	1	Gnetum
WP1E0231	Horsfieldia.basifissa	Myristicaceae	6.8	0.832508913	WP	1	Horsfieldia
WP1E0232	Teijsmanniodendron.bogoriense	Lamiaceae	22.6	1.354108439	WP	1	Teijsmanniodendron
