"Abu" "Row" "Col" "Int" "H2" "Gen" "Vul" "50r" "50c" "50I" "NODF" "Robust"
"Miners" 9624 34 69 91 0.949790417903965 1.38882889108086 1.91543845593966 9 10 13 2.30478156174751 0.480832545865369
"Mobile" 19272 38 221 1143 0.355763974563802 14.860982132006 12.2658022310104 12 5 78 23.149179633474 0.687601340103742
"Semi" 12866 38 122 382 0.788111216798717 3.14714538929887 4.12681604940652 9 9 16 13.3656248727777 0.651519503811112
"Mesoph" 642 24 25 30 0.989018262235399 1.29922928057327 1.21194626264187 5 4 5 0.954861111111111 0.348251036228234
"Exposed" 5766 38 108 187 0.910355427926433 1.56027410891737 3.15586552194914 3 8 9 5.42150793539468 0.569627278767814
"Flatriidae" 1841 28 187 942 0.254091159255436 5.99666015279705 63.4776663087283 3 37 200 52.8092275878612 0.799113213716754
"Arctidae" 8933 164 197 3063 0.209641790125477 11.8572777080606 72.3315225603983 4 45 407 39.0965051012797 0.923118254474372
"Geometridae" 6938 246 209 3135 0.184099812191012 13.1032707935776 66.6558766775848 5 45 471 24.8907604708607 0.917031858056584
"Pyralidae" 11799 334 195 4054 0.230907932995686 13.3534473818025 57.8654554572608 5 49 364 19.4936882254574 0.92485501907314
"Parasites" 956 76 121 186 0.863311706558715 1.57054914282565 2.70435458224835 8 12 15 2.11407847016156 0.573213610231866
"BER" 3191 8 32 73 0.393344641097992 4.21340762696404 3.68932787277686 2 1 5 37.4151823579304 0.543459642844337
"COP" 4004 8 38 94 0.168140543739845 6.03977078892154 4.47737296663452 2 1 7 45.4297765617875 0.556102182288932
"MAA" 4749 8 49 143 0.292916859512239 4.75500262337442 5.66881153670571 3 1 7 48.6921745442363 0.510421771695589
"SYW" 2121 8 93 201 0.463004451624945 3.35371119969294 12.6510738414462 2 4 14 36.7134498664116 0.592810854580638
