"V1" "V2" "V3"
"1" 69 9624 0.94979044197466
"2" 68 9484.06 0.949543775479999
"3" 67 9345.51 0.948733169953352
"4" 66 9220.69 0.949197392760894
"5" 65 9057.34 0.949020324356114
"6" 64 8930.44 0.949108652592103
"7" 63 8785.35 0.948727033991256
"8" 62 8652.61 0.948633466360555
"9" 61 8508.75 0.948367460239933
"10" 60 8387.24 0.948782280061924
"11" 59 8272.82 0.948443137284291
"12" 58 8133.57 0.948844519228554
"13" 57 7986.8 0.94851766825609
"14" 56 7839.87 0.948753522780173
"15" 55 7691.39 0.950315106848169
"16" 54 7515.35 0.950573596712754
"17" 53 7381.21 0.950744693311259
"18" 52 7251.68 0.950784513467796
"19" 51 7103.64 0.950548322348181
"20" 50 6959.94 0.950555076277772
"21" 49 6842.44 0.951175581966314
"22" 48 6716.1 0.951194310113393
"23" 47 6573.22 0.951376185606065
"24" 46 6452.28 0.951296032450895
"25" 45 6325.38 0.951855439877954
"26" 44 6185.4 0.951936606216301
"27" 43 6044.47 0.952158161762317
"28" 42 5918.81 0.952345516512838
"29" 41 5765.88 0.953117511857483
"30" 40 5627.76 0.953745580238026
"31" 39 5472.35 0.954184354937688
"32" 38 5321.13 0.955456757987005
"33" 37 5168.4 0.95722215744992
"34" 36 5028.29 0.95822026986317
"35" 35 4873.99 0.960281626931701
"36" 34 4767.21 0.962249797010347
"37" 33 4637.56 0.96320747972975
"38" 32 4486.52 0.96464093356048
"39" 31 4352.32 0.965951472949605
"40" 30 4213.24 0.966763651303329
"41" 29 4079.91 0.968626915804591
"42" 28 3954.26 0.969497128635526
"43" 27 3794.45 0.96945713706962
"44" 26 3666.84 0.970412283771338
"45" 25 3528.17 0.971154743970785
"46" 24 3401.79 0.971318387640503
"47" 23 3226.41 0.97227963733068
"48" 22 3064.49 0.971933397434818
"49" 21 2904.52 0.970856510968576
"50" 20 2759.56 0.972396308114166
"51" 19 2629.21 0.971993947106925
"52" 18 2497.35 0.974932683870472
"53" 17 2372.6 0.978392235345982
"54" 16 2212.51 0.978749898284226
"55" 15 2071.37 0.980078176996635
"56" 14 1923.75 0.98214185043219
"57" 13 1783.26 0.982624832030506
"58" 12 1643.08 0.981827925791617
"59" 11 1499.99 0.985543388014022
"60" 10 1356.14 0.987880045143966
"61" 9 1247.64 0.987536458047032
"62" 8 1094.83 0.988203568943193
"63" 7 966.85 0.985888742427518
"64" 6 848.26 0.987332056551175
"65" 5 716.47 0.986729786795945
"66" 4 561.76 0.993583148799998
"67" 3 401.61 0.989783417231253
"68" 2 288.66 NA
"69" 0 0 0
