"V1" "V2" "V3" "V4"
"1" 69 9624 1.38882889108086 1.91543845593966
"2" 68 9486.77 1.38828384283932 1.90217079813051
"3" 67 9352.38 1.38592840261042 1.88879378825252
"4" 66 9219.11 1.38467738375432 1.87190171042998
"5" 65 9088.33 1.38517992265409 1.86091823667486
"6" 64 8972.38 1.37996792396585 1.84546495771804
"7" 63 8820.65 1.37801085431629 1.83386478732565
"8" 62 8678.95 1.38102617463563 1.82458502100806
"9" 61 8553.71 1.38322671669612 1.81298776636242
"10" 60 8439.86 1.38459214974796 1.80392137082174
"11" 59 8328.54 1.38696623114882 1.79100176491964
"12" 58 8185.42 1.38703220826245 1.77932518432515
"13" 57 8030.88 1.38643654453004 1.771255889308
"14" 56 7910.33 1.38571888873019 1.75171838425743
"15" 55 7777 1.38658457121689 1.7390079513355
"16" 54 7611.74 1.38718890014569 1.71993824961115
"17" 53 7476.69 1.39257157359971 1.70852724919881
"18" 52 7357.54 1.39023734576298 1.69105935523591
"19" 51 7194.73 1.38831049680937 1.67729274644659
"20" 50 7030.12 1.39328579295096 1.67372511903833
"21" 49 6885.3 1.39481024196163 1.65999996832586
"22" 48 6752.89 1.39267234924784 1.64558796088878
"23" 47 6633.4 1.391844293498 1.63297382378368
"24" 46 6445.79 1.39019522780304 1.61458036784122
"25" 45 6300.7 1.3939471956248 1.61033535777029
"26" 44 6150.44 1.39118745842704 1.58719285309511
"27" 43 6017.89 1.39616570263112 1.57982494980382
"28" 42 5883.02 1.39910362485372 1.56949566788295
"29" 41 5745.46 1.39610577029464 1.55548964776038
"30" 40 5613.76 1.39661507266379 1.54272270164755
"31" 39 5469.16 1.39343845624573 1.52790821298282
"32" 38 5327.49 1.39407731686637 1.51413409084924
"33" 37 5195.87 1.39497369558846 1.50522489666994
"34" 36 5072.91 1.40254979854927 1.49628399832954
"35" 35 4943.8 1.40255911853389 1.4780440137627
"36" 34 4811.73 1.39076230126298 1.45915399133041
"37" 33 4679.84 1.38880014835538 1.44661725288073
"38" 32 4546.7 1.39298250894255 1.43976159881204
"39" 31 4385.74 1.38910647495677 1.42684289029278
"40" 30 4196.72 1.38750944902529 1.41588665459634
"41" 29 4060.34 1.38220217334781 1.39898808028876
"42" 28 3918.58 1.38092944097118 1.38872451462791
"43" 27 3772.05 1.37628334793687 1.37660571241983
"44" 26 3609.77 1.37460475605248 1.36252646460236
"45" 25 3451.8 1.37599942494145 1.33948652792846
"46" 24 3310.93 1.36808764323514 1.32196912874963
"47" 23 3168.2 1.36527087565089 1.31732077446048
"48" 22 3031.15 1.36614695664981 1.30187488322321
"49" 21 2900.83 1.36697774544152 1.2904777232813
"50" 20 2778.47 1.37216631240403 1.28492997090287
"51" 19 2597.37 1.3515643644906 1.26710451027135
"52" 18 2460.33 1.35555342008022 1.25962503300751
"53" 17 2314.46 1.36025453924044 1.24080454120306
"54" 16 2168.1 1.36372312605708 1.23351555727846
"55" 15 2047.75 1.34285860646243 1.20915750093292
"56" 14 1937.41 1.3458563824668 1.19875416063017
"57" 13 1782.48 1.34736248488093 1.18103292569639
"58" 12 1652.49 1.36278808658361 1.16391681807335
"59" 11 1504.13 1.37737787771827 1.1496801220207
"60" 10 1368.63 1.39549474862458 1.13141233631297
"61" 9 1210.33 1.37082273138698 1.11226883404724
"62" 8 1084.58 1.3873812023175 1.09185419304632
"63" 7 918.18 1.38940679066035 1.09404186382011
"64" 6 801.06 1.37896110149031 1.07914063907687
"65" 5 675.88 1.36998693683606 1.06280107869033
"66" 4 511.62 1.38044428740542 1.04651756454216
"67" 3 392.38 1.35755123720154 1.04224988124659
"68" 2 250.51 1.28806240043412 1.01601067437124
"69" 0 0 0 0
