"V1" "V2" "V3"
"1" 34 9624 0.949790373766886
"2" 33 9362.87 0.950862688148498
"3" 32 9105.74 0.952249342212687
"4" 31 8834.3 0.953177485316222
"5" 30 8521.55 0.954389867376739
"6" 29 8229.97 0.955558705088146
"7" 28 7960.09 0.956295557767614
"8" 27 7662.13 0.957405085700706
"9" 26 7385.98 0.959932609550736
"10" 25 7076.85 0.960929932071267
"11" 24 6805.47 0.961654961268976
"12" 23 6502.3 0.962046744809494
"13" 22 6213.28 0.963340184934373
"14" 21 5934.86 0.965436224319446
"15" 20 5650.03 0.966660112526758
"16" 19 5373.69 0.968188999091505
"17" 18 5069.6 0.968455870827399
"18" 17 4793.25 0.969353501603665
"19" 16 4505.43 0.969611786048917
"20" 15 4214.93 0.971113653972791
"21" 14 3940.19 0.973543020547058
"22" 13 3631.22 0.973732587738408
"23" 12 3358.05 0.974347069854352
"24" 11 3066.12 0.976391046306041
"25" 10 2787.2 0.976047100191137
"26" 9 2506.72 0.977669079630803
"27" 8 2245.24 0.978742266555536
"28" 7 1967.14 0.977460166353765
"29" 6 1677.77 0.976531452007367
"30" 5 1374.55 0.983163855163794
"31" 4 1081.85 0.98018765849486
"32" 3 805.61 0.986279544108395
"33" 2 518.27 0.984494822090338
"34" 0 0 0
