"V1" "V2" "V3" "V4"
"1" 34 9624 1.91543845593966 1.38882889108086
"2" 33 9355.66 1.91662263577781 1.37540847216148
"3" 32 9079.81 1.91747840486979 1.36151518825512
"4" 31 8808.43 1.91416589651754 1.35359435730027
"5" 30 8546.09 1.9107166460763 1.3400329233352
"6" 29 8238.08 1.91318347678026 1.32593414576674
"7" 28 7954.8 1.91043804555912 1.31185676732796
"8" 27 7668.99 1.91013764314986 1.30713557132934
"9" 26 7396.98 1.90820333984059 1.2958744180828
"10" 25 7094.77 1.91589833976884 1.28358786827026
"11" 24 6791.82 1.90876013963753 1.2757385755586
"12" 23 6505.39 1.9137218471967 1.26543803260252
"13" 22 6220.53 1.91034852392884 1.25538058107324
"14" 21 5924.7 1.90288150767924 1.24484895577739
"15" 20 5643.94 1.90701279004828 1.22974019705453
"16" 19 5344.23 1.91608433515231 1.22512608061271
"17" 18 5093.19 1.91232065800888 1.21644220771441
"18" 17 4799.39 1.90538381076369 1.2033138387366
"19" 16 4520.58 1.91775616133497 1.19704093656217
"20" 15 4259.38 1.91172115462921 1.18655980428855
"21" 14 3981.96 1.90760244055424 1.17360787305114
"22" 13 3695.68 1.9065977711134 1.16203198200438
"23" 12 3397.02 1.90419804377185 1.15733343377011
"24" 11 3106.04 1.88844166836327 1.13703607616298
"25" 10 2834.11 1.88263957801211 1.11923252430371
"26" 9 2573.63 1.89963953133343 1.10479306987951
"27" 8 2277.87 1.88097443435718 1.09879083980325
"28" 7 2014.28 1.86631801159691 1.07740625468004
"29" 6 1738.18 1.84299294672963 1.07108794954069
"30" 5 1449.32 1.8367998862303 1.05788464762489
"31" 4 1144.5 1.81027386452129 1.04932448478617
"32" 3 836.65 1.82241887390586 1.03414055086385
"33" 2 559.35 1.75112514416479 1.01805456353946
"34" 0 0 0 0
