"V1" "V2" "V3"
"1" 38 19272 0.355766144509914
"2" 37 18743.28 0.355238300031705
"3" 36 18265.56 0.355040736076288
"4" 35 17744.14 0.35515154539937
"5" 34 17251.23 0.355725938491314
"6" 33 16765.62 0.356761841950238
"7" 32 16257.4 0.357530285926124
"8" 31 15749.43 0.358162184741806
"9" 30 15218.39 0.358857382355559
"10" 29 14758.2 0.359778272074001
"11" 28 14267.39 0.360257271434205
"12" 27 13747 0.361312508244771
"13" 26 13245.57 0.361847028387779
"14" 25 12782.52 0.362404208284813
"15" 24 12281.75 0.36251656112295
"16" 23 11781.94 0.362822528542554
"17" 22 11245.35 0.364058406521861
"18" 21 10679.12 0.364880533561027
"19" 20 10211.1 0.365085751643438
"20" 19 9718.03 0.366002195567904
"21" 18 9182.97 0.366277454100658
"22" 17 8687.86 0.367881531944347
"23" 16 8201.25 0.370201833120675
"24" 15 7697.89 0.373520915304167
"25" 14 7180.75 0.376921160953019
"26" 13 6653.29 0.381861925454119
"27" 12 6189.49 0.386481008589153
"28" 11 5704.71 0.391648940525527
"29" 10 5170.01 0.399869620829255
"30" 9 4641.4 0.409373491742193
"31" 8 4106.37 0.420476766341753
"32" 7 3598.67 0.432814863710115
"33" 6 3098.79 0.451769016039452
"34" 5 2588.68 0.467129278982391
"35" 4 2078.43 0.502128156067441
"36" 3 1571.72 0.521182595882974
"37" 2 1052.44 0.554525619883163
"38" 0 0 0
