"V1" "V2" "V3" "V4"
"1" 76 956 2.70435458224835 1.57054914282565
"2" 75 942.27 2.70035022092402 1.55806805547437
"3" 74 930.42 2.70492994790126 1.55323395260573
"4" 73 918.26 2.70894717748974 1.54719334003293
"5" 72 904.26 2.71279103669059 1.54107482937622
"6" 71 893.54 2.71656603556492 1.53401203062852
"7" 70 879.87 2.71709866033496 1.52318053565861
"8" 69 871.71 2.72165698532576 1.51545330413789
"9" 68 857.9 2.71007282879408 1.50561718487583
"10" 67 847.19 2.71436493721613 1.49832502532988
"11" 66 836.94 2.71952546421879 1.49213677175961
"12" 65 825.98 2.72107129574559 1.48279924906134
"13" 64 814.64 2.72755935685185 1.47472750574301
"14" 63 804.96 2.72869109390158 1.4649836438701
"15" 62 791.6 2.7325057462846 1.45742734242285
"16" 61 775.81 2.72770798532472 1.44782172431237
"17" 60 760.95 2.7271436385209 1.44120306773797
"18" 59 749.78 2.72954633387374 1.43095978487306
"19" 58 738.67 2.72453416120696 1.42223306701696
"20" 57 723.28 2.71952887008502 1.41320480751932
"21" 56 712.94 2.72034349832768 1.40460214453266
"22" 55 699.34 2.72058588852755 1.39572242639142
"23" 54 686.49 2.71211806921108 1.39086436759039
"24" 53 674.42 2.71228474664069 1.38241395872987
"25" 52 662.38 2.72199580982549 1.37414526126413
"26" 51 650.47 2.72300391167168 1.36617982345729
"27" 50 635.32 2.71816326415181 1.36048641603109
"28" 49 621.28 2.72685474136255 1.35789786084945
"29" 48 609.46 2.73468251479569 1.35126738927363
"30" 47 597.97 2.73486185936736 1.33797953939311
"31" 46 583.52 2.73739103637235 1.33144889894424
"32" 45 569.43 2.7375104606016 1.32455783926032
"33" 44 557.13 2.73073897891259 1.31883261338568
"34" 43 544.34 2.73907076706798 1.31290390606872
"35" 42 530.31 2.74136097008172 1.30669889264341
"36" 41 516 2.73911597569358 1.29834788278541
"37" 40 506.13 2.74116970124826 1.28896856752308
"38" 39 496 2.74384752341646 1.28190808404187
"39" 38 483.53 2.75077043287677 1.27366544830089
"40" 37 473.92 2.74954906479352 1.26613691559438
"41" 36 462.96 2.74933058055075 1.25921876946103
"42" 35 452.23 2.7577441287564 1.25332390528207
"43" 34 440.26 2.7632277927769 1.24339814760382
"44" 33 430.02 2.76465380221177 1.23599309239343
"45" 32 418.01 2.76095403289787 1.22822302992364
"46" 31 408.11 2.76913954978201 1.22058828050025
"47" 30 392.64 2.744353884907 1.2090961622841
"48" 29 378.17 2.75546523108032 1.19836536371988
"49" 28 365.5 2.75194151659476 1.19208881810161
"50" 27 348.92 2.74900189042122 1.18570371406684
"51" 26 333.03 2.74428062791995 1.18194793935572
"52" 25 319.91 2.74495667528992 1.1700928966353
"53" 24 307.12 2.74151387032047 1.16115188897842
"54" 23 296.17 2.73666099486886 1.15367497079759
"55" 22 285.58 2.73425656133039 1.14798793483218
"56" 21 272.29 2.74081981552041 1.14058470907203
"57" 20 258.18 2.75437013586223 1.13196653410363
"58" 19 245.5 2.78118103837844 1.1304788897487
"59" 18 230.66 2.77393392785429 1.12348658726946
"60" 17 216.63 2.77163266636322 1.11893274578827
"61" 16 205.55 2.76920713676647 1.11118882955465
"62" 15 191.62 2.8103589041735 1.09982206575433
"63" 14 180.3 2.85704397666263 1.08908475548526
"64" 13 168.06 2.81099127397206 1.08050535191119
"65" 12 155.74 2.81521500813418 1.07004237596528
"66" 11 142.85 2.79850361470999 1.06620487020998
"67" 10 130.41 2.79010395932352 1.05753194639767
"68" 9 117.79 2.77395688636912 1.0526024566177
"69" 8 105.75 2.72122065383168 1.04162820172067
"70" 7 89.87 2.69820899362263 1.03471139592217
"71" 6 76.63 2.71406952179718 1.02514143089514
"72" 5 64.45 2.66885538464324 1.02426760933886
"73" 4 52.37 2.55622531931529 1.02336304751427
"74" 3 36.77 2.45955657072751 1.0288981705263
"75" 2 23.41 2.32367696578644 1.01662615116874
"76" 0 0 0 0
