"V1" "V2" "V3" "V4"
"1" 121 956 1.57054914282565 2.70435458224835
"2" 120 947.87 1.57085579493123 2.69066201349991
"3" 119 940.29 1.57087740795456 2.67512030270984
"4" 118 932.15 1.56908499895634 2.65365881511947
"5" 117 924.68 1.56871968567638 2.64272337233924
"6" 116 915.77 1.56996846033462 2.62842670087213
"7" 115 907.89 1.56741257199743 2.61583570957016
"8" 114 899.98 1.56670439392809 2.60399139906662
"9" 113 890.54 1.56417379062611 2.59313931062842
"10" 112 882.58 1.56375752602303 2.58569017201288
"11" 111 872.39 1.56217724427213 2.56906053836312
"12" 110 862.37 1.56355707158062 2.55516093757602
"13" 109 853.92 1.56355726163834 2.54338587577203
"14" 108 846.92 1.56411888514981 2.53231428141421
"15" 107 839.3 1.56361584591547 2.51683029853479
"16" 106 831.55 1.5632814912348 2.50281077733217
"17" 105 822.88 1.56052922621446 2.4866453586592
"18" 104 815.1 1.5605431337593 2.47395795306954
"19" 103 806.24 1.56037942192503 2.45817964107771
"20" 102 797.14 1.55890278950129 2.44933655844579
"21" 101 788.16 1.55784259886145 2.43937401315179
"22" 100 782.83 1.55918806690652 2.42740376929616
"23" 99 775.41 1.55898162684047 2.41560340621272
"24" 98 768.44 1.55766923318038 2.40072850242023
"25" 97 760.42 1.55755264806905 2.38694003626284
"26" 96 752.9 1.55968733582723 2.3728134968018
"27" 95 743.06 1.55986206957334 2.36513642443685
"28" 94 734.05 1.56102274658063 2.35012325461084
"29" 93 725.12 1.56161966796501 2.33478373847549
"30" 92 717.35 1.56295162876494 2.32203933240912
"31" 91 708.91 1.56239610109007 2.30888631085922
"32" 90 699.08 1.56348087438578 2.30077411320286
"33" 89 690.75 1.56446089757096 2.28612125001592
"34" 88 683.13 1.56406668147844 2.27180712062762
"35" 87 674.73 1.56293668492494 2.25931583868503
"36" 86 668.27 1.56288752372258 2.2472428878418
"37" 85 662.33 1.56475128959865 2.23282565104356
"38" 84 656.52 1.56314211100009 2.21897918008858
"39" 83 649.78 1.56208781788557 2.20289760550843
"40" 82 642.57 1.56192592628712 2.18769288412072
"41" 81 634.6 1.56378702817086 2.17568342423324
"42" 80 628.58 1.5642881589582 2.16416584686689
"43" 79 622.04 1.5639249781014 2.15007729354321
"44" 78 614.78 1.56502910722951 2.13218308160882
"45" 77 607.42 1.56502646966068 2.11250944126838
"46" 76 601.26 1.5654690859643 2.10047841669287
"47" 75 592.87 1.5662590374412 2.08842905801903
"48" 74 584.37 1.56574091690352 2.07651341207416
"49" 73 577.24 1.56602122571129 2.05830769687799
"50" 72 566.62 1.56793225424584 2.04782034619434
"51" 71 557.15 1.5695849331011 2.03702731614158
"52" 70 549.76 1.56790608238267 2.02337786967593
"53" 69 542.64 1.56645680165656 2.00865735823119
"54" 68 536.23 1.56903354440038 1.99665099412052
"55" 67 529.75 1.5675100702053 1.98311642801354
"56" 66 520.31 1.56748793702044 1.96341049430509
"57" 65 511.66 1.56937450004041 1.95011350138679
"58" 64 502.5 1.56976830079561 1.929834157368
"59" 63 495.49 1.56962446433433 1.91730044884639
"60" 62 489.15 1.57032695003263 1.9025521686117
"61" 61 479.73 1.57236677370745 1.88162818548181
"62" 60 470.48 1.57343217420127 1.86657455607586
"63" 59 461.2 1.57180501031813 1.84970375235837
"64" 58 452.77 1.56977476650075 1.83777591799611
"65" 57 444.89 1.56366681467768 1.81740292497036
"66" 56 436.08 1.56492187888897 1.8043801915841
"67" 55 428.61 1.56482876932312 1.78599425079879
"68" 54 422.02 1.56581561736971 1.77480035805977
"69" 53 412.69 1.5641026508632 1.76343412140407
"70" 52 403.32 1.56657413588387 1.73778958288043
"71" 51 395.68 1.56565405849661 1.72431057315454
"72" 50 388.82 1.56523341419909 1.71235738440243
"73" 49 381.51 1.56703504082125 1.70009134997279
"74" 48 373.78 1.56818797476314 1.68292357802823
"75" 47 365.47 1.56618889614848 1.67133358652062
"76" 46 356.47 1.56870172849844 1.66029600158175
"77" 45 350.83 1.56566495141202 1.64322535981898
"78" 44 341.1 1.56761844531341 1.63066828262321
"79" 43 333.05 1.56996557973487 1.61253609486184
"80" 42 325.87 1.56843065464141 1.60047266906058
"81" 41 319.29 1.57301760058376 1.58629184228746
"82" 40 311.72 1.57493808437275 1.56797490842148
"83" 39 303.3 1.57729286519889 1.56235590174115
"84" 38 295.1 1.56717995805079 1.54537546442241
"85" 37 286.87 1.56755071727011 1.53305054435597
"86" 36 278.7 1.56794625517468 1.5269364150201
"87" 35 269.56 1.5700778243625 1.51937307945756
"88" 34 261.47 1.57610019822795 1.50188979980756
"89" 33 252.59 1.57631324186392 1.48169555317299
"90" 32 243.01 1.5784370331875 1.46775569305042
"91" 31 235.55 1.58623472677792 1.45227179875529
"92" 30 227.93 1.58465648971525 1.43574532227653
"93" 29 221.07 1.58398757401984 1.41797686511362
"94" 28 214.05 1.58459470620153 1.39527897617899
"95" 27 207.34 1.5886855517973 1.37871914453417
"96" 26 199.86 1.59069570888662 1.36564643778016
"97" 25 192.48 1.60008794893703 1.35536671444168
"98" 24 183.77 1.60943244873041 1.34572313645196
"99" 23 177.44 1.61147368578677 1.33007748015314
"100" 22 168.5 1.61585351488535 1.31465402890164
"101" 21 160.36 1.61368419870296 1.30540410541857
"102" 20 152.79 1.59455010657178 1.28655252384562
"103" 19 145.13 1.59170982539122 1.27189448892732
"104" 18 137.08 1.58281601989768 1.2638448043562
"105" 17 129.73 1.58997826306002 1.25532036574776
"106" 16 122.89 1.59476157976898 1.24542169916604
"107" 15 113.71 1.58923188485999 1.23177837240581
"108" 14 107.74 1.59804227555191 1.21556917360101
"109" 13 100.37 1.6012042135958 1.19960409120703
"110" 12 92.88 1.62205266910089 1.18896920900069
"111" 11 83.83 1.61467753365838 1.16891670317447
"112" 10 77.54 1.58781195778033 1.15611953073248
"113" 9 69.4 1.58952377452982 1.13818840173101
"114" 8 60.25 1.57093445033031 1.12519012060945
"115" 7 51.2 1.57330770884848 1.12542871743826
"116" 6 42.65 1.56377872015394 1.09997312360272
