"V1" "V2" "V3"
"1" 122 12866 0.788110535223111
"2" 121 12746.31 0.787601163762771
"3" 120 12614.24 0.787686380064647
"4" 119 12519.58 0.786583064467578
"5" 118 12438.77 0.786310155728098
"6" 117 12364.92 0.786562857643868
"7" 116 12244.19 0.786653745190891
"8" 115 12100.62 0.785287861877191
"9" 114 12003.44 0.785550144989609
"10" 113 11878.89 0.785913546515403
"11" 112 11776.78 0.785928858841497
"12" 111 11670.29 0.786455770867377
"13" 110 11570.84 0.785829206292504
"14" 109 11469.83 0.785793442818209
"15" 108 11383.52 0.786438480928474
"16" 107 11305.7 0.7863253110847
"17" 106 11182.65 0.785909016951032
"18" 105 11060.42 0.786646831012626
"19" 104 10974.9 0.786560349855565
"20" 103 10867.37 0.785640947927964
"21" 102 10782.97 0.785477352601956
"22" 101 10681.08 0.785806632771426
"23" 100 10537.27 0.786194745427997
"24" 99 10412.91 0.78636567676395
"25" 98 10291.78 0.786606617723374
"26" 97 10192.3 0.786120245054204
"27" 96 10072.55 0.786979040134536
"28" 95 9949.83 0.787805240344488
"29" 94 9851.06 0.788444598336987
"30" 93 9756.45 0.789588481883606
"31" 92 9613.59 0.789348467784315
"32" 91 9490.59 0.789213912077647
"33" 90 9383.72 0.789803612782455
"34" 89 9251.7 0.790807888536856
"35" 88 9158.77 0.791164184813476
"36" 87 9037.65 0.792740713402452
"37" 86 8918.45 0.792440211612852
"38" 85 8781.71 0.792770136870511
"39" 84 8688.63 0.792634085462274
"40" 83 8608.19 0.79214980378704
"41" 82 8522.62 0.793023917268296
"42" 81 8439.67 0.793085542938585
"43" 80 8316.8 0.793927750730215
"44" 79 8219.31 0.793992776721406
"45" 78 8149.66 0.794694701836585
"46" 77 8018.78 0.793782193740889
"47" 76 7885.69 0.793171953024349
"48" 75 7746.47 0.793405752521889
"49" 74 7638.67 0.794170287750342
"50" 73 7547.3 0.79567413307562
"51" 72 7434.74 0.795836880145911
"52" 71 7365.22 0.796671363755378
"53" 70 7293.9 0.796259299504127
"54" 69 7212.43 0.795574165331094
"55" 68 7127.08 0.796260641359943
"56" 67 7050.75 0.796654476320085
"57" 66 6930.31 0.796724757781427
"58" 65 6829 0.79739817626539
"59" 64 6707.79 0.797968384594479
"60" 63 6621.49 0.796925377052878
"61" 62 6488.47 0.795426521310646
"62" 61 6352.43 0.795065323449659
"63" 60 6271.78 0.795548527688802
"64" 59 6194.76 0.796979763124032
"65" 58 6054.79 0.797385498427167
"66" 57 5969.63 0.797478033018586
"67" 56 5850.53 0.797681339694589
"68" 55 5765.44 0.798801226833348
"69" 54 5637.7 0.798637051056313
"70" 53 5510.58 0.800675740896449
"71" 52 5419.99 0.801259113510987
"72" 51 5332.28 0.80040213027102
"73" 50 5259.4 0.799714009728232
"74" 49 5148.85 0.800745883595637
"75" 48 5054.4 0.802860812521318
"76" 47 4957.52 0.802897326275409
"77" 46 4845.31 0.804442869044336
"78" 45 4769.01 0.805785290023634
"79" 44 4642.69 0.806783773797906
"80" 43 4552.59 0.808906343488979
"81" 42 4456.45 0.808408856502355
"82" 41 4331.39 0.810197383833058
"83" 40 4230.32 0.811170546594592
"84" 39 4110.61 0.812833568251512
"85" 38 3968.77 0.815245045477256
"86" 37 3874.87 0.817549429836156
"87" 36 3760.74 0.815453244542786
"88" 35 3672.71 0.817918858060667
"89" 34 3532.88 0.818826267899892
"90" 33 3431.19 0.820916032454767
"91" 32 3332.35 0.823406249088982
"92" 31 3242.72 0.82470498685328
"93" 30 3128.65 0.825125162980895
"94" 29 3038.32 0.826274802700151
"95" 28 2947.71 0.828823432073305
"96" 27 2839.61 0.830765417883919
"97" 26 2670.12 0.832709484818858
"98" 25 2562.33 0.8328558073136
"99" 24 2454.69 0.833074196069477
"100" 23 2329.16 0.835396069206304
"101" 22 2213.31 0.837041189916639
"102" 21 2098.81 0.840374290124688
"103" 20 2017.81 0.843603371725057
"104" 19 1908.23 0.846848321182644
"105" 18 1830.55 0.852262544134043
"106" 17 1748.65 0.856117687594987
"107" 16 1619.28 0.86289253510642
"108" 15 1508.18 0.861939924322275
"109" 14 1395.16 0.864456057986395
"110" 13 1300.62 0.865302396615644
"111" 12 1201.6 0.868447056582834
"112" 11 1108.76 0.876377818883772
"113" 10 1014.46 0.876609068565613
"114" 9 938.41 0.890569614890468
"115" 8 814.89 0.892113466140908
"116" 7 733.14 0.895848792951584
"117" 6 636.17 0.896232615145855
"118" 5 519.48 0.900613045185174
"119" 4 400.94 0.904944393644113
"120" 3 294.03 0.909468925852286
"121" 2 179.81 NA
"122" 0 0 0
