"V1" "V2" "V3"
"1" 38 12866 0.788110472105938
"2" 37 12493.65 0.788658488290075
"3" 36 12150.56 0.789782861138939
"4" 35 11827.05 0.790511340602592
"5" 34 11444.15 0.790128120423032
"6" 33 11089.23 0.791480267815365
"7" 32 10758.45 0.792889259761538
"8" 31 10415.96 0.794202953886294
"9" 30 10093.1 0.795224509802798
"10" 29 9779.2 0.797808800300319
"11" 28 9424.58 0.799324329168424
"12" 27 9077.44 0.800589155059509
"13" 26 8724.18 0.800773072405958
"14" 25 8380.47 0.80241065378316
"15" 24 8045 0.803690290896251
"16" 23 7740.94 0.805938309079438
"17" 22 7405.33 0.807776932037533
"18" 21 7042.84 0.810362372941193
"19" 20 6682.09 0.815288359881203
"20" 19 6349.12 0.817400601393308
"21" 18 6013.9 0.820432582883608
"22" 17 5687.86 0.823472702142014
"23" 16 5323 0.82765410558965
"24" 15 4971.61 0.830891693586992
"25" 14 4654.16 0.83652721602586
"26" 13 4328.51 0.83921336523981
"27" 12 3984.25 0.84258375546272
"28" 11 3669.87 0.849113929953072
"29" 10 3337.76 0.851684305568754
"30" 9 3022.52 0.862931832370259
"31" 8 2716.98 0.869537462817603
"32" 7 2413.86 0.872834844856315
"33" 6 2044.1 0.872858934342499
"34" 5 1748.29 0.87586945362365
"35" 4 1389.15 0.880770167760616
"36" 3 1002.71 0.891131560050643
"37" 2 697.98 0.92020744788095
"38" 0 0 0
