"V1" "V2" "V3" "V4"
"1" 38 12866 4.12681604940652 3.14714538929887
"2" 37 12533.97 4.11996782069902 3.0853216914572
"3" 36 12203.33 4.13226347145448 3.03276028352219
"4" 35 11854.63 4.11554456604421 2.94886898328834
"5" 34 11522.28 4.11264117392584 2.90133011636956
"6" 33 11222.17 4.11823635594349 2.85924376754507
"7" 32 10836.96 4.126879882917 2.82200883551772
"8" 31 10521.77 4.10609967205528 2.75100538913039
"9" 30 10177.24 4.10121967846177 2.69060920129407
"10" 29 9804.01 4.10981668336693 2.63121154088129
"11" 28 9461.65 4.10511944925523 2.55899021776849
"12" 27 9140.02 4.12474501724119 2.50970115590668
"13" 26 8815.46 4.13323902088974 2.44482056427287
"14" 25 8477.23 4.14335846999296 2.39125509827318
"15" 24 8141.52 4.12032678153303 2.32812714368424
"16" 23 7791.31 4.15167819105599 2.28013847480461
"17" 22 7424.81 4.14211198441276 2.22445339499686
"18" 21 7089.18 4.16315153892082 2.17127807523824
"19" 20 6740.61 4.19860410366344 2.13052640973136
"20" 19 6399.47 4.21596131320327 2.07624669036474
"21" 18 6058.85 4.20436075570115 2.01742539054057
"22" 17 5763.41 4.1889233574661 1.95990458875926
"23" 16 5443.23 4.17743554296904 1.90353756747672
"24" 15 5091.12 4.1725064575789 1.8246016910431
"25" 14 4738.44 4.13155476290906 1.75840945169874
"26" 13 4382.03 4.15279863412788 1.70384013688666
"27" 12 4033.46 4.14916539967639 1.65644562940437
"28" 11 3685.3 4.1840090611908 1.61951980414023
"29" 10 3360.65 4.19131517937546 1.56734075122162
"30" 9 3040.55 4.21330436218618 1.49560466272614
"31" 8 2705.79 4.20715093283317 1.41528018453824
"32" 7 2394 4.20963774996534 1.37511411108334
"33" 6 2087.62 4.23567446891054 1.32908258518452
"34" 5 1744.02 4.24670980517416 1.25589674821396
"35" 4 1374.97 4.2768433740599 1.19568154295596
"36" 3 1046.84 4.26868874564633 1.13705306696082
"37" 2 713.72 4.18970360227616 1.05903371464024
"38" 0 0 0 0
