"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 5766 5766 38 38 108 108 187 187 0.910355427926433 0.910354684836655 1.56027410891737 1.56027410891737 3.15586552194914 3.15586552194914 3 3 8 8 9 9
"2" 1 5763 5658.85 37 37 108 106.12 186 182.14 0.91072229413529 0.912213769022654 1.55833556400518 1.54073904947622 3.15698778406364 3.15139619293032 3 3 8 7.92 9 8.22
"3" 2 5756 5508.14 36 36 108 104.32 184 177.17 0.91200566255398 0.913830662120398 1.54974902220331 1.52471077412078 3.15861497914823 3.14704896318914 3 3 8 7.71 9 7.93
"4" 3 5746 5384.44 35 35 108 102.25 180 172.28 0.914080417434072 0.914949663314525 1.52943865070533 1.50739008633589 3.1572894510778 3.15180091930318 3 2.99 8 7.54 8 7.85
"5" 4 5736 5230.98 34 34 107 100.1 178 167.09 0.914147803387635 0.915901431927723 1.52743515197963 1.49306538955049 3.15991829445753 3.15342774810501 3 2.94 8 7.27 8 7.71
"6" 5 5724 5091.85 33 33 104 98.25 174 162.72 0.913887222784982 0.917173396393015 1.52770219658178 1.47501681471948 3.15878393315118 3.15285542892352 3 2.9 8 7.09 8 7.5
"7" 6 5711 4944.78 32 32 103 96.05 173 158.27 0.913534128600022 0.917232387606043 1.52890340977659 1.46635196668829 3.16369799218304 3.16757213759054 3 2.81 8 6.93 8 7.24
"8" 7 5698 4798.35 31 31 101 94.11 169 153.48 0.914484446133509 0.917773331600079 1.51433634971234 1.45312369772198 3.16278227899685 3.17141604250654 3 2.73 8 6.66 8 6.92
"9" 8 5683 4622.81 30 30 101 91.44 166 148.19 0.918034646838933 0.917992307524692 1.4835882576936 1.44770249947241 3.16321193484499 3.16566592645075 3 2.58 8 6.45 8 6.78
"10" 9 5667 4485.63 29 29 99 89.16 163 143.32 0.917788201487733 0.919129916290738 1.48424776221506 1.4323059355547 3.1648638859717 3.16672427694483 3 2.51 8 6.27 8 6.55
"11" 10 5649 4341.31 28 28 99 87.16 160 138.73 0.919774320512128 0.920138096021839 1.46451241193424 1.41604255659521 3.16605578407548 3.17296776917169 3 2.38 8 6.07 8 6.33
"12" 11 5630 4214.45 27 27 98 84.85 156 133.84 0.921808187537867 0.92087910356489 1.4472856897588 1.40077228040128 3.16594188577603 3.17705030022947 3 2.32 8 5.87 8 6.08
"13" 12 5608 4023.97 26 26 96 82.18 151 128.42 0.925166373663213 0.920845354993468 1.42659913183447 1.39466236309919 3.16342058478388 3.16490273296042 3 2.2 8 5.64 8 5.83
"14" 13 5586 3874.06 25 25 95 79.77 150 123.27 0.924343917896868 0.922961828483903 1.42827925730893 1.37846667851804 3.17194103821482 3.154996909203 3 2.07 8 5.4 8 5.62
"15" 14 5563 3692.01 24 24 94 77.26 146 118.26 0.927630479728266 0.922774719447548 1.40859554853365 1.37283086026837 3.17014698009651 3.163751799331 3 1.99 8 5.11 8 5.34
"16" 15 5529 3553.26 23 23 94 75.3 143 113.59 0.934195258470103 0.925156462864572 1.35168461980371 1.35525266089832 3.17807654235353 3.15491305874135 3 1.94 8 4.91 8 5.09
"17" 16 5494 3429.69 22 22 92 73.05 138 108.86 0.939026822113697 0.927289869787763 1.32167027901254 1.33534516636214 3.17580691795708 3.1546898397482 3 1.82 7 4.7 8 4.87
"18" 17 5455 3287.94 21 21 90 70.8 132 103.86 0.942466622175716 0.93057183809806 1.27688762682097 1.31180597812127 3.16549132699752 3.16319975547462 3 1.77 7 4.55 8 4.69
"19" 18 5413 3157.44 20 20 88 68.27 128 99.08 0.946983794291276 0.932624242137321 1.25796972970438 1.29939720807415 3.17148706754747 3.15020104924994 3 1.69 7 4.31 8 4.45
"20" 19 5366 3004.19 19 19 88 65.57 125 94.18 0.953243802178605 0.93273234398572 1.22688306462386 1.28694192713702 3.18683552523423 3.1579177560874 3 1.6 7 4.09 8 4.21
"21" 20 5316 2796.2 18 18 83 62.73 116 89.23 0.955548889507879 0.933070488519972 1.20767009459633 1.27957915277736 3.15798260626848 3.1533076454252 3 1.42 7 3.83 7 3.95
"22" 21 5236 2632.39 17 17 77 59.86 110 83.97 0.954382111118219 0.933596844742112 1.21084305249696 1.2737828727009 3.14908266842515 3.14142563849084 3 1.34 7 3.62 7 3.77
"23" 22 5153 2448.98 16 16 77 57.41 108 79.39 0.956616001085868 0.934489398417367 1.20341641895983 1.25448366717244 3.17396983003049 3.15188868829265 3 1.22 7 3.38 7 3.46
"24" 23 5066 2259.94 15 15 76 54.65 101 74.37 0.968512235357191 0.934953735185174 1.12205259465502 1.24168200501225 3.18435220091272 3.14607482281637 3 1.14 7 3.11 7 3.23
"25" 24 4979 2102.71 14 14 75 51.79 99 69.23 0.971277704852492 0.936415096475478 1.11261593501622 1.22680201867659 3.21822148216622 3.1240045714309 3 1.07 7 2.86 7 3
"26" 25 4880 1928.12 13 13 73 48.84 95 63.97 0.970735082412879 0.937284467512192 1.11073759785477 1.21077223225211 3.25124556353224 3.10598633794779 3 1.03 6 2.66 6 2.79
"27" 26 4777 1793.77 12 12 70 45.82 92 58.71 0.969530765248524 0.942108463240448 1.11312528313403 1.1871443960289 3.26709553011844 3.08376730080532 2 0.93 6 2.49 6 2.59
"28" 27 4667 1664.5 11 11 65 42.62 84 53.84 0.971076410546403 0.944035723296436 1.1021116858448 1.17340706854411 3.24578351624332 3.09077074476761 2 0.84 6 2.26 6 2.38
"29" 28 4553 1548.17 10 10 64 39.3 80 48.79 0.987003617352513 0.94599959941648 1.05081779634824 1.16111881692338 3.29016208017276 3.03845214418292 2 0.81 6 2.13 6 2.21
"30" 29 4410 1396.17 9 9 59 35.81 74 43.76 0.986659690740596 0.946349579998371 1.05099310156211 1.14952598124984 3.30034912706453 3.01223236019347 2 0.68 6 1.86 6 1.91
"31" 30 4260 1240.65 8 8 56 32.53 69 38.97 0.987052246664235 0.945279742041569 1.04999554376691 1.13745398277387 3.33271824818641 2.99383638390044 2 0.49 5 1.65 5 1.71
"32" 31 4107 1068.02 7 7 53 28.6 62 33.75 0.98961911779943 0.94443135511829 1.03394132500621 1.13764273665175 3.38961607895959 2.95055598562336 2 0.45 5 1.45 5 1.55
"33" 32 3851 911.71 6 6 48 25.22 55 28.89 0.990412011599942 0.952124498470436 1.02864363923417 1.10262551029839 3.4964486164917 2.92519354299171 2 0.34 5 1.26 5 1.3
"34" 33 3432 764.43 5 5 44 21.41 51 23.9 0.987823515415183 0.957634519552183 1.03214063365117 1.07575957960957 3.75747909184453 2.88782154336825 2 0.33 4 1.05 4 1.1
"35" 34 2953 624.99 4 4 31 17.5 34 19.04 0.995910065127441 0.954012446722259 1.01226002153024 1.06995947642901 3.47326388877755 2.87471698814828 1 0.21 4 0.93 4 0.97
"36" 35 2410 465.55 3 3 26 13.22 28 13.99 0.99691400606657 0.949530226392302 1.00658261116124 1.07476938786953 3.75312686007868 2.82808202110629 1 0.12 3 0.77 3 0.81
"37" 36 1713 327.97 2 2 17 9.36 18 9.6 0.998830376734624 0.962733148030413 1.00233508464682 1.03308069725292 3.96434092127441 2.75357736263618 0 0 2 0.45 2 0.49
"38" 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
