"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 642 642 24 24 25 25 30 30 0.989015806722545 0.989015806722545 1.29922928057327 1.29922928057327 1.21194626264187 1.21194626264187 5 5 4 4 5 5
"2" 1 638 615.42 23 23 24 24.21 29 28.77 0.988900654589711 0.98940266313848 1.3011053262195 1.28110430384888 1.21327507933555 1.21280424681997 5 5.05 4 4.01 5 5.07
"3" 2 634 589.4 22 22 24 23.37 28 27.41 0.99042463523502 0.990968746626527 1.28616185998412 1.26175724653838 1.2146206634323 1.21053211606827 5 4.75 4 3.71 5 5
"4" 3 630 559.3 21 21 23 22.42 27 26.13 0.990315829678815 0.991551879094477 1.28797876068243 1.25414878024417 1.21598333431124 1.21114696255176 5 4.41 4 3.54 5 4.67
"5" 4 622 533.68 20 20 22 21.5 26 24.86 0.990104837970485 0.992026965744884 1.29168266757224 1.24543849131992 1.21876125500977 1.21001654682828 5 4.22 4 3.44 5 4.46
"6" 5 614 509.2 19 19 21 20.59 25 23.6 0.989884993011163 0.992840888176918 1.29548309320836 1.23223483987833 1.2216115645213 1.20908877719302 5 3.99 4 3.36 5 4.21
"7" 6 602 480.64 18 18 20 19.7 23 22.36 1 0.993392052392094 1.26947505838169 1.21738625277209 1.20829056763783 1.21198175000469 5 3.77 3 3.25 5 3.96
"8" 7 586 454.44 17 17 19 18.77 22 21.14 1 0.993839178226026 1.27683273915661 1.1993835454792 1.21397768211258 1.21304639935487 4 3.53 3 3.13 4 3.75
"9" 8 570 428.2 16 16 18 17.75 21 19.87 1 0.994344658246509 1.28460348271189 1.18772389745295 1.21998407318942 1.21113343613439 4 3.3 3 2.93 4 3.49
"10" 9 554 400.56 15 15 17 16.84 20 18.67 1 0.994275041895104 1.29282307788046 1.16889993024409 1.22633740382305 1.21258255070129 4 3.03 3 2.82 4 3.33
"11" 10 536 376.34 14 14 15 15.85 17 17.34 1 0.995211608834507 1.26281124505515 1.14977876655518 1.17050690749166 1.20921637337021 4 2.78 3 2.65 4 3.01
"12" 11 516 347.12 13 13 14 14.91 16 16.11 1 0.994919883487461 1.27299772742163 1.13254440844597 1.17711570235567 1.20858031527799 3 2.69 2 2.48 3 2.82
"13" 12 496 322.44 12 12 13 13.96 15 14.98 1 0.994967113728727 1.28400570030153 1.11883787036894 1.18425746454744 1.21639202322523 3 2.46 2 2.35 3 2.67
"14" 13 474 298.16 11 11 12 12.85 14 13.79 1 0.994508057568705 1.29718739947164 1.11999138869802 1.19280949876694 1.22244391399571 3 2.12 2 2.08 3 2.33
"15" 14 452 266.9 10 10 11 11.75 13 12.58 1 0.993872008490114 1.31165227289726 1.11257601984815 1.20219403189276 1.23084489986798 2 1.99 2 1.98 2 2.17
"16" 15 426 239.9 9 9 10 10.65 12 11.32 1 0.994192423506431 1.33067330363746 1.10086685111072 1.21453451271251 1.23257397716766 2 1.76 1 1.81 2 1.95
"17" 16 396 211.08 8 8 9 9.54 11 10.01 1 0.994738233285101 1.35572431148879 1.08312818142327 1.23078712731194 1.23369482435676 2 1.54 1 1.61 2 1.73
"18" 17 366 185.12 7 7 9 8.46 10 8.88 1 0.993906153378121 1.12544551139 1.08581927901972 1.24970410496046 1.25176331212143 1 1.38 1 1.37 1 1.5
"19" 18 334 154.56 6 6 7 7.32 8 7.61 0.999939006917852 0.993546464582338 1.13746424302018 1.07404269159686 1.17781946830996 1.25729897466944 1 1.08 1 1.18 1 1.3
"20" 19 300 127.82 5 5 6 6.08 6 6.26 1 0.993834978173057 1 1.0537018435015 1.09437416423868 1.24153451657043 1 0.79 1 0.91 1 0.96
"21" 20 266 104.82 4 4 4 4.83 4 4.93 1 0.994022334131943 1 1.03662542278988 1 1.22455781943082 1 0.6 1 0.69 1 0.71
"22" 21 230 79.34 3 3 3 3.67 3 3.71 1 0.99412040477633 1 1.01902126231888 1 1.23680062049222 1 0.38 1 0.51 1 0.52
"23" 22 184 53.42 2 2 2 2.39 2 2.4 1 0.995743056747011 1 1.00427143155924 1 1.20523476196395 0 0.04 0 0.26 0 0.26
"24" 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
