"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 9624 9624 34 34 69 69 91 91 0.949790725210786 0.949790197430077 1.38882889108086 1.38882889108086 1.91543845593966 1.91543845593966 9 9 10 10 13 13
"2" 1 9622 9511.55 34 33.83 68 68 90 89.75 0.949786116586426 0.949887562128017 1.38890971188549 1.38929673060917 1.91421287489159 1.90406443385086 9 8.7 10 10 13 12.47
"3" 2 9620 9385.7 34 33.71 67 67 89 88.5 0.949864475864057 0.949564978284235 1.38899056629545 1.39070169562107 1.91238060697426 1.89565459634911 9 8.42 10 9.89 13 12.2
"4" 3 9618 9246.47 34 33.52 66 66 88 87.12 0.949903208445738 0.949440639000472 1.38907145433169 1.3889634857129 1.91015570297091 1.88038737640173 9 8.23 10 9.76 13 11.98
"5" 4 9616 9116.79 34 33.35 65 65 87 85.85 0.950068576173099 0.94917425302827 1.38915237601521 1.38977541300798 1.90823553247745 1.87316928964264 9 8.15 10 9.6 13 11.84
"6" 5 9614 9004.87 34 33.2 64 64 86 84.48 0.950062282423414 0.948729137042807 1.38923333136699 1.39097765758012 1.90661388229975 1.86293802454885 9 8.05 10 9.39 13 11.73
"7" 6 9612 8885.37 33 33.08 63 63 85 83.19 0.950044089585546 0.948415315184559 1.38931432040805 1.39211191653602 1.90680252438929 1.84823657508114 9 7.99 10 9.17 13 11.54
"8" 7 9610 8742.45 33 32.94 62 62 84 82.01 0.950099855089661 0.94796338304657 1.38939534315944 1.39504212997458 1.90395008855741 1.83899431781077 9 7.91 10 9.05 13 11.31
"9" 8 9607 8604.81 33 32.81 61 61 83 80.58 0.950197320110962 0.948251280670907 1.38951694053942 1.39293372593902 1.89889163827422 1.82243214300885 9 7.84 10 8.92 13 11.14
"10" 9 9604 8440.19 33 32.64 60 60 82 79.24 0.95052115385426 0.948449570757742 1.38963861388611 1.39202046521319 1.89709608059723 1.81314554107987 9 7.66 10 8.77 13 10.93
"11" 10 9600 8296.62 33 32.52 59 59 81 77.82 0.950722409037491 0.948292825773768 1.38980096330856 1.39191143757996 1.89367912490656 1.79901084506796 9 7.57 10 8.58 13 10.75
"12" 11 9596 8171.47 33 32.37 58 58 80 76.46 0.950896219420288 0.94837978628382 1.3899634480786 1.39102520544054 1.88964793845541 1.77581972908142 9 7.52 10 8.46 13 10.51
"13" 12 9591 8023.06 33 32.21 57 57 79 75.1 0.951066538409144 0.947972783210593 1.39016674463166 1.3934613928755 1.88586293223068 1.7559171618933 9 7.43 10 8.24 12 10.33
"14" 13 9585 7873.62 33 32.03 56 56 78 73.65 0.951375860947158 0.949365359447043 1.39041098046554 1.38726484008447 1.8818695562549 1.74201961992879 9 7.32 10 8.08 12 10.17
"15" 14 9579 7732.31 33 31.83 55 55 77 72.16 0.95212306411922 0.950110529416576 1.39065552226352 1.38307231023858 1.878915179771 1.7253615654033 9 7.18 10 7.96 12 9.96
"16" 15 9573 7582.85 33 31.56 54 54 76 70.81 0.952341553173133 0.950940708963113 1.39090037060088 1.38131701132021 1.87554404064551 1.71924195367983 9 7.06 10 7.81 12 9.8
"17" 16 9567 7443.47 33 31.36 53 53 75 69.52 0.952814760811213 0.951256123583609 1.39114552605438 1.38102573297246 1.87249528831385 1.70693106407606 9 6.86 10 7.66 12 9.61
"18" 17 9561 7308.14 33 31.22 52 52 74 68.31 0.953360911466758 0.951389035898742 1.3913909892022 1.38254180751721 1.86407421044422 1.69244718221463 9 6.84 10 7.55 12 9.44
"19" 18 9553 7162.17 33 31.03 51 51 73 67.08 0.953155514140775 0.950921666565215 1.39171875303698 1.38672168932744 1.85963669698688 1.6849848119489 9 6.72 10 7.47 12 9.23
"20" 19 9544 7016.71 33 30.81 50 50 72 65.72 0.953142290510912 0.951004865978511 1.39208814414944 1.38723500243621 1.85600128572073 1.67092052322929 9 6.62 10 7.27 12 9.06
"21" 20 9535 6881.96 33 30.52 49 49 71 64.49 0.953044986142034 0.95113446273678 1.39245823259174 1.39065812032659 1.84343865764878 1.65285552179407 9 6.49 10 7.11 12 8.85
"22" 21 9526 6775.51 33 30.31 48 48 70 63.33 0.953965788943227 0.951001711027959 1.39282902034036 1.3933247435297 1.83870646123492 1.64609016503278 9 6.43 10 6.97 12 8.72
"23" 22 9516 6634.65 33 30.12 47 47 69 61.87 0.954156401841213 0.951491806143814 1.39324182931507 1.39291932007357 1.82933717206772 1.63038389211281 9 6.33 10 6.75 12 8.52
"24" 23 9499 6485.89 33 29.86 46 46 68 60.44 0.954087674972772 0.952930072981107 1.39394559930121 1.38829060247765 1.82251457216354 1.6151056238505 9 6.23 10 6.65 12 8.34
"25" 24 9476 6351.26 33 29.63 45 45 67 59.22 0.954247675451823 0.953975069970283 1.39490177794029 1.38765018751533 1.81449201322007 1.59694499173999 9 6.11 10 6.51 12 8.11
"26" 25 9452 6226.74 32 29.28 44 44 66 58.03 0.95380044893782 0.953935853403813 1.39590449087624 1.39095616028533 1.81656012666879 1.58701276097274 9 5.97 10 6.36 12 7.97
"27" 26 9421 6091.37 31 29.01 43 43 65 56.69 0.953496656520603 0.954760769958386 1.39720722298718 1.39180521288351 1.81924703505715 1.57006345086955 8 5.87 10 6.18 12 7.77
"28" 27 9388 5949.37 31 28.76 42 42 64 55.18 0.953795961319335 0.956341174348264 1.3986034563019 1.38682071218439 1.8094655116633 1.55021867718964 8 5.75 10 6.01 12 7.57
"29" 28 9355 5819.28 31 28.43 41 41 63 54.02 0.953492207843487 0.956821574121415 1.40000954011355 1.39073017050277 1.7950668346715 1.5366673478271 8 5.65 10 5.84 12 7.32
"30" 29 9320 5689.5 31 28.18 40 40 62 52.69 0.95344425190896 0.957752348313023 1.4015117218629 1.39015400718917 1.78400334002068 1.52601149194335 8 5.49 10 5.73 12 7.16
"31" 30 9282 5533.55 31 27.82 39 39 59 51.35 0.953711038141257 0.959921631057697 1.39867796002421 1.38710304058205 1.76136164641738 1.50787955950642 8 5.38 10 5.61 12 6.99
