"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 9624 9624 34 34 69 69 91 91 0.949790197430077 0.949790417903965 1.38882889108086 1.38882889108086 1.91543845593966 1.91543845593966 9 9 10 10 13 13
"2" 53 9571 9571 33 33.82 56 68.09 74 89.85 0.953543773009796 0.951149810219062 1.37736861916128 1.38307708672839 1.87135040838145 1.89952203892259 9 9 10 10 12 12.15
"3" 106 9518 9518 33 33.68 52 66.31 66 87.69 0.95840400454641 0.952309617926374 1.35582312817323 1.37739721385877 1.83965763525728 1.88389391371327 9 9 10 10 12 12
"4" 159 9465 9465 33 33.5 48 64.34 60 85.15 0.960852810191872 0.953460683651329 1.34395745928264 1.37114684418952 1.7925095697951 1.86851978169115 9 8.95 10 10 12 12
"5" 212 9412 9412 33 33.28 46 62.32 56 82.4 0.964826254617218 0.954475706067523 1.32362001167781 1.364802178783 1.77297804621881 1.85355411469003 8 8.44 10 10 12 12
"6" 265 9359 9359 33 33.15 45 60.69 54 80.09 0.966604703558061 0.95531081292247 1.31324076405317 1.35881834760888 1.76246373487426 1.83956988360014 8 8.06 10 10 12 12
"7" 318 9306 9306 32 33.06 43 58.94 52 77.46 0.966261156651813 0.956120818881347 1.31502474863245 1.35312339151539 1.75122663865308 1.82612472306506 8 8.01 10 10 12 12
"8" 371 9253 9253 31 33.02 41 57.43 50 75.27 0.966369172592385 0.956900863758422 1.31682917008252 1.34740654195682 1.74090803153212 1.81295427036843 8 8 10 10 12 12
"9" 424 9200 9200 31 33.01 40 55.95 49 72.8 0.965470061045278 0.957712207918886 1.31865438160583 1.34170345234607 1.72518463863349 1.80060103478378 8 8 9 10 12 12
"10" 477 9147 9147 31 33.01 39 54.63 47 70.67 0.967947179166725 0.958251587173369 1.29927661580956 1.33708801546702 1.69173534597987 1.78908014717474 8 8 9 10 12 12
"11" 530 9094 9094 30 33 39 53.2 46 68.54 0.968322698615449 0.958857421587325 1.29022986293167 1.33255780966082 1.69576679235517 1.77823391959329 8 8 9 10 12 12
"12" 583 9041 9041 29 33 38 51.91 45 66.41 0.969993899744627 0.959418841868036 1.2919312436125 1.3279981465983 1.69271201594195 1.76791687679526 8 8 9 9.97 11 12
"13" 636 8988 8988 29 33 37 50.82 44 64.58 0.971579048641624 0.959819899853997 1.28406820843773 1.32399065454257 1.67045976728246 1.75846296775956 8 8 9 9.83 11 12
"14" 689 8935 8935 29 33 37 49.81 43 63.05 0.9721042722991 0.960204547553681 1.28062126251992 1.32019316490922 1.65124541583224 1.7496210210437 8 8 9 9.39 11 12
"15" 742 8882 8882 29 33 36 48.99 42 61.71 0.9709207857424 0.960638634609766 1.28229576453675 1.31635925220302 1.65111930604115 1.74140189931777 8 8 9 9.1 11 11.96
"16" 795 8829 8829 28 33 35 48.33 41 60.62 0.972350707186286 0.961020131056974 1.25709447392068 1.31302739082724 1.6432807682642 1.73399484842489 8 8 9 9 11 11.51
"17" 848 8776 8776 28 33 35 47.9 40 59.78 0.974853570846665 0.96141516992076 1.22035999317042 1.30943478637643 1.61421945076021 1.72691963973173 8 8 9 9 11 11.06
"18" 901 8723 8723 28 33 34 47.38 39 58.99 0.976357625664461 0.96177561325579 1.2216988765406 1.3059207546013 1.54349074027016 1.72028112563444 8 8 9 9 11 11
"19" 954 8670 8670 28 32.99 34 47.08 39 58.47 0.974062272964087 0.962139507636757 1.22305412918842 1.30291219457199 1.52394574535933 1.71412247563031 8 8 9 9 11 11
"20" 1007 8617 8617 28 32.97 33 46.88 38 57.89 0.975259207581353 0.962343722550864 1.22442605315813 1.29984027697838 1.51025631749128 1.70799002867208 8 8 9 9 11 11
"21" 1060 8564 8564 27 32.97 32 46.76 37 57.44 0.974925463490785 0.962668088201305 1.225814957971 1.2969398231213 1.51226724045513 1.70214278841866 8 8 9 9 10 11
"22" 1113 8511 8511 27 32.97 32 46.54 37 56.89 0.974192803365271 0.962967349758063 1.22722116085814 1.29388531312202 1.4895237570984 1.69582564198764 8 8 9 9 10 11
"23" 1166 8458 8458 27 32.91 31 46.25 36 56.37 0.972776346747208 0.963159046922605 1.22864498700208 1.291209357335 1.46305774335813 1.68961687514659 8 8 9 9 10 11
"24" 1219 8405 8405 27 32.88 31 46.09 36 55.96 0.971973069395006 0.963374454229345 1.23008676978746 1.28845795342624 1.45189673065427 1.68375434218701 8 8 8 9 10 11
"25" 1272 8352 8352 27 32.82 30 45.86 35 55.55 0.976583525848495 0.963606337170242 1.22038125944697 1.28613808016361 1.44839411416361 1.67800383233847 7 8 8 9 10 11
"26" 1325 8299 8299 26 32.79 30 45.67 34 55.18 0.982248394467167 0.96386308922738 1.20119515180771 1.28364905194364 1.45125769869797 1.67180757657091 7 8 8 9 10 11
"27" 1378 8246 8246 26 32.69 30 45.41 34 54.77 0.982006027565234 0.964194838964052 1.20248830522098 1.28144440310356 1.45415809380238 1.66579554025707 7 8 8 9 10 11
"28" 1431 8193 8193 25 32.59 29 45.09 33 54.33 0.980403918514292 0.964496332402184 1.2037981892899 1.27930511873365 1.45595113340801 1.65985344673101 7 8 8 9 10 11
"29" 1484 8140 8140 25 32.53 29 44.75 33 53.93 0.9785865213876 0.964781472519723 1.20512513081722 1.27711901324465 1.4461236691148 1.65349991976575 7 8 8 9 10 10.99
"30" 1537 8087 8087 25 32.39 28 44.39 32 53.51 0.983698500152557 0.965123203651554 1.20389244272807 1.2747720271824 1.43090099738229 1.64751150633189 7 8 8 9 10 10.83
"31" 1590 8034 8034 25 32.29 28 44.02 32 53.09 0.990965389054623 0.965372141197851 1.18064965246993 1.27265534105613 1.43374363527889 1.64132520125542 7 8 8 9 9 10.46
"32" 1643 7981 7981 24 32.16 28 43.67 31 52.71 0.995066973992558 0.965769404354279 1.1419992452137 1.27045760164557 1.43566101092843 1.63514187174152 7 8 8 9 9 10.11
"33" 1696 7928 7928 24 32.01 28 43.26 31 52.26 0.997993371878421 0.966201503224304 1.12892788455106 1.26813690896245 1.42348906976428 1.62845243883888 7 8 8 9 9 10.02
"34" 1749 7875 7875 24 31.87 28 42.93 30 51.92 1 0.966597225273807 1.10791895006249 1.26587470084696 1.40366672206374 1.62198781141729 7 8 8 9 9 10
"35" 1802 7822 7822 24 31.74 28 42.49 30 51.44 1 0.966945626412578 1.10865018304042 1.26324214442664 1.36746092137136 1.61596299756235 7 8 8 8.97 9 10
"36" 1855 7769 7769 24 31.59 28 42.09 30 51.01 1 0.967357388713436 1.10939139293888 1.26100126887175 1.30939849879689 1.60941943293634 7 7.99 8 8.87 9 10
"37" 1908 7716 7716 24 31.48 27 41.69 29 50.53 1 0.967880064280158 1.11014278534761 1.25841914318286 1.30109925260767 1.60291521700726 7 7.98 8 8.67 9 10
"38" 1961 7663 7663 24 31.33 27 41.31 29 50.11 1 0.968291827726889 1.11090457154406 1.25597059749767 1.3031817608144 1.5967253872415 7 7.9 8 8.37 9 10
"39" 2014 7610 7610 23 31.1 26 40.97 28 49.64 0.9991469435207 0.968766744492542 1.11167696869148 1.25330398791374 1.29632812974665 1.59038262922321 7 7.72 8 8.17 9 10
