"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 9624 9624 34 34 69 69 91 91 0.949790737862579 0.949790417903965 1.38882889108086 1.38882889108086 1.91543845593966 1.91543845593966 9 9 10 10 13 13
"2" 1 9622 9508.42 34 33.87 68 68.28 90 90 0.949785515325421 0.949882279992706 1.38890971188549 1.38586990427672 1.91421287489159 1.90691761903353 9 8.66 10 10 13 12.48
"3" 2 9620 9410.88 34 33.78 67 67.59 89 89 0.949864821035976 0.94970715832281 1.38899056629545 1.3857343782518 1.91238060697426 1.89896268141587 9 8.47 10 9.98 13 12.22
"4" 3 9618 9316.99 34 33.68 66 66.95 88 88 0.949903208445738 0.950224738141095 1.38907145433169 1.38028363045691 1.91015570297091 1.89060274784277 9 8.35 10 9.94 13 12.12
"5" 4 9616 9186.49 34 33.6 66 66.22 87 87 0.950471287774145 0.950082536028394 1.38473982213486 1.37762869507628 1.9085171205405 1.87849439848746 9 8.27 10 9.79 13 12.02
"6" 5 9614 9083.24 34 33.46 65 65.55 86 86 0.950635160606632 0.950447077262785 1.38481985954325 1.37339478641034 1.90659620971982 1.87334367634064 9 8.22 10 9.66 13 11.9
"7" 6 9612 8951 34 33.36 64 64.87 85 85 0.950629506542284 0.9505411070271 1.38489993025893 1.37110575461829 1.90497388102092 1.86651626956528 9 8.15 10 9.52 13 11.78
"8" 7 9610 8855.02 34 33.21 64 64.23 84 84 0.950847069327464 0.950911151127448 1.38348275332498 1.36758116586546 1.9021210646181 1.85486411842391 9 8.1 10 9.44 13 11.6
"9" 8 9608 8741.38 33 33.12 63 63.56 83 83 0.950829280120253 0.951496904709963 1.38356257904383 1.36310902612798 1.90230885001873 1.84197930394553 9 8.05 10 9.39 13 11.44
"10" 9 9606 8663.04 33 33 62 62.91 82 82 0.9508827581431 0.952685792198017 1.38364243800261 1.35641289883458 1.89954943183807 1.83041806319784 9 8.03 10 9.32 13 11.34
"11" 10 9603 8580.15 33 32.9 61 62.31 81 81 0.950920366380212 0.954005471391757 1.38376228881111 1.34735602025441 1.8944874997501 1.81708646381894 9 7.95 10 9.21 13 11.23
