"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 9624 9624 34 34 69 69 91 91 0.949790255059908 0.949790710134336 1.38882889108086 1.38882889108086 1.91543845593966 1.91543845593966 9 9 10 10 13 13
"2" 1 9622 9340.53 33 33 68 67.34 90 88.65 0.949772438872565 0.950128900390593 1.38890971188549 1.38382970008494 1.91562873622566 1.92732143357742 9 8.16 10 9.97 13 12.2
"3" 2 9598 9080.25 32 32 67 65.65 89 86.04 0.949644278035747 0.951017272955018 1.38988218876456 1.37016834183279 1.91791828505556 1.93261993634212 9 8.01 10 9.65 13 11.9
"4" 3 9567 8803.13 31 31 66 64.06 88 83.57 0.949187588895837 0.951904395412802 1.39114552605438 1.35950932587517 1.92089262046235 1.9370390069568 9 7.89 10 9.45 12 11.58
"5" 4 9521 8536.33 30 30 66 62.28 86 80.71 0.951846553292945 0.953495545750328 1.35819348551883 1.34118317532403 1.9227723592741 1.93560538358575 8 7.59 10 9.22 12 11.1
"6" 5 9461 8255.37 29 29 65 60.42 85 77.88 0.951166045032199 0.954307582000182 1.36046508568067 1.33032117216846 1.92862441947455 1.93156483377726 8 7.31 10 8.93 12 10.67
"7" 6 9390 7989.71 28 28 63 58.68 81 75.17 0.954252502598259 0.955907867738692 1.33870166812291 1.31355991408793 1.92193858177045 1.93408112403418 8 7.06 10 8.73 12 10.35
"8" 7 9308 7705.8 27 27 62 56.83 80 72.32 0.952658326060178 0.957215521378824 1.34168550318802 1.29972440251251 1.93006051598888 1.92329063979518 8 6.73 10 8.4 12 9.88
"9" 8 9184 7404.42 26 26 62 55.06 76 69.83 0.954146336124361 0.957277390595678 1.33414519528757 1.2937455877871 1.93142715303799 1.92191613736927 8 6.52 9 8.14 12 9.53
"10" 9 9050 7112.34 25 25 61 53.25 73 67.2 0.964632161041026 0.957640224354053 1.24881836267125 1.28945864719678 1.93296151718235 1.90802792898588 8 6.27 10 7.82 11 9.13
"11" 10 8914 6832.51 24 24 60 51.26 71 64.5 0.971967890155059 0.958575545204015 1.21788965697984 1.28082455293486 1.93338257971728 1.90552880406325 8 6.01 9 7.55 11 8.85
"12" 11 8761 6561.97 23 23 59 49.33 70 61.92 0.970635099103752 0.959226478435384 1.22169482962199 1.27540263871289 1.94968294893275 1.91084358065245 8 5.79 9 7.28 11 8.4
"13" 12 8545 6270.15 22 22 56 47.51 67 59.3 0.968984724438997 0.960772821397018 1.22729881829354 1.26364244355021 1.95356516078201 1.91882632850465 7 5.51 9 7.02 10 8.07
"14" 13 8323 5996.33 21 21 54 45.78 64 56.76 0.968307784064741 0.961847878123564 1.22916988084318 1.25220522007132 1.94809331062214 1.91795490522457 7 5.24 9 6.78 10 7.7
"15" 14 8099 5743.04 20 20 53 44.11 63 54.36 0.966581005781819 0.963495307814317 1.23550820079735 1.24099423673326 1.97431542465836 1.92433163493033 7 4.95 8 6.52 10 7.38
"16" 15 7865 5458.33 19 19 52 42.15 61 51.36 0.965488791270894 0.965450003833416 1.23884055859274 1.2223670599851 2.00006510143597 1.91413618741513 6 4.74 8 6.25 9 6.98
"17" 16 7617 5172.83 18 18 50 40.21 58 48.76 0.971695680265413 0.966753701656197 1.20848848187579 1.21453048803353 2.01473558003705 1.90536370052976 6 4.53 7 5.95 9 6.61
"18" 17 7362 4858.6 17 17 50 38.33 57 46.1 0.985838332652565 0.968690085289804 1.14589620954842 1.19965496494374 2.04988330795195 1.90452657481933 6 4.25 8 5.61 8 6.17
"19" 18 7094 4554.09 16 16 48 36.2 55 43.02 0.984486398892802 0.969613183492245 1.15140793553644 1.18663992013807 2.08356467687415 1.89286864562827 6 3.94 7 5.28 8 5.76
"20" 19 6811 4280.83 15 15 45 34.38 52 40.32 0.991818598119278 0.972252516316452 1.15769900083622 1.16723541800936 2.0477825896071 1.88914832044794 5 3.68 7 5 7 5.42
"21" 20 6513 3974.19 14 14 43 32.05 46 37.36 1 0.974735534308348 1.05175257300458 1.15805487658291 2.02144656009359 1.85642609344169 5 3.38 7 4.61 7 4.95
"22" 21 6191 3710.45 13 13 38 30.15 41 34.86 1 0.974565880194113 1.05444427523483 1.15066524897843 2.03652329913495 1.86231855914467 5 3.08 6 4.26 6 4.63
"23" 22 5861 3431.2 12 12 36 28.11 39 32.11 1 0.976197471143194 1.05750972666419 1.136076578769 2.07868557263885 1.86083117135034 4 2.89 6 3.94 6 4.21
"24" 23 5517 3140.64 11 11 33 26 35 29.5 0.999706018316427 0.978783356420488 1.05563784745102 1.1207542473707 2.12720404784854 1.85541020440985 4 2.6 5 3.62 5 3.84
"25" 24 5151 2873.18 10 10 29 24.03 31 26.93 0.999671805088519 0.977737957840696 1.05959114820177 1.11541514316393 2.13352513760115 1.8581860883077 4 2.32 4 3.2 4 3.4
"26" 25 4774 2589.97 9 9 26 22.04 28 24.35 0.998236368869043 0.979928597914341 1.06429702647409 1.09929524715545 2.14855018745395 1.88280878107042 3 2.03 4 2.96 4 3.1
"27" 26 4365 2303.56 8 8 23 19.79 23 21.63 1 0.981744028171393 1 1.07562519391623 2.05059195777526 1.90407489837322 3 1.79 4 2.61 4 2.74
"28" 27 3954 2045.82 7 7 22 17.64 22 19.12 1 0.982315637082307 1 1.06773220147689 2.15979612941047 1.89450324685656 2 1.53 3 2.26 3 2.34
"29" 28 3504 1737.36 6 6 16 14.99 16 16.15 1 0.980442622840845 1 1.06406572949019 2.01052884384639 1.8737762498453 2 1.19 3 1.8 3 1.87
"30" 29 3033 1453.41 5 5 13 12.56 13 13.26 1 0.98439726133799 1 1.04414141663277 2.12518374569115 1.85984142856685 2 0.92 2 1.43 2 1.48
"31" 30 2541 1141.39 4 4 11 10.25 11 10.7 1 0.98731850307765 1 1.03525321212257 2.15034669833155 1.89976348221141 1 0.7 2 1.2 2 1.23
"32" 31 2037 862.72 3 3 8 7.98 8 8.21 1 0.987953768125021 1 1.02122670939253 2.40868854194356 1.92633866069236 1 0.31 1 0.78 1 0.78
"33" 32 1422 593.79 2 2 7 5.43 7 5.49 1 0.993059780699944 1 1.00669782551106 3.01793147675037 1.91249516108264 0 0 1 0.44 1 0.44
"34" 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
