"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 19272 19272 38 38 221 221 1143 1143 0.355762204519829 0.355767647292969 14.860982132006 14.860982132006 12.2658022310104 12.2658022310104 12 12 5 5 78 78
"2" 1 19270 19188.49 38 38 220 220 1142 1138.81 0.355779190744424 0.356007446675676 14.8624207393887 14.856338712744 12.2608510100395 12.2319123453328 12 11.99 5 5 78 77.47
"3" 2 19268 19038.24 38 38 219 219 1141 1132.38 0.355741917668601 0.356288395227333 14.8638596454235 14.8605486545578 12.2556597086909 12.1919899874579 12 11.96 5 5 78 76.9
"4" 3 19266 18906.97 38 38 218 218 1140 1127.26 0.355722572536733 0.356907093512363 14.8652988502034 14.8432345634454 12.2473984988822 12.1525792991843 12 11.94 5 5 78 76.53
"5" 4 19264 18871.24 38 38 217 217 1139 1123.4 0.355726106746901 0.356810720885882 14.8667383538216 14.8554087639355 12.2422224463015 12.1127134159283 12 11.94 5 5 78 76.36
"6" 5 19262 18797.78 38 38 216 216 1138 1117.8 0.355728162163669 0.356969546501016 14.8681781563711 14.8634993091168 12.2372889032276 12.0541030627966 12 11.94 5 4.99 78 76.07
"7" 6 19260 18708.37 38 38 215 215 1137 1112.74 0.355693223297816 0.357605587279854 14.8696182579449 14.8551549680629 12.2351319385094 11.9972550015361 12 11.94 5 4.99 77 75.72
"8" 7 19258 18575.73 38 38 214 214 1136 1107.28 0.35570922253659 0.357959284091489 14.8710586586364 14.8414327628862 12.2288446174995 11.9492556032915 12 11.95 5 4.99 77 75.29
"9" 8 19256 18412.49 38 38 213 213 1135 1100.49 0.355681170160276 0.359744017256514 14.8724993585386 14.7855722563404 12.2227647657107 11.864154210723 12 11.94 5 4.99 77 74.56
"10" 9 19254 18357.71 38 38 212 212 1134 1095.05 0.355668011773507 0.359962226352266 14.8739403577448 14.785456659479 12.2142446644236 11.8056715896726 12 11.94 5 4.99 77 74.2
"11" 10 19252 18223.31 38 38 211 211 1133 1088.69 0.355703205688982 0.361143245168391 14.8753816563484 14.7526759244963 12.2105665158704 11.7401198760521 12 11.94 5 4.97 77 73.77
"12" 11 19250 18164.58 38 38 210 210 1132 1084.37 0.35568280818972 0.361032878676933 14.8768232544426 14.7661203198794 12.2060690621864 11.6977593095336 12 11.94 5 4.97 77 73.55
"13" 12 19248 18065.23 38 38 209 209 1131 1078.39 0.355652236757186 0.361656950377273 14.8782651521207 14.758680637094 12.2001646603316 11.6302616924388 12 11.94 5 4.97 77 73.07
