"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 19272 19272 38 38 221 221 1143 1143 0.355767647292969 0.35576669555885 14.860982132006 14.860982132006 12.2658022310104 12.2658022310104 12 12 5 5 78 78
"2" 100 19172 19172 38 38 210 220.84 1093 1141.86 0.357809513239214 0.356809434195323 14.8232498879561 14.8376312856559 12.0298369839871 12.1342629226001 12 12 5 5 77 77
"3" 200 19072 19072 38 38 198 220.09 1043 1137.84 0.359324665988631 0.357897208254866 14.8044620202947 14.8144088291861 11.794350611871 11.9981175992979 12 12 5 5 76 76
"4" 300 18972 18972 38 38 191 218.96 993 1132.1 0.361663691018641 0.359057586556369 14.8122817996192 14.7895939254436 11.5440238467472 11.8603267078334 12 12 5 5 75 76
"5" 400 18872 18872 38 38 184 217.49 943 1124.24 0.365945332725612 0.360279735113933 14.7541419422452 14.7652700346384 11.2781446191963 11.7225985151818 12 12 5 5 75 75
"6" 500 18772 18772 38 38 167 216.01 893 1115.44 0.368610243154205 0.361537870100093 14.7174636188206 14.7398576366522 11.0293184873405 11.5842044773103 12 12 5 5 74 74.26
"7" 600 18672 18672 38 38 159 214.37 843 1105.23 0.371791003621488 0.362833485863644 14.66530678757 14.713451229521 10.7953859658637 11.4453364656811 12 12 5 5 73 74
"8" 700 18572 18572 38 38 147 212.28 795 1093.26 0.373210304909711 0.364168122169849 14.6786823542921 14.6862854348501 10.5706559976882 11.3061634591338 12 12 5 5 73 73
"9" 800 18472 18472 38 38 139 210.22 761 1080.69 0.374675806426643 0.365544558458917 14.6717434948384 14.6572246761575 10.34314074583 11.1679484350223 12 12 5 5 72 72.82
"10" 900 18372 18372 38 38 132 207.94 728 1066.84 0.376036179543426 0.366907681079337 14.643354470467 14.6300658292257 10.1541816812182 11.0284429949123 12 12 5 5 71 72
"11" 1000 18272 18272 38 38 130 205.21 695 1052.35 0.380474129260723 0.368280901506668 14.5813351708417 14.6026945547677 9.92350154051592 10.8881019501967 12 12 5 5 70 71.08
"12" 1100 18172 18172 38 38 123 202.76 661 1036.95 0.383618066413663 0.369716720223505 14.4771046352561 14.5736611813433 9.71508758119199 10.7500732091229 12 12 5 5 70 70.96
"13" 1200 18072 18072 38 38 120 200.3 633 1021.04 0.385766142470956 0.371208335690944 14.4666684381799 14.5425508824128 9.52083919605646 10.6115850939902 12 12 5 5 69 70
"14" 1300 17972 17972 38 38 118 197.66 608 1004.46 0.388083113621639 0.372672458903781 14.4417279500407 14.5137986840693 9.36901634236259 10.4719375459348 12 12 5 5 68 69.56
