"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "X50.rOrd" "X50.rRnd" "X50.cOrd" "X50.cRnd" "X50.intOrd" "X50.intRnd"
"1" 0 19272 19272 38 38 221 221 1143 1143 0.355765471433068 0.355767647292969 14.860982132006 14.860982132006 12.2658022310104 12.2658022310104 12 12 5 5 78 78
"21" 20 19232 18941.65 38 38 219 219.16 1123 1123 0.357063007246898 0.360644573921097 14.8224946477729 14.6169032919603 12.174414903042 12.0623294365808 12 12 5 5.01 77 76.06
"41" 40 19192 18599.18 38 38 211 217.3 1103 1103 0.357240877511193 0.364499532993299 14.8370040024606 14.3988784156807 12.0787283667153 11.885676098269 12 11.99 5 5.02 77 74.83
"61" 60 19152 18265.9 38 38 204 215.75 1083 1083 0.357861774754026 0.369429171457128 14.8353537901487 14.1670655233456 11.9839413676168 11.681806306765 12 11.98 5 5.05 77 73.52
"81" 80 19112 17939.33 38 38 199 214.14 1063 1063 0.358641447692542 0.374619421892193 14.813558177036 13.9098248604551 11.8960086234178 11.4835357581749 12 11.97 5 5.06 76 71.99
"101" 100 19072 17609.93 38 38 198 212.35 1043 1043 0.359318902026387 0.379820536599901 14.8044620202947 13.6535749203396 11.794350611871 11.2886749490703 12 11.91 5 5.07 76 70.63
"121" 120 19032 17274.65 38 38 197 210.31 1023 1023 0.360111108338825 0.384705449583929 14.7939947350928 13.4117512144796 11.7064402139427 11.0899191362678 12 11.86 5 5.11 76 69.2
"141" 140 18992 16954.86 38 38 195 208.35 1003 1003 0.361154587387626 0.389702524473722 14.8032111509078 13.1624324805321 11.6009183947223 10.8943564574237 12 11.83 5 5.1 76 67.88
"161" 160 18952 16613.44 38 38 191 206.64 983 983 0.362685397892916 0.395312440561831 14.7939050658861 12.9087391996334 11.4957557918439 10.6977023245794 12 11.8 5 5.17 75 66.46
"181" 180 18912 16253.53 38 38 188 204.7 963 963 0.364379209948177 0.400250288763351 14.7757022123292 12.6755487334018 11.3796487775667 10.5094114352758 12 11.75 5 5.13 75 65.08
"201" 200 18872 15900.69 38 38 184 202.54 943 943 0.365943409170744 0.405457696031839 14.7541419422452 12.4247785331504 11.2781446191963 10.3311362772795 12 11.64 5 5.14 75 63.83
"221" 220 18832 15580.25 38 38 179 200.65 923 923 0.36728826039403 0.410802444545672 14.726775192507 12.1840271512871 11.1822340889845 10.1394519618171 12 11.57 5 5.17 74 62.42
"241" 240 18792 15212.6 38 38 171 198.76 903 903 0.36811209526886 0.416865866812928 14.7132032152175 11.9079980130123 11.0889001423624 9.95814244289514 12 11.5 5 5.2 74 61.18
"261" 260 18752 14850.15 38 38 166 196.77 883 883 0.369215106757329 0.422813740034854 14.7092479037626 11.6324443419978 10.9830994353586 9.76644952305308 12 11.47 5 5.22 74 59.75
"281" 280 18712 14518.35 38 38 166 194.69 863 863 0.370847513485896 0.42887840778079 14.6659940784696 11.38546453224 10.8889941220518 9.5765282605392 12 11.36 5 5.23 74 58.39
"301" 300 18672 14205.45 38 38 159 192.58 843 843 0.371792290962146 0.434712591222319 14.66530678757 11.1501256420506 10.7953859658637 9.37626792830825 12 11.27 5 5.24 73 57.04
"321" 320 18632 13837.61 38 38 156 190.59 823 823 0.372161899138127 0.441110121271917 14.6795812960371 10.9190309960246 10.6992754004463 9.18459880432924 12 11.27 5 5.19 73 55.62
"341" 340 18592 13532.35 38 38 150 188.36 803 803 0.373073958968528 0.447145475504184 14.6730198060489 10.6986538885511 10.6087708340315 8.98871993217587 12 11.18 5 5.16 73 54.38
"361" 360 18538 13198.73 38 38 147 186.1 783 783 0.374680115199144 0.453461150567607 14.6469070625322 10.4477619037381 10.4837002403967 8.79588735307987 12 11.12 5 5.2 72 53
"381" 380 18478 12854.07 38 38 140 183.68 763 763 0.374678451146044 0.459827880471257 14.6680332966875 10.2016893349571 10.3599359095019 8.6098331417771 12 11.06 5 5.19 72 51.66
"401" 400 18418 12526.08 38 38 138 181.48 743 743 0.376234912899728 0.466949441811061 14.6157472948884 9.93428221450717 10.2521422750508 8.40577768472347 12 10.96 5 5.2 71 50.23
"421" 420 18358 12178.5 38 38 132 179.17 723 723 0.37646100701916 0.473685728797755 14.6466037892576 9.69997781746678 10.1179067255641 8.21292983052393 12 10.91 5 5.15 71 48.9
"441" 440 18298 11845.36 38 38 131 176.78 703 703 0.379551726167078 0.479845366396635 14.5922563258779 9.47814777202043 9.9865368333422 8.01845964002664 12 10.81 5 5.13 71 47.48
"461" 460 18238 11513.54 38 38 125 174.46 683 683 0.381329288604354 0.486046651263872 14.5202223793787 9.27215155934475 9.85297056138574 7.84475685682619 12 10.72 5 5.11 70 46.36
"481" 480 18178 11165.76 38 38 123 172.12 663 663 0.383406943286289 0.492976890675017 14.4798814917213 9.04240818425623 9.72179949097966 7.65308886419237 12 10.64 5 5.09 70 45
"501" 500 18115 10829.42 38 38 120 169.63 643 643 0.384472614972886 0.501048532434386 14.4896203388376 8.77300503276462 9.59903661843548 7.45546446347383 12 10.55 5 5.08 69 43.64
"521" 520 18035 10468.11 38 38 119 167.18 623 623 0.386841040372043 0.507807775592589 14.4531104941333 8.56685697813436 9.4586722775587 7.27624263134855 12 10.52 5 5.04 69 42.48
"541" 540 17955 10127.56 38 38 116 164.67 603 603 0.388531395995635 0.516136893558088 14.4478813338942 8.32088928529806 9.33506861660958 7.08263637367667 12 10.42 5 5.07 68 41.12
"561" 560 17875 9790.46 38 38 114 162.12 583 583 0.391443556055464 0.523947976534489 14.4246904946484 8.08850562686699 9.15754760319334 6.88678705494188 12 10.37 5 5.08 68 39.8
"581" 580 17795 9455.96 38 38 111 159.48 563 563 0.393231998875052 0.531212048875401 14.375014278817 7.86716087728512 9.01574673819086 6.69802914230292 12 10.23 5 5.02 67 38.44
"601" 600 17710 9105.95 38 38 108 156.97 543 543 0.395167529269324 0.539903222202625 14.3349358367663 7.63197275911441 8.88908012022974 6.50994994709911 12 10.13 5 5.01 67 37.1
"621" 620 17610 8747.45 38 38 104 154.39 523 523 0.396737405220769 0.548245963123125 14.3560259016234 7.39643917889549 8.72842273014406 6.32279406735897 12 10.07 5 4.97 66 35.9
"641" 640 17510 8406.38 38 38 103 151.75 503 503 0.399510087784794 0.556933317342382 14.3281537511321 7.15856468067719 8.5958314666565 6.13171644133216 12 9.96 5 4.92 65 34.56
"661" 660 17410 8055.43 38 38 101 149.16 483 483 0.401445369429762 0.565426558275174 14.3112694487582 6.92427156942975 8.42703640081567 5.95728037294964 12 9.76 4 4.89 65 33.32
"681" 680 17299 7743.68 38 38 99 146.21 463 463 0.402571578760273 0.574892607873525 14.329725920954 6.68016373315016 8.29877590361505 5.76215426910881 12 9.65 4 4.88 64 31.99
"701" 700 17179 7413.53 38 38 96 143.18 443 443 0.406132862386425 0.584490523273847 14.304426745992 6.4328284479486 8.09682381398524 5.56373001011446 12 9.54 4 4.87 63 30.55
"721" 720 17059 7054.59 38 38 91 140.07 423 423 0.408591571268821 0.59581786272764 14.2210744460757 6.16773050707709 7.94448894428663 5.36679128574561 12 9.39 4 4.86 62 29.19
"741" 740 16921 6696.72 38 38 90 136.75 403 403 0.411373685638067 0.606144814275698 14.2346857813592 5.91223689366435 7.77748734009356 5.18701555515718 11 9.18 4 4.9 61 27.83
"761" 760 16774 6334.3 38 38 84 133.52 383 383 0.414642839301059 0.617468587982757 14.2261895292225 5.67347460519593 7.54321054157577 4.99876089627748 11 9.06 4 4.82 60 26.44
"781" 780 16614 6026.06 38 38 79 130.15 363 363 0.41558754268567 0.628303451379889 14.2777575127922 5.43634191236307 7.34311667444176 4.7983437263656 12 8.9 4 4.78 59 25.09
"801" 800 16443 5692.56 38 38 74 126.65 343 343 0.42028525569206 0.63998358526588 14.1505248851529 5.20569241367048 7.10614223683095 4.59620787301289 12 8.75 4 4.65 58 23.68
"821" 820 16253 5357.74 38 37.98 70 123.11 323 323 0.426460800006273 0.652349003877501 14.0040787699402 4.95113803941926 6.84463504398899 4.39883154136956 12 8.45 4 4.66 57 22.31
"841" 840 16041 5022.5 38 37.97 64 119.71 303 303 0.4283352407451 0.665132721961223 14.0079322178514 4.69520602979542 6.55971225846753 4.19891339690181 11 8.24 4 4.57 56 20.94
"861" 860 15806 4688.58 38 37.95 59 115.72 283 283 0.435350454013179 0.67714747441885 13.7997241342443 4.47541904257147 6.29254457247563 4.01315244182191 11 7.95 4 4.53 54 19.67
"881" 880 15552 4374.21 38 37.92 53 111.66 263 263 0.439322509513318 0.691701788332557 13.6779028257502 4.23003846653487 6.01876032223676 3.81308800996446 11 7.72 4 4.45 52 18.3
"901" 900 15254 4060.48 38 37.84 49 107.28 243 243 0.447028611033724 0.705488202267039 13.3859989958162 3.97110383320064 5.77984829396996 3.62114642886933 11 7.41 4 4.39 51 16.94
"921" 920 14913 3718.21 38 37.72 44 102.41 223 223 0.453366330024795 0.721027914888626 13.1585780140862 3.73436831679031 5.46680951508808 3.4276596987177 11 7.12 4 4.3 48 15.57
"941" 940 14524 3391.88 38 37.62 39 96.85 203 203 0.461329449816362 0.735166345327691 12.8264711125009 3.51773258529876 5.19151273809984 3.23096944624292 11 6.75 4 4.2 46 14.19
"961" 960 14083 3035.7 37 37.51 37 91.51 183 183 0.475887975152112 0.754258392170558 12.263840393308 3.26881319047809 4.94548609325343 3.02721309996638 11 6.52 4 4.06 44 12.97
"981" 980 13558 2706.87 36 37.2 34 85.67 163 163 0.4848624900997 0.774335490444977 11.9127007978906 3.01447591062457 4.69718494509741 2.82245664388539 11 6.01 3 3.93 41 11.52
"1001" 1000 12911 2386.68 36 36.75 32 79.51 143 143 0.511631065448529 0.798509048963938 11.0361570951682 2.72331475354472 4.31532288702906 2.59362693249365 10 5.63 3 3.88 37 10.1
"1021" 1020 12085 2046 35 36.17 25 72.73 123 123 0.529496682609237 0.823514115519767 10.5931917818904 2.47899894451174 3.88661001981367 2.36338484477189 10 5.11 3 3.65 33 8.52
"1041" 1040 11127 1712.74 33 35.17 24 64.92 103 103 0.567050658516463 0.849745114370344 8.99479555729121 2.22143753060799 3.518113573186 2.1733858215694 9 4.43 3 3.31 29 7.17
"1061" 1060 9965 1362.6 32 33.52 20 56.15 83 83 0.613931522128841 0.880587656907122 7.93475548201831 1.97209653015852 3.02677372078388 1.94433946713776 9 3.97 3 3.1 24 5.81
"1081" 1080 8548 1027.95 30 30.47 18 46 63 63 0.685058091059067 0.91641468166492 6.2996289268141 1.73329550771734 2.50056876316745 1.7079783007074 8 3.19 3 2.53 19 4.29
"1101" 1100 6941 713.2 24 25.53 15 34.28 43 43 0.756505403169602 0.950590486883104 5.15155367399334 1.51113354513478 2.07191808984836 1.48658437376701 7 2.36 2 1.91 15 2.92
"1121" 1120 4726 397.99 18 17.28 11 20.21 23 23 0.90383213857022 0.986210990977882 3.67652813792686 1.28691937246692 1.41043049814338 1.25257837916318 6 1.36 1 1.23 9 1.54
