"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 19272 19272 38 38 221 221 1143 1143 0.35576669555885 0.355767647292969 14.860982132006 14.860982132006 12.2658022310104 12.2658022310104 12 12 5 5 78 78
"2" 1 19150 18774.93 37 37 220 218.31 1126 1113.39 0.355462127523339 0.354621727408015 14.6607357765728 14.5168292613014 12.2790300920654 12.2849048011506 12 12 5 5 77 75.72
"3" 2 19003 18281.9 36 36 217 215.64 1108 1083.79 0.355463824502581 0.354533194161468 14.4971303744031 14.1173789089409 12.2837060767549 12.2834887963397 12 11.39 5 5 76 73.82
"4" 3 18825 17791.7 35 35 217 212.91 1086 1054.6 0.357002008854715 0.355157107091999 14.1160556652535 13.7307161233134 12.2875207330499 12.2797133118082 12 11.07 5 5.07 74 71.81
"5" 4 18642 17257.77 34 34 215 209.89 1063 1022.88 0.358158714183599 0.355601933619586 13.7426486002541 13.3676131437871 12.3044265066744 12.2613620246356 12 10.96 5 5.07 73 69.62
"6" 5 18425 16748.86 33 33 213 206.9 1033 993.19 0.358718080548464 0.356950327962838 13.5467519282014 12.9785155906669 12.223813013382 12.2642427815887 11 10.46 5 5.1 72 67.54
"7" 6 18178 16246.25 32 32 210 204.13 1016 961.71 0.348931487831382 0.357910182832508 13.5586569867914 12.6147691526164 12.3333444355207 12.2448218904503 11 10.08 5 5.1 71 65.39
"8" 7 17918 15764.08 31 31 209 201.38 998 933.04 0.347970430696112 0.359454334092562 13.3061488927928 12.214878604298 12.4144603351908 12.2395434753129 11 9.92 5 5.13 70 63.19
"9" 8 17599 15269.89 30 30 207 198.62 979 902.5 0.350477968511413 0.360608692399606 12.7587672385498 11.8533045009131 12.481159397143 12.234292980802 11 9.55 5 5.12 68 61.08
"10" 9 17244 14742.74 29 29 205 195.72 959 872.31 0.349939391558525 0.361947943216774 12.3653890595005 11.4875144894772 12.558299924257 12.2331489381055 11 9.07 5 5.14 66 59.01
"11" 10 16881 14190.44 28 28 201 192.67 920 842.2 0.350632565594155 0.363015531587508 12.1104966923366 11.0918277670892 12.4922522427381 12.2485447388307 10 8.9 5 5.1 64 57.01
"12" 11 16517 13668.13 27 27 199 189.42 894 811.8 0.35419587667379 0.36406835327092 11.6364582058841 10.7081396220059 12.4957640110403 12.2319279921945 10 8.55 5 5.12 61 54.81
"13" 12 16150 13164.32 26 26 199 186.08 864 781.38 0.355529311617113 0.365420436570505 11.3761777943377 10.3102239368193 12.3755602185507 12.2200604206053 10 8.14 5 5.14 59 52.63
"14" 13 15781 12658.39 25 25 199 182.69 842 752.7 0.360340699059345 0.365430029973525 10.8248818452256 9.94704671687252 12.4461640006727 12.2453128050195 9 7.94 5 5.15 57 50.76
"15" 14 15387 12140.16 24 24 192 179.54 796 722.95 0.361225445011431 0.365472992989309 10.6139089092699 9.59547847671462 12.2321206281223 12.2645261928522 9 7.56 5 5.11 54 48.83
"16" 15 14964 11633.92 23 23 188 176.01 763 693.91 0.361488160903454 0.36645723099563 10.3927087044011 9.2034768593723 12.2567748818848 12.2729301238549 9 7.18 5 5.14 52 46.82
"17" 16 14513 11100.89 22 22 184 172.08 735 663.33 0.367932070395733 0.366381114799875 9.79908707185075 8.84485955920131 12.2366263402574 12.2627552343957 9 6.9 5 5.1 49 44.72
"18" 17 14058 10581.05 21 21 182 168.77 712 632.65 0.367847156913631 0.36755968281902 9.37730516774821 8.44895764878521 12.2175605436746 12.2612208529571 8 6.57 5 5.1 47 42.73
"19" 18 13578 10088.67 20 20 175 165.24 672 603.13 0.370352465622956 0.368339779818956 8.90474902181974 8.08324009187153 11.914957346391 12.278458975727 8 6.22 5 5.11 43 40.64
"20" 19 13093 9596.91 19 19 172 161.63 651 574.62 0.370092539835725 0.369339611520189 8.37293419613304 7.69135618254886 12.1020045133878 12.3114731073591 8 5.93 5 5.14 42 38.78
"21" 20 12586 9126.38 18 18 170 157.77 635 544.13 0.363272946008933 0.370321251026149 7.98371707283447 7.32158892638144 12.3835133820879 12.2898110796846 7 5.62 5 5.1 42 36.63
