"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 956 956 76 76 121 121 186 186 0.863311706558715 0.863311706558715 1.57054914282565 1.57054914282565 2.70435458224835 2.70435458224835 8 8 12 12 15 15
"2" 1 955 947.59 76 75.73 120 120 185 184.48 0.863311706558715 0.863703624438575 1.57114657648306 1.56959353779028 2.69903993785757 2.69106624089326 8 7.86 12 11.74 15 14.95
"3" 2 954 938.81 75 75.49 119 119 184 182.89 0.863311706558715 0.863869316222986 1.57174526262193 1.56945150531477 2.70082090215301 2.67616506614578 8 7.78 12 11.52 15 14.8
"4" 3 953 931.32 75 75.09 118 118 183 181.32 0.863208626915601 0.864041007874551 1.57234520518502 1.56971010932871 2.67764497384518 2.66420489187684 8 7.75 12 11.29 15 14.7
"5" 4 952 925.02 75 74.75 117 117 182 179.89 0.863860082770307 0.864143668904596 1.57294640813164 1.5705604609412 2.6752055252883 2.65192503566569 8 7.71 12 11.08 15 14.55
"6" 5 951 916.39 75 74.39 116 116 181 178.26 0.864407975258694 0.86449774062878 1.57354887543777 1.57045259579355 2.65322165367 2.63757848382119 8 7.67 12 11.01 15 14.37
"7" 6 950 909.17 75 74.11 115 115 180 176.72 0.864333644681688 0.864852694505992 1.57415261109613 1.56927377569872 2.64979032378241 2.62417655765027 8 7.59 12 10.94 15 14.23
"8" 7 949 899.8 75 73.81 114 114 179 175.22 0.864986800367138 0.864733917644 1.57475761911625 1.57088917075388 2.64731381200557 2.61008682304651 8 7.59 12 10.9 15 14.12
"9" 8 948 892.08 75 73.41 113 113 178 173.58 0.864986800367138 0.86519220057054 1.5753639035246 1.57010572525676 2.64586682087645 2.59347987825269 8 7.58 12 10.8 15 13.96
"10" 9 947 885.88 75 73.07 112 112 177 172.03 0.865742475781914 0.865478664694623 1.57597146836465 1.56975601784184 2.6267391270136 2.58029622216548 8 7.56 11 10.74 15 13.87
"11" 10 946 879.46 74 72.79 111 111 176 170.46 0.865742475781914 0.865949739383296 1.57658031769696 1.56930199508532 2.62845872439945 2.5637995440867 8 7.52 11 10.65 15 13.73
"12" 11 945 870.99 74 72.45 110 110 175 168.91 0.865668780721941 0.866146303489278 1.57719045559928 1.56876143479953 2.61855225206479 2.55524396303689 8 7.43 11 10.58 15 13.61
"13" 12 944 864.22 74 72.2 109 109 174 167.52 0.866144214409534 0.866011252765428 1.57780188616665 1.5709197943409 2.61814817606062 2.5385588257833 8 7.43 11 10.48 15 13.53
"14" 13 943 855.82 74 71.93 108 108 173 165.82 0.866620170609678 0.866518099312821 1.57841461351147 1.56927439746885 2.61774324305539 2.52055270718763 8 7.36 11 10.35 15 13.36
"15" 14 942 848.75 74 71.57 107 107 172 164.24 0.866546836562633 0.866921387049262 1.57902864176361 1.56852715083733 2.61104651191332 2.50720168626541 8 7.36 11 10.29 15 13.25
"16" 15 941 841.8 73 71.18 106 106 171 162.73 0.866546836562633 0.867009304922599 1.57964397507048 1.56968094086965 2.61275856984309 2.4949630784815 8 7.32 11 10.19 15 13.08
"17" 16 940 831.23 72 70.79 105 105 170 161.13 0.866546836562633 0.867153853462572 1.58026061759715 1.56845842310543 2.61447427044931 2.48532920226055 8 7.23 11 10.09 15 12.99
"18" 17 939 824.94 72 70.43 104 104 169 159.69 0.867023537914019 0.867279571527872 1.58087857352643 1.56866233623453 2.6140636999173 2.47146095678583 8 7.2 11 10.01 15 12.87
"19" 18 938 816.04 72 70.07 103 103 168 158.11 0.867096650184225 0.867353477024078 1.58149784705898 1.56892087159042 2.60700996842583 2.46030695174645 8 7.19 11 9.86 15 12.73
"20" 19 937 807 71 69.72 102 102 167 156.58 0.866977980771643 0.867349782670094 1.58211844241336 1.5710370387293 2.6087250270901 2.44384970525114 8 7.22 11 9.77 15 12.66
"21" 20 936 799.11 71 69.29 101 101 166 155.04 0.867455345395329 0.867866936813175 1.5827403638262 1.56918406858156 2.59976674625685 2.43407239974472 8 7.16 11 9.7 15 12.53
"22" 21 935 791.36 70 68.9 100 100 165 153.56 0.867455345395329 0.867924654980921 1.58336361555221 1.56968783674825 2.60147772673413 2.42196469562825 8 7.11 11 9.58 14 12.41
"23" 22 934 783.51 69 68.5 99 99 164 152.09 0.867455345395329 0.868001560468591 1.58398820186437 1.57008033236719 2.60319237098117 2.41165412248316 8 7.06 11 9.5 14 12.32
"24" 23 933 776.93 69 68.19 98 98 163 150.66 0.867782394686555 0.868330144399594 1.58461412705393 1.56955979993601 2.59266551112505 2.39842611965032 8 7.05 11 9.41 14 12.22
"25" 24 932 770.34 69 67.86 97 97 162 149.21 0.868333934802394 0.86858192872322 1.5852413954306 1.56952437502221 2.57865472336835 2.38544520959241 8 7.02 11 9.33 14 12.12
"26" 25 931 763.24 69 67.53 96 96 161 147.78 0.868813120091291 0.868678181417728 1.58587001132258 1.5710458330296 2.57050413208623 2.37494938515878 8 6.98 11 9.16 14 11.96
"27" 26 930 755.04 69 67.17 95 95 160 146.25 0.869901720098902 0.868741588552028 1.58649997907669 1.5714411381733 2.553619035755 2.36683636309265 8 6.91 11 9.14 14 11.88
"28" 27 929 748.58 69 66.84 94 94 159 144.8 0.870382943604334 0.868999816920175 1.58713130305847 1.5719706770343 2.54888764157525 2.34923477520959 8 6.89 11 9.06 14 11.74
"29" 28 928 740.78 68 66.56 93 93 158 143.19 0.870382943604334 0.869896887023974 1.58776398765228 1.57033951377997 2.55055670153384 2.32891265984969 8 6.82 11 8.95 14 11.59
"30" 29 927 728.07 68 66.23 92 92 157 141.53 0.870284101103403 0.869778973967621 1.5883980372614 1.5710817022358 2.54354522754951 2.30847379684809 8 6.84 11 8.87 14 11.47
"31" 30 926 720.66 68 65.91 91 91 156 140 0.870766170149361 0.870106680736927 1.58903345630812 1.57140722699369 2.5430522958298 2.29599655110297 8 6.78 11 8.77 14 11.32
"32" 31 925 711.79 68 65.57 90 90 155 138.4 0.871177376383019 0.870806339725906 1.58967024923386 1.56973429511086 2.52830677500958 2.28538845368958 8 6.7 11 8.68 14 11.22
"33" 32 924 702.51 68 65.16 89 89 154 136.78 0.871177376383019 0.871305427042393 1.59030842049926 1.56795718336188 2.52626473093569 2.27156192431867 8 6.7 11 8.62 14 11.14
