"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 956 956 76 76 121 121 186 186 0.863311706558715 0.863311706558715 1.57054914282565 1.57054914282565 2.70435458224835 2.70435458224835 8 8 12 12 15 15
"2" 10 946 946 74 75 115 119.07 176 181.01 0.866865327809669 0.866869708844913 1.56521198265643 1.55756727873306 2.64124418213643 2.66826496802264 8 8 11 11.8 15 15
"3" 20 936 936 72 73.93 109 116.95 166 176.11 0.870137196408684 0.870077306392485 1.55626538968794 1.5451304579688 2.60310431191982 2.63189487480145 8 7.99 11 11.11 15 15
"4" 30 926 926 70 72.97 105 114.93 156 171.36 0.878242469704876 0.873234886234126 1.5342996223604 1.53254545481937 2.5176999001651 2.59735165548126 8 7.95 11 11.01 14 14.12
"5" 40 916 916 68 71.85 100 112.88 146 166.78 0.88309788161231 0.876146379658529 1.50905638302516 1.5219013357329 2.47741801591902 2.56330512121161 7 7.7 11 11 14 14
"6" 50 906 906 63 70.68 96 111.09 136 162.22 0.89045515447718 0.879313907294275 1.47277190483986 1.50865525419224 2.45028577299394 2.53132497094216 7 7.39 11 11 14 14
"7" 60 896 896 61 69.67 88 109.04 126 158.02 0.89598238510223 0.882135234951124 1.47110797946426 1.49823450668668 2.37600298645766 2.50337579399767 7 7.19 11 11 14 14
"8" 70 886 886 59 68.46 87 106.91 116 153.53 0.907056563938248 0.885275969734791 1.4227355752202 1.48749463165299 2.33137990010898 2.47053418666625 7 7.06 11 10.99 13 13.68
"9" 80 876 876 52 67.39 82 104.96 106 149.53 0.909712325241894 0.888125449918709 1.3979318817239 1.47689974404409 2.32164518424465 2.44367935304547 7 7.01 10 10.89 13 13.21
"10" 90 866 866 50 66.22 76 102.83 97 145.33 0.913209361603162 0.890743997218549 1.39319114106966 1.4675359092986 2.25244025637664 2.41421809644762 7 7.01 10 10.55 13 13.01
"11" 100 856 856 49 65.06 71 100.67 92 141.29 0.914726851723013 0.893641689744923 1.39778449552141 1.45672310095858 2.19203809317784 2.38706965034443 7 7 10 10.22 13 13
"12" 110 846 846 48 63.96 68 98.34 87 137.11 0.915940668363636 0.896190086189139 1.39113736539509 1.44885793043202 2.16930780004183 2.35644526234243 7 7 10 10.03 12 12.99
"13" 120 836 836 46 62.65 64 95.93 82 132.8 0.920269644930763 0.899105969818691 1.38829702394503 1.43977964532694 2.13119898894242 2.32470606405719 7 7 10 10.01 12 12.6
"14" 130 826 826 45 61.38 59 93.85 77 128.77 0.925670882986042 0.902024423476006 1.3884886211703 1.42970866125624 2.0787181328897 2.29783004334881 7 7 9 10 12 12.13
