"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 956 956 76 76 121 121 186 186 0.863311706558715 0.863311706558715 1.57054914282565 1.57054914282565 2.70435458224835 2.70435458224835 8 8 12 12 15 15
"2" 1 955 949.16 76 75.85 120 120.66 185 185 0.863311706558715 0.864014811812141 1.57114657648306 1.56739770660289 2.69903993785757 2.69885892674317 8 7.97 12 11.9 15 15.04
"3" 2 954 944 76 75.7 120 120.25 184 184 0.863784254208187 0.864703141232312 1.56964882656323 1.56384728715374 2.69044281073146 2.69149856034214 8 7.85 12 11.77 15 15.05
"4" 3 953 939.55 75 75.48 119 119.83 183 183 0.863681474653951 0.865555627407218 1.57024656929834 1.56020258397472 2.69221662270495 2.68353266816745 8 7.85 12 11.71 15 14.91
"5" 4 952 934.89 74 75.28 118 119.37 182 182 0.86353196595062 0.866192082893991 1.5708455677955 1.55746123529619 2.69399416117418 2.67652768900105 8 7.81 12 11.52 15 14.77
"6" 5 951 928.89 74 75.09 118 118.96 181 181 0.864184738774392 0.867297566145585 1.56863862861913 1.55323996259907 2.69367238847299 2.66609321374037 8 7.72 12 11.38 15 14.6
"7" 6 950 922.54 74 74.9 118 118.54 180 180 0.865036421582683 0.867854968504356 1.56564229507106 1.5509153488377 2.68945930980513 2.65840971757244 8 7.66 12 11.31 15 14.46
"8" 7 949 917.04 74 74.72 118 118.09 179 179 0.865691888352462 0.86853842113629 1.56342522191041 1.54825893767331 2.68702459885656 2.64889172839842 8 7.61 12 11.22 15 14.37
"9" 8 948 912.33 74 74.53 117 117.66 178 178 0.865839492004246 0.869088872382782 1.56401955231327 1.54521886429484 2.66371188157738 2.63856046934241 8 7.55 12 11.19 15 14.3
"10" 9 947 907.53 74 74.35 116 117.29 177 177 0.866315529282079 0.870011554318264 1.56461513790177 1.54086094695113 2.66335677268781 2.63285470769994 8 7.52 11 11.19 15 14.23
"11" 10 946 902.83 74 74.12 115 116.75 176 176 0.866865327809669 0.870620286290605 1.56521198265643 1.53829080666294 2.64124418213643 2.62381806468569 8 7.5 11 11.09 15 14.16
"12" 11 945 898.38 74 73.86 114 116.29 175 175 0.866792090297051 0.871647542288489 1.56581009057458 1.53379096234452 2.6377820224912 2.61308468466288 8 7.46 11 11.08 15 14.08
"13" 12 944 893.62 74 73.69 113 115.88 174 174 0.866792090297051 0.872462754287559 1.56640946567053 1.53034111682106 2.63527967293875 2.60747160111369 8 7.41 11 11.06 15 14.01
"14" 13 943 887.91 74 73.47 113 115.45 173 173 0.867927195095644 0.873031386662861 1.56417909954237 1.52708914896308 2.6315303501279 2.59880150480887 8 7.38 11 11.05 15 13.93
"15" 14 942 883.31 74 73.24 112 114.96 172 172 0.867854406480731 0.873804836757802 1.56477801578392 1.52413066368197 2.63005738722738 2.58637866518732 8 7.37 11 10.99 15 13.81
"16" 15 941 878.75 74 73.02 112 114.6 171 171 0.868631163562962 0.874715783886861 1.56216985065467 1.51972811723175 2.62770733675194 2.57716040099241 8 7.32 11 10.92 15 13.69
"17" 16 940 872.66 74 72.81 112 114.14 170 170 0.86911058077786 0.874933811263755 1.56064024411281 1.51849481411348 2.62731128072721 2.5700084750733 8 7.3 11 10.85 15 13.61
"18" 17 939 867.5 73 72.61 111 113.68 169 169 0.869110580777859 0.87565280988799 1.56123730507566 1.51582773345468 2.62904430658528 2.560471685856 8 7.33 11 10.77 15 13.56
"19" 18 938 862.47 73 72.31 111 113.2 168 168 0.870055878040554 0.876154342421052 1.55507932275897 1.51366377676192 2.62075205636029 2.55179996521168 8 7.3 11 10.72 15 13.5
"20" 19 937 857.35 73 72.12 110 112.7 167 167 0.870137196408684 0.876586275283655 1.55567172331687 1.51168124155086 2.60139342151222 2.53917986709943 8 7.33 11 10.69 15 13.37
"21" 20 936 852.77 72 71.9 109 112.21 166 166 0.870137196408684 0.877108314582879 1.55626538968794 1.50929100831203 2.60310431191982 2.53105449737168 8 7.27 11 10.68 15 13.3
"22" 21 935 848.48 72 71.73 108 111.81 165 165 0.870137196408684 0.878116537914045 1.55686032593359 1.50535794621673 2.5930647709907 2.51710931074292 8 7.3 11 10.6 14 13.21
"23" 22 934 842.6 72 71.54 108 111.36 164 164 0.871488102052482 0.878365039090047 1.55219638083622 1.50509931032421 2.59262908016735 2.50662687941388 8 7.3 11 10.54 14 13.16
"24" 23 933 834.78 72 71.3 108 111.04 163 163 0.872195679702027 0.879078465031269 1.54955236687955 1.50053772355797 2.57140080829069 2.5028012388191 8 7.27 11 10.52 14 13.05
"25" 24 932 829.35 72 71.08 108 110.55 162 162 0.873198083282117 0.879412554002868 1.54198196582961 1.49895078144075 2.5532260554102 2.49527702460741 8 7.29 11 10.49 14 12.96
"26" 25 931 824.65 72 70.87 108 110.1 161 161 0.874144128035014 0.880331620874627 1.53644585932358 1.49489096639368 2.54262291195013 2.48537493527778 8 7.28 11 10.44 14 12.94
"27" 26 930 819.79 72 70.65 108 109.64 160 160 0.875429904901154 0.881267351639306 1.53487214519382 1.49161073832908 2.52251991923373 2.47796176896324 8 7.23 11 10.41 14 12.88
