"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 956 956 76 76 121 121 186 186 0.863311706558715 0.863311706558715 1.57054914282565 1.57054914282565 2.70435458224835 2.70435458224835 8 8 12 12 15 15
"2" 1 955 941.33 75 75 120 119.89 185 183.5 0.863311706558715 0.863961053964298 1.57114657648306 1.56585195828631 2.70613924673238 2.70992806607589 8 7.78 12 11.77 15 14.92
"3" 2 954 931.08 74 74 120 119 184 181.27 0.864662126316512 0.865194523604213 1.5643796609623 1.55827501615249 2.70792765265139 2.71275699025187 8 7.58 12 11.52 15 14.74
"4" 3 953 921.08 73 73 120 118.08 183 179.14 0.865033999037583 0.866367063605624 1.56287323878073 1.55186060480513 2.70971981178324 2.71321235160175 8 7.39 12 11.32 15 14.51
"5" 4 952 904.32 72 72 120 117.12 182 176.64 0.865360824670763 0.867753319847565 1.56136365184668 1.54341130135219 2.71151573595528 2.71583827159776 8 7.3 12 11.21 15 14.38
"6" 5 951 892.35 71 71 120 116.06 181 174.24 0.866219416141084 0.86827942304518 1.55853971831304 1.53961267332377 2.71331543704461 2.71903923432874 8 7.24 12 11.1 15 14.24
"7" 6 950 878.34 70 70 119 114.86 180 171.58 0.866145831481056 0.869819089808898 1.55912765485864 1.53167911197762 2.71511892697834 2.71232718911621 8 7.13 12 10.98 15 13.96
"8" 7 949 868.19 69 69 118 113.91 179 169.26 0.866145831481056 0.871574745232503 1.55971683046966 1.522410309551 2.71692621773385 2.70749819609607 8 7.03 12 10.89 15 13.78
"9" 8 948 857.65 68 68 117 113.02 178 167.32 0.866145831481056 0.872473264593885 1.5603072490672 1.51662850324449 2.71873732133905 2.71361612077397 8 6.97 12 10.85 15 13.67
"10" 9 947 842.96 67 67 116 111.98 177 164.72 0.866145831481056 0.874065447133152 1.56089891458892 1.50747541181759 2.72055224987268 2.71433664953834 8 6.9 11 10.77 15 13.44
"11" 10 946 829.05 66 66 115 110.88 176 162.4 0.866145831481056 0.875017850387305 1.56149183098912 1.50062042731059 2.72237101546451 2.71777450936186 8 6.76 11 10.71 15 13.29
"12" 11 945 816.65 65 65 115 109.84 175 160.05 0.867006528939687 0.876796963792918 1.55506722067017 1.49159939455609 2.72419363029569 2.71502849601208 8 6.69 11 10.55 15 13.11
"13" 12 944 803.89 64 64 115 108.68 174 157.48 0.867868938666532 0.878665519200493 1.55221567700316 1.48162203714295 2.72602010659897 2.71410724507536 8 6.56 11 10.45 15 12.91
