"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 12866 12866 38 38 122 122 382 382 0.788111216798717 0.788109789049331 3.14714538929887 3.14714538929887 4.12681604940652 4.12681604940652 9 9 9 9 16 16
"2" 1 12864 12769.33 38 37.97 121 121 381 378.95 0.788093752510749 0.788143083522505 3.14747921165417 3.14711551718775 4.12023420414381 4.10740780912396 9 9.04 9 9.02 16 15.96
"3" 2 12862 12654.3 38 37.96 120 120 380 375.29 0.788126888091482 0.788112210578387 3.1478131378261 3.14971845333958 4.11989979833984 4.07748028850256 9 9.06 9 9.01 16 15.92
"4" 3 12860 12551.3 38 37.95 119 119 379 371.92 0.788184548116522 0.788509129376057 3.14814716786308 3.14586818034011 4.11842437677637 4.04261611661112 9 9.08 9 9.01 16 15.8
"5" 4 12858 12456.49 38 37.93 118 118 378 369.29 0.78816964876428 0.788395761134445 3.1484813018136 3.15246165291278 4.1119550308443 4.02066564101994 9 9.11 9 8.91 16 15.65
"6" 5 12856 12310.72 38 37.87 117 117 377 366.5 0.788245646496927 0.787606240091075 3.14881553972614 3.16020817541335 4.10559962552283 4.01307773897889 9 9.1 9 8.8 16 15.52
"7" 6 12854 12217.21 38 37.86 116 116 376 363.1 0.788265116442278 0.787776390853229 3.14914988164923 3.16197233053244 4.10125107074479 3.98348511589372 9 9.1 9 8.66 16 15.36
"8" 7 12852 12060.72 38 37.83 115 115 375 360.09 0.788260147983581 0.787556922990548 3.14948432763144 3.15272228194784 4.09696336090539 3.97595870221112 9 8.99 9 8.62 16 15.19
"9" 8 12850 11949.85 38 37.83 114 114 374 357.02 0.788249514609329 0.787732563389498 3.14981887772134 3.15177240101128 4.0927360637345 3.95540289785019 9 8.94 9 8.51 16 15.04
"10" 9 12847 11854.33 38 37.82 113 113 373 354.1 0.788327695216766 0.78772718997879 3.15032089816449 3.15859642266504 4.0900769650865 3.93271443733871 9 8.91 9 8.38 16 14.87
