"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"1" 0 12866 12866 38 38 122 122 382 382 0.788111216798717 0.788111216798717 3.14714538929887 3.14714538929887 4.12681604940652 4.12681604940652 9 9 9 9 16 16
"2" 100 12766 12766 37 37.94 113 121.76 332 379.66 0.794300933516891 0.791720907104985 3.07681731022137 3.1057571913966 3.94705680038817 4.03222109026262 9 9 9 9 16 16
"3" 200 12666 12666 37 37.86 108 121.02 289 373.39 0.802438569826903 0.795371375374095 2.9856601182537 3.0637885623743 3.76022370690167 3.93655255357971 9 9 9 9 16 16
"4" 300 12566 12566 36 37.77 104 119.91 255 363.73 0.80898153877122 0.799205181640155 2.91769151109536 3.01972463479719 3.61585415607491 3.83944939607678 9 9 9 9 16 16
"5" 400 12466 12466 35 37.69 94 118.62 230 352.98 0.813303444274637 0.80316519364744 2.87701378922818 2.97710533015622 3.49986459003414 3.74410733847861 9 9 9 9 15 15
"6" 500 12366 12366 35 37.57 89 116.72 210 340.74 0.820062386967822 0.807215078040076 2.81082731666564 2.93492378642238 3.37082476346588 3.65044953810365 9 9 9 9 15 15
"7" 600 12266 12266 35 37.48 85 114.91 194 327.66 0.825709240237518 0.811326185436896 2.77022938508565 2.89382523475476 3.24984844338481 3.55811472726765 9 9 8 8.87 15 15
"8" 700 12166 12166 35 37.31 81 112.89 179 314.06 0.832107603425662 0.815475681137881 2.71352503686527 2.85344357886717 3.13471782549583 3.46763668711927 9 9 8 8 15 15
"9" 800 12066 12066 35 37.13 80 110.59 165 300.98 0.840692513152928 0.819707133121499 2.635113381182 2.81314346656421 3.02836033758333 3.37993148443953 9 9 8 8 15 15
"10" 900 11966 11966 35 36.92 79 108.13 153 287.68 0.847034364004604 0.82387218898243 2.57223160135943 2.77362136616893 2.95816718298458 3.29436016624259 9 9 8 8 14 14.1
"11" 1000 11866 11866 34 36.67 75 105.71 142 275.57 0.851914622327654 0.827906297676294 2.55631798087442 2.73728255204878 2.85070281508015 3.21227814697947 9 9 8 8 14 14
"12" 1100 11766 11766 34 36.49 69 102.89 132 263.06 0.85574537961321 0.832075750540886 2.5443806835084 2.70123368307232 2.74077101486484 3.13223401774888 9 9 8 8 14 14
"13" 1200 11666 11666 34 36.29 66 100.42 124 251.25 0.859961470159958 0.836363280119442 2.51533582635615 2.66595035053661 2.63481135457983 3.05452175839385 9 9 8 8 14 14
"14" 1300 11566 11566 34 36.01 64 98.08 116 240.12 0.869909379187919 0.840718423420122 2.45262465725522 2.6324271113623 2.53473065950718 2.97891499778257 9 9 8 8 13 14
"15" 1400 11466 11466 34 35.79 64 95.41 109 228.89 0.877412015633556 0.845071523441092 2.40756585757547 2.59933517278472 2.44475864546625 2.90538043381391 9 9 8 8 13 13.94
"16" 1500 11366 11366 34 35.61 62 92.75 103 217.95 0.880548938675399 0.84940081125413 2.39654002632189 2.56692489400588 2.37776489617351 2.83395201271902 9 9 8 8 13 13
"17" 1600 11266 11266 33 35.45 58 90.38 97 207.66 0.884665761933386 0.853836179723681 2.37088883931564 2.53535953413658 2.32309630172412 2.76499885455745 9 9 7 8 13 13
"18" 1700 11166 11166 33 35.31 54 88.1 91 198.18 0.885796384622438 0.858041970029877 2.3753260054856 2.50524014742103 2.23910811334833 2.69868549711341 9 9 7 7.99 13 13
