"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intRnd" "50%intRnd"
"1" 0 12866 12866 38 38 122 122 382 382 0.788111216798717 0.788109789049331 3.14714538929887 3.14714538929887 4.12681604940652 4.12681604940652 9 9 9 9 16 16
"2" 1 12864 12520.16 37 37 122 120.86 381 372.11 0.78836675401982 0.790488592089471 3.14544173293315 3.07366366250258 4.12730218374256 4.14194268269389 9 9.04 9 9.09 16 15.85
"3" 2 12856 12179.4 36 36 122 119.25 378 361.37 0.78889912078014 0.792943065744029 3.12943695877103 3.00389679136235 4.12811044451356 4.13260458110812 9 9 9 8.96 16 15.39
"4" 3 12846 11871.88 35 35 122 117.48 374 351.32 0.789526933453809 0.794731298076415 3.11802960239673 2.95653628862209 4.12827224354524 4.12189235772341 9 8.66 9 8.79 16 14.87
"5" 4 12827 11527.22 34 34 120 115.81 369 341.76 0.789552374415759 0.795789860100446 3.11122408913652 2.89211737443289 4.12842292901885 4.13294143131428 9 8.32 9 8.69 16 14.51
"6" 5 12806 11138.72 33 33 118 114.14 367 331.86 0.788860895879698 0.79683904831859 3.11468619329644 2.84446969089417 4.13235386104998 4.13124997042236 9 8.09 9 8.55 16 14.03
"7" 6 12737 10816.82 32 32 117 112.57 361 322.58 0.789239208001649 0.797674007881391 3.10380294932914 2.79274335663175 4.13992703334075 4.14950456799082 9 7.86 9 8.37 16 13.68
"8" 7 12651 10499.04 31 31 116 110.79 354 312.69 0.788340216769917 0.799143600456175 3.08981416682172 2.7467642556504 4.14643937009413 4.14275908746701 9 7.56 9 8.15 16 13.21
"9" 8 12536 10153.7 30 30 114 109.07 352 301.87 0.784905663701308 0.80142471503681 3.1089852444529 2.67602616230653 4.17446257779211 4.13617212295593 9 7.41 9 8.01 15 12.78
"10" 9 12362 9781.16 29 29 113 107.48 339 291.94 0.792179003549702 0.802871793176194 2.92138342080095 2.62460038680881 4.15639202715867 4.13802409318094 9 7.08 9 7.79 15 12.38
"11" 10 12181 9424.76 28 28 112 104.97 328 280.11 0.798316028664745 0.804938678935097 2.770068872661 2.56983203850509 4.14198512065239 4.10688016193929 9 6.85 9 7.49 15 11.79
